"date","open","close","high","low","volume"
2016-01-04,32.81,31.85,32.89,31.38,186290000
2016-01-05,32.34,31.69,32.35,31.38,116452000
2016-01-06,31.1,31.63,31.99,31.02,106584000
2016-01-07,31.09,30.4,31.5,30.26,141498000
2016-01-08,30.98,30.35,31.21,30.3,110258000
2016-01-11,30.62,30.89,30.99,29.93,97832000
2016-01-12,31.26,30.89,31.3,30.61,94482000
2016-01-13,31.04,29.09,31.04,28.96,153104000
2016-01-14,29.01,29.65,30.11,28.49,144760000
2016-01-15,28.61,28.51,29.23,28.26,155690000
2016-01-19,28.85,28.72,29.2,28.32,96144000
2016-01-20,28.22,28.59,28.92,27.36,159328000
2016-01-21,28.68,28.75,29.44,28.41,99044000
2016-01-22,29.44,29.82,30,29.21,102402000
2016-01-25,29.9,29.83,30.42,29.73,87922000
2016-01-26,30.17,30.06,30.23,29.52,75314000
2016-01-27,30.1,29.17,30.17,28.94,103058000
2016-01-28,30.42,31.77,31.9,29.88,280304000
2016-01-29,28.6,29.35,29.65,28.5,293552000
2016-02-01,28.91,28.74,29.09,28.52,127102000
2016-02-02,28.5,27.6,28.58,27.5,126240000
2016-02-03,27.67,26.55,27.8,26.09,200974000
2016-02-04,26.25,26.81,26.95,25.96,123982000
2016-02-05,26.46,25.11,26.47,24.96,194178000
2016-02-08,24.32,24.41,24.67,23.76,196510000
2016-02-09,23.9,24.1,24.92,23.7,141558000
2016-02-10,24.59,24.52,25.23,24.3,135724000
2016-02-11,24.56,25.19,25.47,24.2,147948000
2016-02-12,25.53,25.35,25.84,25.07,107696000
2016-02-16,25.97,26.06,26.22,25.58,102370000
2016-02-17,26.44,26.7,26.87,25.97,96480000
2016-02-18,27.06,26.25,27.06,26.19,94700000
2016-02-19,26.04,26.75,26.8,25.77,99494000
2016-02-22,27.11,27.98,28.03,27.05,111332000
2016-02-23,27.78,27.65,27.85,27.27,81016000
2016-02-24,27.29,27.7,27.71,26.66,124634000
2016-02-25,27.78,27.76,27.97,27.26,90510000
2016-02-26,28.01,27.76,28.12,27.66,97540000
2016-02-29,27.7,27.63,28.24,27.63,82908000
2016-03-01,27.81,28.95,28.96,27.8,100770000
2016-03-02,29.09,29.01,29.25,28.68,91644000
2016-03-03,28.9,28.87,28.99,28.66,54826000
2016-03-04,29.05,28.76,29.07,28.55,68330000
2016-03-07,28.68,28.14,28.68,27.78,98538000
2016-03-08,27.89,28.01,28.57,27.74,94600000
2016-03-09,27.98,27.97,28.02,27.51,87546000
