template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,revenue,sales_services_revenue,financing_revenue,other_revenue,cost_of_revenue,cost_of_goods_services,cost_of_financing_revenue,cost_of_other_revenue,gross_profit,other_operating_income,operating_expenses,selling_general_administrative,selling_marketing,general_administrative,research_development,depreciation_amortization,provision_for_doubtful_accounts,other_operating_expense,operating_income_loss,non_operating_income_loss,interest_expense_net,interest_expense,interest_income,other_investment_income_loss,foreign_exchange_gain_loss,income_loss_from_affiliates,other_non_operating_income_loss,pretax_income_loss_adjusted,abnormal_gains_losses,acquired_in_process_r_d,merger_acquisition_expense,abnormal_derivatives,disposal_of_assets,early_extinguishment_of_debt,asset_write_down,impairment_of_goodwill_intangibles,sale_of_business,legal_settlement,restructuring_charges,sale_of_and_unrealized_investments,insurance_settlement,other_abnormal_items,pretax_income_loss,income_tax_expense_benefit_net,current_income_tax,deferred_income_tax,tax_allowance_credit,income_loss_from_affiliates_net_of_taxes,income_loss_from_continuing_operations,net_extraordinary_gains_losses,discontinued_operations,xo_accounting_charges_other,income_loss_including_minority_interest,minority_interest,net_income,preferred_dividends,other_adjustments,net_income_available_to_common_shareholders
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2025,2025-09-30,2025-10-31,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000073/0000320193-25-000073-index.htm,FALSE,TRUE,0,102466000000,NA,NA,NA,-54125000000,NA,NA,NA,48341000000,NA,-15914000000,-7048000000,NA,NA,-8866000000,NA,NA,NA,32427000000,377000000,NA,NA,NA,NA,NA,NA,377000000,32804000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32804000000,-5338000000,NA,NA,NA,NA,27466000000,NA,NA,NA,27466000000,NA,27466000000,NA,NA,27466000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2025,2025-06-30,2025-08-01,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000073/0000320193-25-000073-index.htm,FALSE,TRUE,0,94036000000,NA,NA,NA,-50318000000,NA,NA,NA,43718000000,NA,-15516000000,-6650000000,NA,NA,-8866000000,NA,NA,NA,28202000000,-171000000,NA,NA,NA,NA,NA,NA,-171000000,28031000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28031000000,-4597000000,NA,NA,NA,NA,23434000000,NA,NA,NA,23434000000,NA,23434000000,NA,NA,23434000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2025,2025-03-31,2025-05-02,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000057/0000320193-25-000057-index.htm,FALSE,TRUE,0,95359000000,NA,NA,NA,-50492000000,NA,NA,NA,44867000000,NA,-15278000000,-6728000000,NA,NA,-8550000000,NA,NA,NA,29589000000,-279000000,NA,NA,NA,NA,NA,NA,-279000000,29310000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29310000000,-4530000000,NA,NA,NA,NA,24780000000,NA,NA,NA,24780000000,NA,24780000000,NA,NA,24780000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2025,2024-12-31,2025-01-31,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000008/0000320193-25-000008-index.htm,FALSE,TRUE,0,124300000000,NA,NA,NA,-66025000000,NA,NA,NA,58275000000,NA,-15443000000,-7175000000,NA,NA,-8268000000,NA,NA,NA,42832000000,-248000000,NA,NA,NA,NA,NA,NA,-248000000,42584000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42584000000,-6254000000,NA,NA,NA,NA,36330000000,NA,NA,NA,36330000000,NA,36330000000,NA,NA,36330000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2024,2024-09-30,2024-11-01,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000073/0000320193-25-000073-index.htm,FALSE,TRUE,0,94930000000,NA,NA,NA,-51051000000,NA,NA,NA,43879000000,NA,-14288000000,-6523000000,NA,NA,-7765000000,NA,NA,NA,29591000000,19000000,NA,NA,NA,NA,NA,NA,19000000,29610000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29610000000,-14874000000,NA,NA,NA,NA,14736000000,NA,NA,NA,14736000000,NA,14736000000,NA,NA,14736000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2024,2024-06-30,2024-08-02,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000073/0000320193-25-000073-index.htm,FALSE,TRUE,0,85777000000,NA,NA,NA,-46099000000,NA,NA,NA,39678000000,NA,-14326000000,-6320000000,NA,NA,-8006000000,NA,NA,NA,25352000000,142000000,NA,NA,NA,NA,NA,NA,142000000,25494000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25494000000,-4046000000,NA,NA,NA,NA,21448000000,NA,NA,NA,21448000000,NA,21448000000,NA,NA,21448000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2024,2024-03-31,2024-05-03,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000057/0000320193-25-000057-index.htm,FALSE,TRUE,0,90753000000,NA,NA,NA,-48482000000,NA,NA,NA,42271000000,NA,-14371000000,-6468000000,NA,NA,-7903000000,NA,NA,NA,27900000000,158000000,NA,NA,NA,NA,NA,NA,158000000,28058000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28058000000,-4422000000,NA,NA,NA,NA,23636000000,NA,NA,NA,23636000000,NA,23636000000,NA,NA,23636000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2024,2023-12-31,2024-02-02,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000008/0000320193-25-000008-index.htm,FALSE,TRUE,0,119575000000,NA,NA,NA,-64720000000,NA,NA,NA,54855000000,NA,-14482000000,-6786000000,NA,NA,-7696000000,NA,NA,NA,40373000000,-50000000,NA,NA,NA,NA,NA,NA,-50000000,40323000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40323000000,-6407000000,NA,NA,NA,NA,33916000000,NA,NA,NA,33916000000,NA,33916000000,NA,NA,33916000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2023,2023-09-30,2023-11-03,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019324000081/0000320193-24-000081-index.htm,FALSE,TRUE,0,89498000000,NA,NA,NA,-49071000000,NA,NA,NA,40427000000,NA,-13458000000,-6151000000,NA,NA,-7307000000,NA,NA,NA,26969000000,29000000,NA,NA,NA,NA,NA,NA,29000000,26998000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26998000000,-4042000000,NA,NA,NA,NA,22956000000,NA,NA,NA,22956000000,NA,22956000000,NA,NA,22956000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2023,2023-06-30,2023-08-04,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019324000081/0000320193-24-000081-index.htm,FALSE,TRUE,0,81797000000,NA,NA,NA,-45384000000,NA,NA,NA,36413000000,NA,-13415000000,-5973000000,NA,NA,-7442000000,NA,NA,NA,22998000000,-265000000,NA,NA,NA,NA,NA,NA,-265000000,22733000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22733000000,-2852000000,NA,NA,NA,NA,19881000000,NA,NA,NA,19881000000,NA,19881000000,NA,NA,19881000000
