template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,net_income_starting_line,net_income,net_income_from_discontinued_operations,other_adjustments,depreciation_amortization,non_cash_items,stock_based_compensation,deferred_income_taxes,other_non_cash_adjustments,change_in_working_capital,x_increase_decrease_in_accounts_receivable,x_increase_decrease_in_inventories,increase_decrease_in_accounts_payable,increase_decrease_in_other,net_cash_from_discontinued_operations_operating,cash_from_operating_activities,change_in_fixed_assets_intangibles,disposition_of_fixed_assets_intangibles,disposition_of_fixed_assets,disposition_of_intangible_assets,acquisition_of_fixed_assets_intangibles,purchase_of_fixed_assets,acquisition_of_intangible_assets,other_change_in_fixed_assets_intangibles,net_change_in_long_term_investment,decrease_in_long_term_investment,increase_in_long_term_investment,net_cash_from_acquisitions_divestitures,net_cash_from_divestitures,cash_for_acqusition_of_subsidiaries,cash_for_joint_ventures,net_cash_from_other_acquisitions,other_investing_activities,net_cash_from_discontinued_operations_investing,cash_from_investing_activities,dividends_paid,cash_from_repayment_of_debt,cash_from_repayment_of_short_term_debt_net,cash_from_repayment_of_long_term_debt_net,repayments_of_long_term_debt,cash_from_long_term_debt,cash_from_repurchase_of_equity,increase_in_capital_stock,decrease_in_capital_stock,other_financing_activities,net_cash_from_discontinued_operations_financing,cash_from_financing_activities,net_cash_before_disc_operations_and_fx,change_in_cash_from_disc_operations_and_other,net_cash_before_fx,effect_of_foreign_exchange_rates,net_changes_in_cash
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q3,2025,2025-09-30,2025-10-31,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/0001018724-25-000123-index.htm,FALSE,TRUE,0,21187000000,NA,NA,NA,16796000000,4865000000,NA,NA,NA,-7323000000,NA,NA,NA,NA,NA,35525000000,-34228000000,NA,NA,NA,NA,NA,NA,NA,8941000000,NA,NA,-786000000,NA,NA,NA,NA,NA,NA,-26073000000,NA,-44000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-44000000,9408000000,NA,9408000000,-397000000,9011000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q2,2025,2025-06-30,2025-08-01,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/0001018724-25-000086-index.htm,FALSE,TRUE,0,18164000000,NA,NA,NA,15227000000,5287000000,NA,NA,NA,-6163000000,NA,NA,NA,NA,NA,32515000000,-31368000000,NA,NA,NA,NA,NA,NA,NA,-6356000000,NA,NA,-1700000000,NA,NA,NA,NA,NA,NA,-39424000000,NA,-2539000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2539000000,-9448000000,NA,-9448000000,1008000000,-8440000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q1,2025,2025-03-31,2025-05-02,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000036/0001018724-25-000036-index.htm,FALSE,TRUE,0,17127000000,NA,NA,NA,14262000000,1379000000,NA,NA,NA,-15753000000,NA,NA,NA,NA,NA,17015000000,-24255000000,NA,NA,NA,NA,NA,NA,NA,-5596000000,NA,NA,48000000,NA,NA,NA,NA,NA,NA,-29803000000,NA,-47000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-47000000,-12835000000,NA,-12835000000,416000000,-12419000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q4,2024,2024-12-31,2025-02-07,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/0001018724-25-000123-index.htm,FALSE,TRUE,0,20004000000,NA,NA,NA,15631000000,2901000000,NA,NA,NA,7100000000,NA,NA,NA,NA,NA,45636000000,-26052000000,NA,NA,NA,NA,NA,NA,NA,-8856000000,NA,NA,4547000000,NA,NA,NA,NA,-7082000000,NA,-37443000000,NA,-3308000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3308000000,4885000000,NA,4885000000,-1250000000,3635000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q3,2024,2024-09-30,2024-11-01,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/0001018724-25-000123-index.htm,FALSE,TRUE,0,15328000000,NA,NA,NA,13442000000,3875000000,NA,NA,NA,-6674000000,NA,NA,NA,NA,NA,25971000000,-21278000000,NA,NA,NA,NA,NA,NA,NA,5001000000,NA,NA,-622000000,NA,NA,NA,NA,NA,NA,-16899000000,NA,-2758000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2758000000,6314000000,NA,6314000000,690000000,7004000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q2,2024,2024-06-30,2024-08-02,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/0001018724-25-000086-index.htm,FALSE,TRUE,0,13485000000,NA,NA,NA,12038000000,5842000000,NA,NA,NA,-6084000000,NA,NA,NA,NA,NA,25281000000,-16393000000,NA,NA,NA,NA,NA,NA,NA,-5174000000,NA,NA,-571000000,NA,NA,NA,NA,NA,NA,-22138000000,NA,-4490000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4490000000,-1347000000,NA,-1347000000,-312000000,-1659000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q1,2024,2024-03-31,2024-05-01,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000036/0001018724-25-000036-index.htm,FALSE,TRUE,0,10431000000,NA,NA,NA,11684000000,6757000000,NA,NA,NA,-9883000000,NA,NA,NA,NA,NA,18989000000,-13935000000,NA,NA,NA,NA,NA,NA,NA,-573000000,NA,NA,-3354000000,NA,NA,NA,NA,NA,NA,-17862000000,NA,-1256000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1256000000,-129000000,NA,-129000000,-429000000,-558000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q4,2023,2023-12-31,2024-01-27,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000161/0001018724-24-000161-index.htm,FALSE,TRUE,0,10624000000,NA,NA,NA,13820000000,4516000000,NA,NA,NA,13505000000,NA,NA,NA,NA,NA,42465000000,-13353000000,NA,NA,NA,NA,NA,NA,NA,1133000000,NA,NA,NA,NA,NA,NA,NA,-381000000,NA,-12601000000,NA,-6746000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6746000000,23118000000,NA,23118000000,691000000,23809000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q3,2023,2023-09-30,2023-10-27,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000161/0001018724-24-000161-index.htm,FALSE,TRUE,0,9879000000,NA,NA,NA,12131000000,3643000000,NA,NA,NA,-4436000000,NA,NA,NA,NA,NA,21217000000,-11298000000,NA,NA,NA,NA,NA,NA,NA,1174000000,NA,NA,NA,NA,NA,NA,NA,-1629000000,NA,-11753000000,NA,-8948000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8948000000,516000000,NA,516000000,-502000000,14000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q2,2023,2023-06-30,2023-08-04,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000130/0001018724-24-000130-index.htm,FALSE,TRUE,0,6750000000,NA,NA,NA,11589000000,4430000000,NA,NA,NA,-6293000000,NA,NA,NA,NA,NA,16476000000,-10412000000,NA,NA,NA,NA,NA,NA,NA,1055000000,NA,NA,NA,NA,NA,NA,NA,-316000000,NA,-9673000000,NA,-6539000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6539000000,264000000,NA,264000000,69000000,333000000
