template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,revenue,sales_services_revenue,financing_revenue,other_revenue,cost_of_revenue,cost_of_goods_services,cost_of_financing_revenue,cost_of_other_revenue,gross_profit,other_operating_income,operating_expenses,selling_general_administrative,selling_marketing,general_administrative,research_development,depreciation_amortization,provision_for_doubtful_accounts,other_operating_expense,operating_income_loss,non_operating_income_loss,interest_expense_net,interest_expense,interest_income,other_investment_income_loss,foreign_exchange_gain_loss,income_loss_from_affiliates,other_non_operating_income_loss,pretax_income_loss_adjusted,abnormal_gains_losses,acquired_in_process_r_d,merger_acquisition_expense,abnormal_derivatives,disposal_of_assets,early_extinguishment_of_debt,asset_write_down,impairment_of_goodwill_intangibles,sale_of_business,legal_settlement,restructuring_charges,sale_of_and_unrealized_investments,insurance_settlement,other_abnormal_items,pretax_income_loss,income_tax_expense_benefit_net,current_income_tax,deferred_income_tax,tax_allowance_credit,income_loss_from_affiliates_net_of_taxes,income_loss_from_continuing_operations,net_extraordinary_gains_losses,discontinued_operations,xo_accounting_charges_other,income_loss_including_minority_interest,minority_interest,net_income,preferred_dividends,other_adjustments,net_income_available_to_common_shareholders
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q3,2025,2025-09-30,2025-10-31,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/0001018724-25-000123-index.htm,FALSE,TRUE,0,180169000000,NA,NA,NA,-88670000000,NA,NA,NA,91499000000,NA,-74077000000,-14561000000,NA,NA,NA,NA,NA,-59516000000,17422000000,10748000000,562000000,NA,NA,NA,NA,NA,10186000000,28170000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28170000000,-6910000000,NA,NA,NA,-73000000,21187000000,NA,NA,NA,21187000000,NA,21187000000,NA,NA,21187000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q2,2025,2025-06-30,2025-08-01,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/0001018724-25-000086-index.htm,FALSE,TRUE,0,167702000000,NA,NA,NA,-80809000000,NA,NA,NA,86893000000,NA,-67722000000,-14381000000,NA,NA,NA,NA,NA,-53341000000,19171000000,1686000000,569000000,-516000000,1085000000,NA,NA,NA,1117000000,20857000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20857000000,-2678000000,NA,NA,NA,-15000000,18164000000,NA,NA,NA,18164000000,NA,18164000000,NA,NA,18164000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q1,2025,2025-03-31,2025-05-02,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000036/0001018724-25-000036-index.htm,FALSE,TRUE,0,155667000000,NA,NA,NA,-76976000000,NA,NA,NA,78691000000,NA,-60286000000,-12391000000,-9763000000,-2628000000,NA,NA,NA,-47895000000,18405000000,3274000000,525000000,-541000000,1066000000,NA,NA,NA,2749000000,21679000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21679000000,-4553000000,NA,NA,NA,NA,17126000000,1000000,NA,NA,17127000000,NA,17127000000,NA,NA,17127000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q4,2024,2024-12-31,2025-02-07,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/0001018724-25-000123-index.htm,FALSE,TRUE,0,187792000000,NA,NA,NA,-98893000000,NA,NA,NA,88899000000,NA,-67696000000,-15987000000,NA,NA,NA,NA,NA,-51709000000,21203000000,1146000000,678000000,NA,NA,NA,NA,NA,468000000,22349000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22349000000,-2325000000,NA,NA,NA,-20000000,20004000000,NA,NA,NA,20004000000,NA,20004000000,NA,NA,20004000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q3,2024,2024-09-30,2024-11-01,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/0001018724-25-000123-index.htm,FALSE,TRUE,0,158877000000,NA,NA,NA,-80977000000,NA,NA,NA,77900000000,NA,-60489000000,-13322000000,NA,NA,NA,NA,NA,-47167000000,17411000000,626000000,653000000,NA,NA,NA,NA,NA,-27000000,18037000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18037000000,-2706000000,NA,NA,NA,-3000000,15328000000,NA,NA,NA,15328000000,NA,15328000000,NA,NA,15328000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q2,2024,2024-06-30,2024-08-02,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/0001018724-25-000086-index.htm,FALSE,TRUE,0,147977000000,NA,NA,NA,-73785000000,NA,NA,NA,74192000000,NA,-59520000000,-13553000000,NA,NA,NA,NA,NA,-45967000000,14672000000,573000000,591000000,-589000000,1180000000,NA,NA,NA,-18000000,15245000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15245000000,-1767000000,NA,NA,NA,7000000,13485000000,NA,NA,NA,13485000000,NA,13485000000,NA,NA,13485000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q1,2024,2024-03-31,2024-05-01,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000036/0001018724-25-000036-index.htm,FALSE,TRUE,0,143313000000,NA,NA,NA,-72633000000,NA,NA,NA,70680000000,NA,-55373000000,-12404000000,-9662000000,-2742000000,NA,NA,NA,-42969000000,15307000000,-2324000000,349000000,-644000000,993000000,NA,NA,NA,-2673000000,12983000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12983000000,-2467000000,NA,NA,NA,NA,10516000000,-85000000,NA,NA,10431000000,NA,10431000000,NA,NA,10431000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q4,2023,2023-12-31,2024-02-02,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000161/0001018724-24-000161-index.htm,FALSE,TRUE,0,169961000000,NA,NA,NA,-92553000000,NA,NA,NA,77408000000,NA,-64199000000,-15912000000,NA,NA,NA,NA,NA,-48287000000,13209000000,477000000,188000000,NA,NA,NA,NA,NA,289000000,13686000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13686000000,-3062000000,NA,NA,NA,0,10624000000,NA,NA,NA,10624000000,NA,10624000000,NA,NA,10624000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q3,2023,2023-09-30,2023-10-27,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000161/0001018724-24-000161-index.htm,FALSE,TRUE,0,143083000000,NA,NA,NA,-75022000000,NA,NA,NA,68061000000,NA,-56873000000,-13112000000,NA,NA,NA,NA,NA,-43761000000,11188000000,1001000000,-30000000,NA,NA,NA,NA,NA,1031000000,12189000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12189000000,-2306000000,NA,NA,NA,-4000000,9879000000,NA,NA,NA,9879000000,NA,9879000000,NA,NA,9879000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q2,2023,2023-06-30,2023-08-04,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000130/0001018724-24-000130-index.htm,FALSE,TRUE,0,134383000000,NA,NA,NA,-69373000000,NA,NA,NA,65010000000,NA,-57329000000,-13947000000,NA,NA,NA,NA,NA,-43382000000,7681000000,-118000000,-179000000,NA,NA,NA,NA,NA,61000000,7563000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7563000000,-804000000,NA,NA,NA,-9000000,6750000000,NA,NA,NA,6750000000,NA,6750000000,NA,NA,6750000000
