template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,ttm,restated,data_model,gross_profit_margin,operating_margin,ebitda,earnings_per_share_basic,earnings_per_share_diluted,sales_per_share,equity_per_share,net_profit_margin,free_cash_flow,free_cash_flow_per_share,free_cash_flow_to_net_income,dividends_per_share,current_ratio,piotroski_f_score,cash_return_on_invested_capital,dividend_payout_ratio,net_debt_ebitda,net_debt_ebit,return_on_invested_capital,liabilities_to_equity_ratio,net_income_adjusted,net_profit_margin_adjusted,return_on_equity_adjusted,return_on_assets_adjusted,free_cash_flow_to_net_income_adjusted,return_on_invested_capital_adjusted,debt_ratio,total_debt,return_on_equity,return_on_assets
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q3,2025,2025-09-30,FALSE,TRUE,0,0.50785,0.0967,34218000000,1.98492,1.95362,16.87924,34.6291,0.1176,-423000000,-0.03963,-0.01997,NA,1.00856,6,-7.9e-4,NA,-1.26995,-2.49426,0.03977,0.96932,21187000000,0.1176,0.05732,0.02911,-0.01997,0.03977,0.06971,50742000000,0.05732,0.02911
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q2,2025,2025-06-30,FALSE,TRUE,0,0.51814,0.11432,34398000000,1.70762,1.68092,15.76591,31.37868,0.10831,-455000000,-0.04278,-0.02505,NA,1.02407,6,-9.2e-4,NA,-1.23443,-2.21491,0.03668,1.0438,18164000000,0.10831,0.05442,0.02663,-0.02505,0.03668,0.07435,50718000000,0.05442,0.02663
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q1,2025,2025-03-31,FALSE,TRUE,0,0.50551,0.11823,32667000000,1.6153,1.58686,14.68141,28.84721,0.11002,-2788000000,-0.26294,-0.16278,NA,1.0481,5,-0.00597,NA,-1.26094,-2.23803,0.03667,1.10306,17127000000,0.11002,0.05599,0.02663,-0.16278,0.03667,0.08297,53374000000,0.05599,0.02663
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q4,2024,2024-12-31,FALSE,TRUE,0,0.47339,0.11291,36834000000,1.89593,1.85721,17.7985,27.10359,0.10652,20207000000,1.91517,1.01015,NA,1.06373,7,0.04536,NA,-1.31886,-2.29114,0.04491,1.18517,20004000000,0.10652,0.06995,0.03201,1.01015,0.04491,0.08421,52623000000,0.06995,0.03201
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q3,2024,2024-09-30,FALSE,TRUE,0,0.49032,0.10959,30853000000,1.45967,1.42785,15.1297,24.6787,0.09648,5607000000,0.53395,0.3658,NA,1.08865,7,0.01325,NA,-1.07481,-1.9046,0.03622,1.25593,15328000000,0.09648,0.05915,0.02622,0.3658,0.03622,0.09389,54890000000,0.05915,0.02622
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q2,2024,2024-06-30,FALSE,TRUE,0,0.50138,0.09915,26710000000,1.2908,1.25934,14.16454,22.633,0.09113,6000000000,0.57433,0.44494,NA,1.09569,7,0.01513,NA,-1.28053,-2.33118,0.034,1.34648,13485000000,0.09113,0.05703,0.02431,0.44494,0.034,0.09893,54889000000,0.05703,0.02431
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q1,2024,2024-03-31,FALSE,TRUE,0,0.49319,0.10681,26991000000,1.00366,0.9776,13.78938,20.84682,0.07278,5640000000,0.54267,0.5407,NA,1.07207,7,0.01492,NA,-1.01664,-1.79264,0.02759,1.45069,10431000000,0.07278,0.04814,0.01965,0.5407,0.02759,0.10854,57634000000,0.04814,0.01965
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q4,2023,2023-12-31,FALSE,TRUE,0,0.45545,0.07772,27029000000,1.03554,1.00094,16.56639,19.67711,0.06251,30243000000,2.94784,2.84667,NA,1.04508,8,0.08333,NA,-1.05317,-2.15505,0.02927,1.61476,10624000000,0.06251,0.05263,0.02013,2.84667,0.02927,0.11047,58314000000,0.05263,0.02013
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q3,2023,2023-09-30,FALSE,TRUE,0,0.47567,0.07819,23319000000,0.95708,0.93569,13.86195,17.72651,0.06904,9891000000,0.95824,1.00121,NA,0.98472,7,0.02895,NA,-0.1317,-0.27449,0.02891,1.66096,9879000000,0.06904,0.05399,0.02029,1.00121,0.02891,0.12549,61098000000,0.05399,0.02029
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q2,2023,2023-06-30,FALSE,TRUE,0,0.48377,0.05716,19270000000,0.65,0.64599,12.94059,16.23575,0.05023,3369000000,0.32442,0.49911,NA,0.94768,6,0.01023,NA,-0.04556,-0.11431,0.02049,1.83275,6750000000,0.05023,0.04004,0.01413,0.49911,0.02049,0.1321,63092000000,0.04004,0.01413
