template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,net_income_starting_line,net_income,net_income_from_discontinued_operations,other_adjustments,depreciation_amortization,non_cash_items,stock_based_compensation,deferred_income_taxes,other_non_cash_adjustments,change_in_working_capital,x_increase_decrease_in_accounts_receivable,x_increase_decrease_in_inventories,increase_decrease_in_accounts_payable,increase_decrease_in_other,net_cash_from_discontinued_operations_operating,cash_from_operating_activities,change_in_fixed_assets_intangibles,disposition_of_fixed_assets_intangibles,disposition_of_fixed_assets,disposition_of_intangible_assets,acquisition_of_fixed_assets_intangibles,purchase_of_fixed_assets,acquisition_of_intangible_assets,other_change_in_fixed_assets_intangibles,net_change_in_long_term_investment,decrease_in_long_term_investment,increase_in_long_term_investment,net_cash_from_acquisitions_divestitures,net_cash_from_divestitures,cash_for_acqusition_of_subsidiaries,cash_for_joint_ventures,net_cash_from_other_acquisitions,other_investing_activities,net_cash_from_discontinued_operations_investing,cash_from_investing_activities,dividends_paid,cash_from_repayment_of_debt,cash_from_repayment_of_short_term_debt_net,cash_from_repayment_of_long_term_debt_net,repayments_of_long_term_debt,cash_from_long_term_debt,cash_from_repurchase_of_equity,increase_in_capital_stock,decrease_in_capital_stock,other_financing_activities,net_cash_from_discontinued_operations_financing,cash_from_financing_activities,net_cash_before_disc_operations_and_fx,change_in_cash_from_disc_operations_and_other,net_cash_before_fx,effect_of_foreign_exchange_rates,net_changes_in_cash
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2025,2025-09-30,2025-10-30,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000162828025036791/0001628280-25-036791-index.htm,FALSE,TRUE,0,2709000000,NA,NA,NA,4963000000,23456000000,NA,NA,NA,-2151000000,NA,NA,NA,NA,NA,28977000000,-18829000000,NA,NA,NA,NA,NA,NA,NA,-1182000000,NA,NA,-753000000,NA,NA,NA,NA,-62000000,NA,-20826000000,-1330000000,NA,NA,NA,NA,NA,-3327000000,NA,-3327000000,-5390000000,NA,-10047000000,-1896000000,NA,-1896000000,9000000,-1887000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2025,2025-06-30,2025-07-31,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000054/0001326801-25-000054-index.htm,FALSE,TRUE,0,18337000000,NA,NA,NA,4342000000,3064000000,NA,NA,NA,-957000000,NA,NA,NA,NA,NA,24786000000,-16538000000,NA,NA,NA,NA,NA,NA,NA,-8687000000,NA,NA,-62000000,NA,NA,NA,NA,104000000,NA,-25183000000,-1327000000,751000000,NA,NA,NA,NA,-10167000000,NA,-10167000000,-5234000000,NA,-15977000000,-16374000000,NA,-16374000000,131000000,-16243000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q1,2025,2025-03-31,2025-05-01,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000054/0001326801-25-000054-index.htm,FALSE,TRUE,0,16644000000,NA,NA,NA,3900000000,2923000000,NA,NA,NA,559000000,NA,NA,NA,NA,NA,24026000000,-12941000000,NA,NA,NA,NA,NA,NA,NA,-6979000000,NA,NA,NA,NA,NA,NA,NA,-90000000,NA,-20010000000,-1329000000,-751000000,NA,NA,NA,NA,-12754000000,NA,-12754000000,-4661000000,NA,-19495000000,-15479000000,NA,-15479000000,112000000,-15367000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q4,2024,2024-12-31,2025-01-30,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000162828025047240/0001628280-25-047240-index.htm,FALSE,TRUE,0,20838000000,NA,NA,NA,4460000000,3194000000,NA,NA,NA,-504000000,NA,NA,NA,NA,NA,27988000000,-14425000000,NA,NA,NA,NA,NA,NA,NA,-7071000000,NA,NA,-9000000,NA,NA,NA,NA,7000000,NA,-21498000000,-1270000000,-1969000000,NA,NA,NA,NA,0,NA,0,-2226000000,NA,-5465000000,1025000000,NA,1025000000,-714000000,311000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2024,2024-09-30,2024-10-31,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000162828025036791/0001628280-25-036791-index.htm,FALSE,TRUE,0,15688000000,NA,NA,NA,4027000000,2939000000,NA,NA,NA,2070000000,NA,NA,NA,NA,NA,24724000000,-8258000000,NA,NA,NA,NA,NA,NA,NA,-357000000,NA,NA,-132000000,NA,NA,NA,NA,127000000,NA,-8620000000,-1263000000,10432000000,NA,NA,NA,NA,-8818000000,NA,-8818000000,-4722000000,NA,-4371000000,11733000000,NA,11733000000,368000000,12101000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2024,2024-06-30,2024-08-01,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000054/0001326801-25-000054-index.htm,FALSE,TRUE,0,13465000000,NA,NA,NA,3637000000,3009000000,NA,NA,NA,-741000000,NA,NA,NA,NA,NA,19370000000,-8173000000,NA,NA,NA,NA,NA,NA,NA,-63000000,NA,NA,-129000000,NA,NA,NA,NA,67000000,NA,-8298000000,-1266000000,315000000,NA,NA,NA,NA,-6299000000,NA,-6299000000,-3928000000,NA,-11178000000,-106000000,NA,-106000000,-152000000,-258000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q1,2024,2024-03-31,2024-04-25,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000054/0001326801-25-000054-index.htm,FALSE,TRUE,0,12369000000,NA,NA,NA,3374000000,3280000000,NA,NA,NA,223000000,NA,NA,NA,NA,NA,19246000000,-6400000000,NA,NA,NA,NA,NA,NA,NA,-2262000000,NA,NA,NA,NA,NA,NA,NA,-72000000,NA,-8734000000,-1273000000,-315000000,NA,NA,NA,NA,-15008000000,NA,-15008000000,-3171000000,NA,-19767000000,-9255000000,NA,-9255000000,-288000000,-9543000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q4,2023,2023-12-31,2024-02-02,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000081/0001326801-24-000081-index.htm,FALSE,TRUE,0,14017000000,NA,NA,NA,3172000000,3486000000,NA,NA,NA,-1271000000,NA,NA,NA,NA,NA,19404000000,-7592000000,NA,NA,NA,NA,NA,NA,NA,1187000000,NA,NA,-64000000,NA,NA,NA,NA,-3000000,NA,-6472000000,NA,-307000000,NA,NA,NA,NA,-5942000000,NA,-5942000000,-2152000000,NA,-8401000000,4531000000,NA,4531000000,396000000,4927000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2023,2023-09-30,2023-10-26,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000069/0001326801-24-000069-index.htm,FALSE,TRUE,0,11583000000,NA,NA,NA,2859000000,6955000000,NA,NA,NA,-995000000,NA,NA,NA,NA,NA,20402000000,-6496000000,NA,NA,NA,NA,NA,NA,NA,467000000,NA,NA,-38000000,NA,NA,NA,NA,-10000000,NA,-6077000000,NA,-267000000,NA,NA,NA,NA,-3569000000,NA,-3569000000,-2039000000,NA,-5875000000,8450000000,NA,8450000000,-354000000,8096000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2023,2023-06-30,2023-07-27,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000049/0001326801-24-000049-index.htm,FALSE,TRUE,0,7789000000,NA,NA,NA,2623000000,3366000000,NA,NA,NA,3531000000,NA,NA,NA,NA,NA,17309000000,-6134000000,NA,NA,NA,NA,NA,NA,NA,1099000000,NA,NA,-83000000,NA,NA,NA,NA,-85000000,NA,-5203000000,NA,8235000000,NA,NA,NA,NA,-898000000,NA,-898000000,-2045000000,NA,5292000000,17398000000,NA,17398000000,-14000000,17384000000
