template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,net_income_starting_line,net_income,net_income_from_discontinued_operations,other_adjustments,depreciation_amortization,non_cash_items,stock_based_compensation,deferred_income_taxes,other_non_cash_adjustments,change_in_working_capital,x_increase_decrease_in_accounts_receivable,x_increase_decrease_in_inventories,increase_decrease_in_accounts_payable,increase_decrease_in_other,net_cash_from_discontinued_operations_operating,cash_from_operating_activities,change_in_fixed_assets_intangibles,disposition_of_fixed_assets_intangibles,disposition_of_fixed_assets,disposition_of_intangible_assets,acquisition_of_fixed_assets_intangibles,purchase_of_fixed_assets,acquisition_of_intangible_assets,other_change_in_fixed_assets_intangibles,net_change_in_long_term_investment,decrease_in_long_term_investment,increase_in_long_term_investment,net_cash_from_acquisitions_divestitures,net_cash_from_divestitures,cash_for_acqusition_of_subsidiaries,cash_for_joint_ventures,net_cash_from_other_acquisitions,other_investing_activities,net_cash_from_discontinued_operations_investing,cash_from_investing_activities,dividends_paid,cash_from_repayment_of_debt,cash_from_repayment_of_short_term_debt_net,cash_from_repayment_of_long_term_debt_net,repayments_of_long_term_debt,cash_from_long_term_debt,cash_from_repurchase_of_equity,increase_in_capital_stock,decrease_in_capital_stock,other_financing_activities,net_cash_from_discontinued_operations_financing,cash_from_financing_activities,net_cash_before_disc_operations_and_fx,change_in_cash_from_disc_operations_and_other,net_cash_before_fx,effect_of_foreign_exchange_rates,net_changes_in_cash
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2026,2025-09-30,2025-10-29,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/0001193125-25-256321-index.htm,FALSE,TRUE,0,27747000000,NA,NA,NA,13061000000,4467000000,2983000000,2491000000,-1007000000,-218000000,16490000000,-192000000,-614000000,-15902000000,NA,45057000000,-19394000000,NA,NA,NA,-19394000000,-19394000000,NA,NA,-8378000000,3262000000,-11640000000,-578000000,NA,NA,NA,NA,-6878000000,NA,-35228000000,-6169000000,0,NA,NA,NA,NA,-4961000000,689000000,-5650000000,NA,NA,-11130000000,-1301000000,NA,-1301000000,-92000000,-1393000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2025,2025-06-30,2025-07-30,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017025061046/0000950170-25-061046-index.htm,FALSE,TRUE,0,27233000000,NA,NA,NA,11203000000,908000000,NA,NA,NA,3303000000,NA,NA,NA,NA,NA,42647000000,-17079000000,NA,NA,NA,NA,NA,NA,NA,-14392000000,NA,NA,-1743000000,NA,NA,NA,NA,-677000000,NA,-33891000000,-6169000000,0,NA,NA,NA,NA,-3998000000,548000000,-4546000000,2642000000,NA,-7525000000,1231000000,NA,1231000000,183000000,1414000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2025,2025-03-31,2025-04-30,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017025061046/0000950170-25-061046-index.htm,FALSE,TRUE,0,25824000000,NA,NA,NA,8740000000,438000000,NA,NA,NA,2042000000,NA,NA,NA,NA,NA,37044000000,-16745000000,NA,NA,NA,NA,NA,NA,NA,4408000000,NA,NA,-981000000,NA,NA,NA,NA,-382000000,NA,-13700000000,-6169000000,-2250000000,NA,NA,NA,NA,-4235000000,546000000,-4781000000,604000000,NA,-12050000000,11294000000,NA,11294000000,52000000,11346000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2025,2024-12-31,2025-01-29,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017025010491/0000950170-25-010491-index.htm,FALSE,TRUE,0,24108000000,NA,NA,NA,6827000000,2907000000,NA,NA,NA,-11551000000,NA,NA,NA,NA,NA,22291000000,-15804000000,NA,NA,NA,NA,NA,NA,NA,3113000000,NA,NA,-1405000000,NA,NA,NA,NA,-343000000,NA,-14439000000,-6170000000,0,NA,NA,NA,NA,-4730000000,256000000,-4986000000,-16000000,NA,-10916000000,-3064000000,NA,-3064000000,-294000000,-3358000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2025,2024-09-30,2024-10-30,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/0001193125-25-256321-index.htm,FALSE,TRUE,0,24667000000,NA,NA,NA,7383000000,1274000000,2832000000,-1433000000,-125000000,856000000,14037000000,-373000000,-916000000,-11892000000,NA,34180000000,-14923000000,NA,NA,NA,-14923000000,-14923000000,NA,NA,2484000000,1968000000,516000000,-1849000000,NA,NA,NA,NA,-1802000000,NA,-16090000000,-5574000000,-6712000000,NA,NA,NA,NA,-3401000000,706000000,-4107000000,NA,NA,-15687000000,2403000000,NA,2403000000,122000000,2525000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2024,2024-06-30,2024-07-30,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017025061046/0000950170-25-061046-index.htm,FALSE,TRUE,0,22036000000,NA,NA,NA,6380000000,1595000000,NA,NA,NA,7184000000,NA,NA,NA,NA,NA,37195000000,-13873000000,NA,NA,NA,NA,NA,NA,NA,749000000,NA,NA,-1342000000,NA,NA,NA,NA,-303000000,NA,-14769000000,-5574000000,-14010000000,NA,NA,NA,NA,-3676000000,534000000,-4210000000,-382000000,NA,-23642000000,-1216000000,NA,-1216000000,-103000000,-1319000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2024,2024-03-31,2024-04-25,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017025061046/0000950170-25-061046-index.htm,FALSE,TRUE,0,21939000000,NA,NA,NA,6027000000,1429000000,NA,NA,NA,2522000000,NA,NA,NA,NA,NA,31917000000,-10952000000,NA,NA,NA,NA,NA,NA,NA,3108000000,NA,NA,-1575000000,NA,NA,NA,NA,-498000000,NA,-9917000000,-5572000000,-9047000000,NA,NA,NA,NA,-3691000000,522000000,-4213000000,-1281000000,NA,-19591000000,2409000000,NA,2409000000,-80000000,2329000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2024,2023-12-31,2024-01-30,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017025010491/0000950170-25-010491-index.htm,FALSE,TRUE,0,21870000000,NA,NA,NA,5959000000,1324000000,NA,NA,NA,-10300000000,NA,NA,NA,NA,NA,18853000000,-9735000000,NA,NA,NA,NA,NA,NA,NA,1492000000,NA,NA,-65029000000,NA,NA,NA,NA,-201000000,NA,-73473000000,-5574000000,-633000000,NA,NA,NA,NA,-3739000000,261000000,-4000000000,1347000000,NA,-8599000000,-63219000000,NA,-63219000000,72000000,-63147000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2024,2023-09-30,2023-10-24,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017024118967/0000950170-24-118967-index.htm,FALSE,TRUE,0,22291000000,NA,NA,NA,3921000000,1953000000,NA,NA,NA,2418000000,NA,NA,NA,NA,NA,30583000000,-9917000000,NA,NA,NA,NA,NA,NA,NA,12588000000,NA,NA,-1186000000,NA,NA,NA,NA,-307000000,NA,1178000000,-5051000000,24265000000,NA,NA,NA,NA,-4146000000,685000000,-4831000000,-982000000,NA,14086000000,45847000000,NA,45847000000,-99000000,45748000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2023,2023-06-30,2023-07-27,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017024048288/0000950170-24-048288-index.htm,FALSE,TRUE,0,20081000000,NA,NA,NA,3874000000,572000000,NA,NA,NA,4243000000,NA,NA,NA,NA,NA,28770000000,-8943000000,NA,NA,NA,NA,NA,NA,NA,419000000,NA,NA,-341000000,NA,NA,NA,NA,-167000000,NA,-9032000000,-5054000000,-1000000000,NA,NA,NA,NA,-5192000000,512000000,-5704000000,-269000000,NA,-11515000000,8223000000,NA,8223000000,-81000000,8142000000
