template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,revenue,sales_services_revenue,financing_revenue,other_revenue,cost_of_revenue,cost_of_goods_services,cost_of_financing_revenue,cost_of_other_revenue,gross_profit,other_operating_income,operating_expenses,selling_general_administrative,selling_marketing,general_administrative,research_development,depreciation_amortization,provision_for_doubtful_accounts,other_operating_expense,operating_income_loss,non_operating_income_loss,interest_expense_net,interest_expense,interest_income,other_investment_income_loss,foreign_exchange_gain_loss,income_loss_from_affiliates,other_non_operating_income_loss,pretax_income_loss_adjusted,abnormal_gains_losses,acquired_in_process_r_d,merger_acquisition_expense,abnormal_derivatives,disposal_of_assets,early_extinguishment_of_debt,asset_write_down,impairment_of_goodwill_intangibles,sale_of_business,legal_settlement,restructuring_charges,sale_of_and_unrealized_investments,insurance_settlement,other_abnormal_items,pretax_income_loss,income_tax_expense_benefit_net,current_income_tax,deferred_income_tax,tax_allowance_credit,income_loss_from_affiliates_net_of_taxes,income_loss_from_continuing_operations,net_extraordinary_gains_losses,discontinued_operations,xo_accounting_charges_other,income_loss_including_minority_interest,minority_interest,net_income,preferred_dividends,other_adjustments,net_income_available_to_common_shareholders
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2026,2025-09-30,2025-10-29,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/0001193125-25-256321-index.htm,FALSE,TRUE,0,77673000000,NA,NA,NA,-24043000000,NA,NA,NA,53630000000,NA,-15669000000,-7523000000,NA,NA,-8146000000,NA,NA,NA,37961000000,-3660000000,NA,NA,NA,NA,NA,NA,-3660000000,34301000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34301000000,-6554000000,NA,NA,NA,NA,27747000000,NA,NA,NA,27747000000,NA,27747000000,NA,NA,27747000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2025,2025-06-30,2025-07-30,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017025061046/0000950170-25-061046-index.htm,FALSE,TRUE,0,76441000000,NA,NA,NA,-24014000000,NA,NA,NA,52427000000,NA,-18104000000,-9275000000,NA,NA,-8829000000,NA,NA,NA,34323000000,-1707000000,NA,NA,NA,NA,NA,NA,-1707000000,32616000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32616000000,-5383000000,NA,NA,NA,NA,27233000000,NA,NA,NA,27233000000,NA,27233000000,NA,NA,27233000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2025,2025-03-31,2025-04-30,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017025061046/0000950170-25-061046-index.htm,FALSE,TRUE,0,70066000000,NA,NA,NA,-21919000000,NA,NA,NA,48147000000,NA,-16147000000,-7949000000,NA,NA,-8198000000,NA,NA,NA,32000000000,-623000000,NA,NA,NA,NA,NA,NA,-623000000,31377000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31377000000,-5553000000,NA,NA,NA,NA,25824000000,NA,NA,NA,25824000000,NA,25824000000,NA,NA,25824000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2025,2024-12-31,2025-01-29,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017025010491/0000950170-25-010491-index.htm,FALSE,TRUE,0,69632000000,NA,NA,NA,-21799000000,NA,NA,NA,47833000000,NA,-16180000000,-8263000000,NA,NA,-7917000000,NA,NA,NA,31653000000,-2288000000,NA,NA,NA,NA,NA,NA,-2288000000,29365000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29365000000,-5257000000,NA,NA,NA,NA,24108000000,NA,NA,NA,24108000000,NA,24108000000,NA,NA,24108000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2025,2024-09-30,2024-10-30,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/0001193125-25-256321-index.htm,FALSE,TRUE,0,65585000000,NA,NA,NA,-20099000000,NA,NA,NA,45486000000,NA,-14934000000,-7390000000,NA,NA,-7544000000,NA,NA,NA,30552000000,-283000000,NA,NA,NA,NA,NA,NA,-283000000,30269000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30269000000,-5602000000,NA,NA,NA,NA,24667000000,NA,NA,NA,24667000000,NA,24667000000,NA,NA,24667000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2024,2024-06-30,2024-07-30,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017025061046/0000950170-25-061046-index.htm,FALSE,TRUE,0,64727000000,NA,NA,NA,-19684000000,NA,NA,NA,45043000000,NA,-17118000000,-9062000000,NA,NA,-8056000000,NA,NA,NA,27925000000,-675000000,NA,NA,NA,NA,NA,NA,-675000000,27250000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27250000000,-5214000000,NA,NA,NA,NA,22036000000,NA,NA,NA,22036000000,NA,22036000000,NA,NA,22036000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2024,2024-03-31,2024-04-25,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017025061046/0000950170-25-061046-index.htm,FALSE,TRUE,0,61858000000,NA,NA,NA,-18505000000,NA,NA,NA,43353000000,NA,-15772000000,-8119000000,NA,NA,-7653000000,NA,NA,NA,27581000000,-854000000,NA,NA,NA,NA,NA,NA,-854000000,26727000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26727000000,-4788000000,NA,NA,NA,NA,21939000000,NA,NA,NA,21939000000,NA,21939000000,NA,NA,21939000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2024,2023-12-31,2024-01-30,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017025010491/0000950170-25-010491-index.htm,FALSE,TRUE,0,62020000000,NA,NA,NA,-19623000000,NA,NA,NA,42397000000,NA,-15365000000,-8223000000,NA,NA,-7142000000,NA,NA,NA,27032000000,-506000000,NA,NA,NA,NA,NA,NA,-506000000,26526000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26526000000,-4656000000,NA,NA,NA,NA,21870000000,NA,NA,NA,21870000000,NA,21870000000,NA,NA,21870000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2024,2023-09-30,2023-10-24,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017024118967/0000950170-24-118967-index.htm,FALSE,TRUE,0,56517000000,NA,NA,NA,-16302000000,NA,NA,NA,40215000000,NA,-13320000000,-6661000000,NA,NA,-6659000000,NA,NA,NA,26895000000,389000000,NA,NA,NA,NA,NA,NA,389000000,27284000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27284000000,-4993000000,NA,NA,NA,NA,22291000000,NA,NA,NA,22291000000,NA,22291000000,NA,NA,22291000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2023,2023-06-30,2023-07-27,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017024048288/0000950170-24-048288-index.htm,FALSE,TRUE,0,56189000000,NA,NA,NA,-16795000000,NA,NA,NA,39394000000,NA,-15140000000,-8401000000,NA,NA,-6739000000,NA,NA,NA,24254000000,473000000,NA,NA,NA,NA,NA,NA,473000000,24727000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24727000000,-4646000000,NA,NA,NA,NA,20081000000,NA,NA,NA,20081000000,NA,20081000000,NA,NA,20081000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2023,2023-03-31,2023-04-25,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017024048288/0000950170-24-048288-index.htm,FALSE,TRUE,0,52857000000,NA,NA,NA,-16128000000,NA,NA,NA,36729000000,NA,-14377000000,-7393000000,NA,NA,-6984000000,NA,NA,NA,22352000000,321000000,NA,NA,NA,NA,NA,NA,321000000,22673000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22673000000,-4374000000,NA,NA,NA,NA,18299000000,NA,NA,NA,18299000000,NA,18299000000,NA,NA,18299000000
