template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,cash_cash_equivalents_short_term_investments,cash_cash_equivalents,short_term_investments,accounts_notes_receivable,accounts_receivable_net,notes_receivable_net,unbilled_revenues,inventories,raw_materials,work_in_process,finished_goods,other_inventory,other_short_term_assets,prepaid_expenses,derivative_hedging_assets_short_term,assets_held_for_sale,deferred_tax_assets_short_term,income_taxes_receivable,discontinued_operations_short_term,miscellaneous_short_term_assets,total_current_assets,property_plant_equipment_net,property_plant_equipment,accumulated_depreciation,long_term_investments_receivables,long_term_investments,long_term_marketable_securities,long_term_receivables,other_long_term_assets,intangible_assets,goodwill,other_intangible_assets,prepaid_expense,deferred_tax_assets_long_term,derivative_hedging_assets_long_term,prepaid_pension_costs,discontinued_operations_long_term,investments_in_affiliates,miscellaneous_long_term_assets,total_noncurrent_assets,total_assets,payables_accruals,accounts_payable,accrued_taxes,interest_dividends_payable,other_payables_accruals,short_term_debt,short_term_borrowings,short_term_capital_leases,current_portion_of_long_term_debt,other_short_term_liabilities,deferred_revenue_short_term,liabilities_from_derivatives_hedging_short_term,deferred_tax_liabilities_short_term,liabilities_from_discontinued_operations_short_term,miscellaneous_short_term_liabilities,total_current_liabilities,long_term_debt,long_term_borrowings,long_term_capital_leases,other_long_term_liabilities,accrued_liabilities,pension_liabilities,pensions,other_post_retirement_benefits,deferred_compensation,deferred_revenue_long_term,deferred_tax_liabilities_long_term,liabilities_from_derivatives_hedging_long_term,liabilities_from_discontinued_operations_long_term,miscellaneous_long_term_liabilities,total_noncurrent_liabilities,total_liabilities,preferred_equity,share_capital_additional_paid_in_capital,common_stock,additional_paid_in_capital,other_share_capital,treasury_stock,retained_earnings,other_equity,equity_before_minority_interest,minority_interest,total_equity,total_liabilities_equity
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2025,2025-09-30,2025-10-31,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/0000320193-25-000079-index.htm,FALSE,TRUE,0,54697000000,35934000000,18763000000,39777000000,39777000000,NA,NA,5718000000,NA,NA,NA,NA,47765000000,NA,NA,NA,NA,NA,NA,47765000000,147957000000,49834000000,NA,NA,77723000000,NA,NA,NA,83727000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,83727000000,211284000000,359241000000,69860000000,69860000000,NA,NA,NA,7979000000,NA,NA,NA,75442000000,9055000000,NA,NA,NA,66387000000,153281000000,90678000000,NA,NA,41549000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,41549000000,132227000000,285508000000,NA,93568000000,NA,NA,NA,NA,-14264000000,-5571000000,73733000000,NA,73733000000,359241000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2025,2025-06-30,2025-08-01,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000073/0000320193-25-000073-index.htm,FALSE,TRUE,0,55372000000,36269000000,19103000000,27557000000,27557000000,NA,NA,5925000000,NA,NA,NA,NA,33637000000,NA,NA,NA,NA,NA,NA,33637000000,122491000000,48508000000,NA,NA,77614000000,NA,NA,NA,82882000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,82882000000,209004000000,331495000000,50374000000,50374000000,NA,NA,NA,9923000000,NA,NA,NA,71478000000,8979000000,NA,NA,NA,62499000000,131775000000,91775000000,NA,NA,42115000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,42115000000,133890000000,265665000000,NA,89806000000,NA,NA,NA,NA,-17607000000,-6369000000,65830000000,NA,65830000000,331495000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2025,2025-03-31,2025-05-02,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000057/0000320193-25-000057-index.htm,FALSE,TRUE,0,48498000000,28162000000,20336000000,26136000000,26136000000,NA,NA,6269000000,NA,NA,NA,NA,37771000000,NA,NA,NA,NA,NA,NA,37771000000,118674000000,46876000000,NA,NA,84424000000,NA,NA,NA,81259000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,81259000000,212559000000,331233000000,54126000000,54126000000,NA,NA,NA,5982000000,NA,NA,NA,70825000000,8976000000,NA,NA,NA,61849000000,130933000000,92204000000,NA,NA,41300000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,41300000000,133504000000,264437000000,NA,88711000000,NA,NA,NA,NA,-15552000000,-6363000000,66796000000,NA,66796000000,331233000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2025,2024-12-31,2025-01-31,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000008/0000320193-25-000008-index.htm,FALSE,TRUE,0,53775000000,30299000000,23476000000,29639000000,29639000000,NA,NA,6911000000,NA,NA,NA,NA,42915000000,NA,NA,NA,NA,NA,NA,42915000000,133240000000,46069000000,NA,NA,87593000000,NA,NA,NA,77183000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,77183000000,210845000000,344085000000,61910000000,61910000000,NA,NA,NA,1995000000,NA,NA,NA,69612000000,8461000000,NA,NA,NA,61151000000,133517000000,94804000000,NA,NA,49006000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,49006000000,143810000000,277327000000,NA,84768000000,NA,NA,NA,NA,-11221000000,-6789000000,66758000000,NA,66758000000,344085000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2024,2024-09-30,2024-11-01,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/0000320193-25-000079-index.htm,FALSE,TRUE,0,65171000000,29943000000,35228000000,33410000000,33410000000,NA,NA,7286000000,NA,NA,NA,NA,47120000000,NA,NA,NA,NA,NA,NA,47120000000,152987000000,45680000000,NA,NA,91479000000,NA,NA,NA,74834000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,74834000000,211993000000,364980000000,68960000000,68960000000,NA,NA,NA,9967000000,NA,NA,NA,86553000000,8249000000,NA,NA,NA,78304000000,165480000000,96662000000,NA,NA,45888000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,45888000000,142550000000,308030000000,NA,83276000000,NA,NA,NA,NA,-19154000000,-7172000000,56950000000,NA,56950000000,364980000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2024,2024-06-30,2024-08-02,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019324000081/0000320193-24-000081-index.htm,FALSE,TRUE,0,61801000000,25565000000,36236000000,22795000000,22795000000,NA,NA,6165000000,NA,NA,NA,NA,34674000000,NA,NA,NA,NA,NA,NA,34674000000,125435000000,44502000000,NA,NA,91240000000,NA,NA,NA,70435000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,70435000000,206177000000,331612000000,47574000000,47574000000,NA,NA,NA,2994000000,NA,NA,NA,68942000000,8053000000,NA,NA,NA,60889000000,119510000000,98310000000,NA,NA,47084000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,47084000000,145394000000,264904000000,NA,79850000000,NA,NA,NA,NA,-4726000000,-8416000000,66708000000,NA,66708000000,331612000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2024,2024-03-31,2024-05-03,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019324000069/0000320193-24-000069-index.htm,FALSE,TRUE,0,67150000000,32695000000,34455000000,21837000000,21837000000,NA,NA,6232000000,NA,NA,NA,NA,33197000000,NA,NA,NA,NA,NA,NA,33197000000,128416000000,43546000000,NA,NA,95187000000,NA,NA,NA,70262000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,70262000000,208995000000,337411000000,45753000000,45753000000,NA,NA,NA,1997000000,NA,NA,NA,65310000000,8012000000,NA,NA,NA,57298000000,113060000000,102593000000,NA,NA,47564000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,47564000000,150157000000,263217000000,NA,78815000000,NA,NA,NA,NA,4339000000,-8960000000,74194000000,NA,74194000000,337411000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2024,2023-12-31,2024-02-02,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019324000006/0000320193-24-000006-index.htm,FALSE,TRUE,0,73100000000,40760000000,32340000000,23194000000,23194000000,NA,NA,6511000000,NA,NA,NA,NA,40887000000,NA,NA,NA,NA,NA,NA,40887000000,143692000000,43666000000,NA,NA,99475000000,NA,NA,NA,66681000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,66681000000,209822000000,353514000000,58146000000,58146000000,NA,NA,NA,12952000000,NA,NA,NA,62875000000,8264000000,NA,NA,NA,54611000000,133973000000,95088000000,NA,NA,50353000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,50353000000,145441000000,279414000000,NA,75236000000,NA,NA,NA,NA,8242000000,-9378000000,74100000000,NA,74100000000,353514000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2023,2023-09-30,2023-11-03,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/0000320193-24-000123-index.htm,FALSE,TRUE,0,61555000000,29965000000,31590000000,29508000000,29508000000,NA,NA,6331000000,NA,NA,NA,NA,46172000000,NA,NA,NA,NA,NA,NA,46172000000,143566000000,43715000000,NA,NA,100544000000,NA,NA,NA,64758000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,64758000000,209017000000,352583000000,62611000000,62611000000,NA,NA,NA,5985000000,NA,NA,NA,66890000000,8061000000,NA,NA,NA,58829000000,135486000000,105103000000,NA,NA,49848000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,49848000000,154951000000,290437000000,NA,73812000000,NA,NA,NA,NA,-214000000,-11452000000,62146000000,NA,62146000000,352583000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2023,2023-06-30,2023-08-04,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/0000320193-23-000077-index.htm,FALSE,TRUE,0,62482000000,28408000000,34074000000,19549000000,19549000000,NA,NA,7351000000,NA,NA,NA,NA,33277000000,NA,NA,NA,NA,NA,NA,33277000000,122659000000,43550000000,NA,NA,104061000000,NA,NA,NA,64768000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,64768000000,212379000000,335038000000,46699000000,46699000000,NA,NA,NA,11209000000,NA,NA,NA,67055000000,8158000000,NA,NA,NA,58897000000,124963000000,98071000000,NA,NA,51730000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,51730000000,149801000000,274764000000,NA,70667000000,NA,NA,NA,NA,1408000000,-11801000000,60274000000,NA,60274000000,335038000000
