template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,ttm,restated,data_model,gross_profit_margin,operating_margin,ebitda,earnings_per_share_basic,earnings_per_share_diluted,sales_per_share,equity_per_share,net_profit_margin,free_cash_flow,free_cash_flow_per_share,free_cash_flow_to_net_income,dividends_per_share,current_ratio,piotroski_f_score,cash_return_on_invested_capital,dividend_payout_ratio,net_debt_ebitda,net_debt_ebit,return_on_invested_capital,liabilities_to_equity_ratio,net_income_adjusted,net_profit_margin_adjusted,return_on_equity_adjusted,return_on_assets_adjusted,free_cash_flow_to_net_income_adjusted,return_on_invested_capital_adjusted,debt_ratio,total_debt,return_on_equity,return_on_assets
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2025,2025-09-30,FALSE,TRUE,0,0.47178,0.31647,35554000000,1.85389,1.84787,6.91622,4.97681,0.26805,31943000000,2.15608,1.163,0.26068,0.96527,9,0.14931,0.14061,1.23643,1.35566,0.14643,3.87219,27466000000,0.26805,0.37251,0.07646,1.163,0.14643,0.27463,98657000000,0.37251,0.07646
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2025,2025-06-30,FALSE,TRUE,0,0.46491,0.29991,31032000000,1.57245,1.56768,6.30992,4.41727,0.2492,30133000000,2.02196,1.28587,0.26471,0.92955,8,0.14373,0.16835,1.49285,1.64265,0.1306,4.03562,23434000000,0.2492,0.35598,0.07069,1.28587,0.1306,0.30679,101698000000,0.35598,0.07069
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2025,2025-03-31,FALSE,TRUE,0,0.47051,0.31029,32250000000,1.65265,1.64584,6.35978,4.45482,0.25986,27202000000,1.81418,1.09774,0.25063,0.90637,7,0.13187,0.15165,1.54071,1.67927,0.13834,3.95887,24780000000,0.25986,0.37098,0.07481,1.09774,0.13834,0.29643,98186000000,0.37098,0.07481
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2025,2024-12-31,FALSE,TRUE,0,0.46883,0.34459,45912000000,2.40888,2.39788,8.24176,4.42642,0.29228,38474000000,2.55103,1.05901,0.25567,0.99793,6,0.181,0.10614,0.9371,1.00448,0.18905,4.15421,36330000000,0.29228,0.5442,0.10558,1.05901,0.18905,0.28132,96799000000,0.5442,0.10558
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2024,2024-09-30,FALSE,TRUE,0,0.46222,0.31171,32502000000,0.97126,0.96675,6.25692,3.75363,0.15523,51076000000,3.36647,3.46607,0.25073,0.9245,7,0.24384,0.25814,1.27555,1.40103,0.08851,5.40878,14736000000,0.15523,0.25875,0.04037,3.46607,0.08851,0.29215,106629000000,0.25875,0.04037
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2024,2024-06-30,FALSE,TRUE,0,0.46257,0.29556,28202000000,1.40297,1.39743,5.61092,4.36356,0.25004,31781000000,2.07889,1.48177,0.25478,1.04958,8,0.14775,0.1816,1.40072,1.55818,0.11782,3.9711,21448000000,0.25004,0.32152,0.06468,1.48177,0.11782,0.30549,101304000000,0.32152,0.06468
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2024,2024-03-31,FALSE,TRUE,0,0.46578,0.30743,30736000000,1.53422,1.52838,5.89081,4.81596,0.26044,27398000000,1.77841,1.15916,0.24082,1.13582,5,0.12104,0.15696,1.21812,1.34194,0.12081,3.54769,23636000000,0.26044,0.31857,0.07005,1.15916,0.12081,0.30998,104590000000,0.31857,0.07005
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2024,2023-12-31,FALSE,TRUE,0,0.45875,0.33764,43221000000,2.18675,2.17736,7.70966,4.77764,0.28364,48359000000,3.11797,1.42585,0.24662,1.07254,9,0.208,0.11278,0.8084,0.86543,0.16233,3.77077,33916000000,0.28364,0.45771,0.09594,1.42585,0.16233,0.30562,108040000000,0.45771,0.09594
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2023,2023-09-30,FALSE,TRUE,0,0.45171,0.30134,29622000000,1.47159,1.46474,5.73726,3.98386,0.2565,25441000000,1.63089,1.10825,0.24091,1.05964,6,0.11404,0.1637,1.67217,1.83666,0.11975,4.67346,22956000000,0.2565,0.36939,0.06511,1.10825,0.11975,0.31507,111088000000,0.36939,0.06511
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2023,2023-06-30,FALSE,TRUE,0,0.44516,0.28116,26050000000,1.2665,1.26028,5.21079,3.83969,0.24305,27558000000,1.75555,1.38615,0.2452,0.98156,7,0.12454,0.1936,1.79647,2.03487,0.10724,4.55858,19881000000,0.24305,0.32984,0.05934,1.38615,0.10724,0.32617,109280000000,0.32984,0.05934
