template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,cash_cash_equivalents_short_term_investments,cash_cash_equivalents,short_term_investments,accounts_notes_receivable,accounts_receivable_net,notes_receivable_net,unbilled_revenues,inventories,raw_materials,work_in_process,finished_goods,other_inventory,other_short_term_assets,prepaid_expenses,derivative_hedging_assets_short_term,assets_held_for_sale,deferred_tax_assets_short_term,income_taxes_receivable,discontinued_operations_short_term,miscellaneous_short_term_assets,total_current_assets,property_plant_equipment_net,property_plant_equipment,accumulated_depreciation,long_term_investments_receivables,long_term_investments,long_term_marketable_securities,long_term_receivables,other_long_term_assets,intangible_assets,goodwill,other_intangible_assets,prepaid_expense,deferred_tax_assets_long_term,derivative_hedging_assets_long_term,prepaid_pension_costs,discontinued_operations_long_term,investments_in_affiliates,miscellaneous_long_term_assets,total_noncurrent_assets,total_assets,payables_accruals,accounts_payable,accrued_taxes,interest_dividends_payable,other_payables_accruals,short_term_debt,short_term_borrowings,short_term_capital_leases,current_portion_of_long_term_debt,other_short_term_liabilities,deferred_revenue_short_term,liabilities_from_derivatives_hedging_short_term,deferred_tax_liabilities_short_term,liabilities_from_discontinued_operations_short_term,miscellaneous_short_term_liabilities,total_current_liabilities,long_term_debt,long_term_borrowings,long_term_capital_leases,other_long_term_liabilities,accrued_liabilities,pension_liabilities,pensions,other_post_retirement_benefits,deferred_compensation,deferred_revenue_long_term,deferred_tax_liabilities_long_term,liabilities_from_derivatives_hedging_long_term,liabilities_from_discontinued_operations_long_term,miscellaneous_long_term_liabilities,total_noncurrent_liabilities,total_liabilities,preferred_equity,share_capital_additional_paid_in_capital,common_stock,additional_paid_in_capital,other_share_capital,treasury_stock,retained_earnings,other_equity,equity_before_minority_interest,minority_interest,total_equity,total_liabilities_equity
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q3,2025,2025-09-30,2025-10-31,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/0001018724-25-000123-index.htm,FALSE,TRUE,0,94197000000,66922000000,27275000000,61175000000,61175000000,NA,NA,41494000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196866000000,324435000000,NA,NA,NA,NA,NA,NA,206620000000,NA,23260000000,NA,NA,NA,NA,NA,NA,NA,183360000000,531055000000,727921000000,174083000000,106032000000,NA,NA,68051000000,NA,NA,NA,NA,21113000000,21113000000,NA,NA,NA,NA,195196000000,50742000000,NA,NA,112352000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,112352000000,163094000000,358290000000,NA,135791000000,NA,NA,NA,-7837000000,229344000000,12333000000,369631000000,NA,369631000000,727921000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q2,2025,2025-06-30,2025-08-01,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/0001018724-25-000086-index.htm,FALSE,TRUE,0,93180000000,57741000000,35439000000,57415000000,57415000000,NA,NA,40825000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191420000000,297616000000,NA,NA,NA,NA,NA,NA,193134000000,NA,23155000000,NA,NA,NA,NA,NA,NA,NA,169979000000,490750000000,682170000000,165259000000,98285000000,NA,NA,66974000000,NA,NA,NA,NA,21662000000,21662000000,NA,NA,NA,NA,186921000000,50718000000,NA,NA,110756000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,110756000000,161474000000,348395000000,NA,131035000000,NA,NA,NA,-7837000000,208157000000,2420000000,333775000000,NA,333775000000,682170000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q1,2025,2025-03-31,2025-05-02,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000036/0001018724-25-000036-index.htm,FALSE,TRUE,0,94565000000,66207000000,28358000000,54216000000,54216000000,NA,NA,35864000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184645000000,272781000000,NA,NA,NA,NA,NA,NA,185830000000,NA,23089000000,NA,NA,NA,NA,NA,NA,NA,162741000000,458611000000,643256000000,155572000000,89241000000,NA,NA,66331000000,NA,NA,NA,NA,20599000000,20599000000,NA,NA,NA,NA,176171000000,53374000000,NA,NA,107844000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,107844000000,161218000000,337389000000,NA,124625000000,NA,NA,NA,-7837000000,189993000000,-914000000,305867000000,NA,305867000000,643256000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q4,2024,2024-12-31,2025-02-07,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/0001018724-25-000123-index.htm,FALSE,TRUE,0,101202000000,78779000000,22423000000,55451000000,55451000000,NA,NA,34214000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190867000000,252665000000,NA,NA,NA,NA,NA,NA,181362000000,NA,23074000000,NA,NA,NA,NA,NA,NA,NA,158288000000,434027000000,624894000000,161328000000,94363000000,NA,NA,66965000000,NA,NA,NA,NA,18103000000,18103000000,NA,NA,NA,NA,179431000000,52623000000,NA,NA,106870000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,106870000000,159493000000,338924000000,NA,120975000000,NA,NA,NA,-7837000000,172866000000,-34000000,285970000000,NA,285970000000,624894000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q3,2024,2024-09-30,2024-11-01,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000161/0001018724-24-000161-index.htm,FALSE,TRUE,0,88051000000,75091000000,12960000000,51638000000,51638000000,NA,NA,36103000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175792000000,237917000000,NA,NA,NA,NA,NA,NA,170917000000,NA,23081000000,NA,NA,NA,NA,NA,NA,NA,147836000000,408834000000,584626000000,145172000000,84570000000,NA,NA,60602000000,NA,NA,NA,NA,16305000000,16305000000,NA,NA,NA,NA,161477000000,54890000000,NA,NA,109108000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,109108000000,163998000000,325475000000,NA,116044000000,NA,NA,NA,-7837000000,152862000000,-1918000000,259151000000,NA,259151000000,584626000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q2,2024,2024-06-30,2024-08-02,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000130/0001018724-24-000130-index.htm,FALSE,TRUE,0,89092000000,71178000000,17914000000,50106000000,50106000000,NA,NA,34109000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173307000000,220717000000,NA,NA,NA,NA,NA,NA,160794000000,NA,22879000000,NA,NA,NA,NA,NA,NA,NA,137915000000,381511000000,554818000000,142168000000,81817000000,NA,NA,60351000000,NA,NA,NA,NA,16004000000,16004000000,NA,NA,NA,NA,158172000000,54889000000,NA,NA,105310000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,105310000000,160199000000,318371000000,NA,110743000000,NA,NA,NA,-7837000000,137534000000,-3993000000,236447000000,NA,236447000000,554818000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q1,2024,2024-03-31,2024-05-01,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000083/0001018724-24-000083-index.htm,FALSE,TRUE,0,85074000000,72852000000,12222000000,47768000000,47768000000,NA,NA,31147000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163989000000,209950000000,NA,NA,NA,NA,NA,NA,157030000000,NA,22770000000,NA,NA,NA,NA,NA,NA,NA,134260000000,366980000000,530969000000,137038000000,73068000000,NA,NA,63970000000,NA,NA,NA,NA,15927000000,15927000000,NA,NA,NA,NA,152965000000,57634000000,NA,NA,103709000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,103709000000,161343000000,314308000000,NA,104047000000,NA,NA,NA,-7837000000,124049000000,-3598000000,216661000000,NA,216661000000,530969000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q4,2023,2023-12-31,2024-02-02,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/0001018724-25-000004-index.htm,FALSE,TRUE,0,86780000000,73387000000,13393000000,52253000000,52253000000,NA,NA,33318000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172351000000,204177000000,NA,NA,NA,NA,NA,NA,151326000000,NA,22789000000,NA,NA,NA,NA,NA,NA,NA,128537000000,355503000000,527854000000,149690000000,84981000000,NA,NA,64709000000,NA,NA,NA,NA,15227000000,15227000000,NA,NA,NA,NA,164917000000,58314000000,NA,NA,102748000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,102748000000,161062000000,325979000000,NA,99134000000,NA,NA,NA,-7837000000,113618000000,-3040000000,201875000000,NA,201875000000,527854000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q3,2023,2023-09-30,2023-10-27,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000018/0001018724-23-000018-index.htm,FALSE,TRUE,0,64169000000,49605000000,14564000000,43420000000,43420000000,NA,NA,35406000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142995000000,196468000000,NA,NA,NA,NA,NA,NA,147420000000,NA,22749000000,NA,NA,NA,NA,NA,NA,NA,124671000000,343888000000,486883000000,130816000000,72004000000,NA,NA,58812000000,NA,NA,NA,NA,14398000000,14398000000,NA,NA,NA,NA,145214000000,61098000000,NA,NA,97598000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,97598000000,158696000000,303910000000,NA,92819000000,NA,NA,NA,-7837000000,102994000000,-5003000000,182973000000,NA,182973000000,486883000000
GENERAL,AMAZON COM INC,62747,AMZN,USD,US0231351067,Q2,2023,2023-06-30,2023-08-04,TRUE,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000012/0001018724-23-000012-index.htm,FALSE,TRUE,0,63970000000,49529000000,14441000000,39925000000,39925000000,NA,NA,36587000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140482000000,193784000000,NA,NA,NA,NA,NA,NA,143341000000,NA,22785000000,NA,NA,NA,NA,NA,NA,NA,120556000000,337125000000,477607000000,133716000000,69481000000,NA,NA,64235000000,NA,NA,NA,NA,14522000000,14522000000,NA,NA,NA,NA,148238000000,63092000000,NA,NA,97675000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,97675000000,160767000000,309005000000,NA,87004000000,NA,NA,NA,-7837000000,93115000000,-3680000000,168602000000,NA,168602000000,477607000000
