template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,ttm,restated,data_model,gross_profit_margin,operating_margin,ebitda,earnings_per_share_basic,earnings_per_share_diluted,sales_per_share,equity_per_share,net_profit_margin,free_cash_flow,free_cash_flow_per_share,free_cash_flow_to_net_income,dividends_per_share,current_ratio,piotroski_f_score,cash_return_on_invested_capital,dividend_payout_ratio,net_debt_ebitda,net_debt_ebit,return_on_invested_capital,liabilities_to_equity_ratio,net_income_adjusted,net_profit_margin_adjusted,return_on_equity_adjusted,return_on_assets_adjusted,free_cash_flow_to_net_income_adjusted,return_on_invested_capital_adjusted,debt_ratio,total_debt,return_on_equity,return_on_assets
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q3,2025,2025-09-30,FALSE,TRUE,0,0.59579,0.30512,36839000000,2.7803,2.75512,8.13497,30.7501,0.34177,25677000000,2.04093,0.73407,0.20157,1.74733,5,0.05877,0.0725,-2.08716,-2.46218,0.08586,0.3867,34979000000,0.34177,0.09042,0.0652,0.73407,0.08586,0.04028,21607000000,0.09042,0.0652
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q2,2025,2025-06-30,FALSE,TRUE,0,0.59515,0.32429,36269000000,2.24116,2.22086,7.66457,28.84636,0.2924,9450000000,0.75113,0.33515,0.20213,1.90375,3,0.02279,0.09019,-1.97251,-2.28777,0.07412,0.38339,28196000000,0.2924,0.07769,0.05616,0.33515,0.07412,0.04702,23607000000,0.07769,0.05616
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q1,2025,2025-03-31,FALSE,TRUE,0,0.59704,0.33918,35093000000,2.74541,2.72054,7.17224,27.44353,0.38278,27383000000,2.17654,0.79279,0.19347,1.76808,6,0.07136,0.07047,-2.40623,-2.759,0.09636,0.37683,34540000000,0.38278,0.10004,0.07266,0.79279,0.09636,0.0229,10886000000,0.10004,0.07266
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q4,2024,2024-12-31,FALSE,TRUE,0,0.579,0.32106,35177000000,2.10921,2.09011,7.66783,25.83928,0.27507,29724000000,2.36261,1.12014,0.1941,1.83693,7,0.08231,0.09203,-2.40993,-2.73712,0.08024,0.38505,26536000000,0.27507,0.08163,0.05894,1.12014,0.08024,0.02417,10883000000,0.08163,0.05894
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q3,2024,2024-09-30,FALSE,TRUE,0,0.58678,0.32312,32506000000,2.0905300000000002,2.0716,7.01598,24.96773,0.29797,21061000000,1.67403,0.80077,0.19514,1.94969,7,0.06027,0.09334,-2.48979,-2.83766,0.08229,0.36975,26301000000,0.29797,0.08373,0.06113,0.80077,0.08229,0.02858,12297000000,0.08373,0.06113
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q2,2024,2024-06-30,FALSE,TRUE,0,0.581,0.32363,31133000000,1.87735,1.86035,6.73571,23.90533,0.27872,16609000000,1.32017,0.70321,0.19601,2.07918,8,0.04931,0.10441,-2.81011,-3.19005,0.07744,0.37911,23619000000,0.27872,0.07853,0.05694,0.70321,0.07744,0.03192,13238000000,0.07853,0.05694
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q1,2024,2024-03-31,FALSE,TRUE,0,0.58142,0.31627,28885000000,1.88077,1.86374,6.40164,23.27669,0.2938,19063000000,1.51522,0.80564,0,2.14906,8,0.0577,0,-3.28413,-3.72417,0.07163,0.39101,23662000000,0.2938,0.0808,0.05809,0.80564,0.07163,0.03247,13228000000,0.0808,0.05809
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q4,2023,2023-12-31,FALSE,TRUE,0,0.56465,0.27456,27013000000,1.6443,1.62941,6.86034,22.52436,0.23968,9448000000,0.75097,0.45671,0,2.09658,7,0.02947,0,-3.6666,-4.17969,0.06453,0.41998,20687000000,0.23968,0.073,0.05141,0.45671,0.06453,0.0295,11870000000,0.073,0.05141
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q3,2023,2023-09-30,FALSE,TRUE,0,0.56673,0.27829,24514000000,1.56498,1.5508,6.09594,21.71544,0.25672,20084000000,1.59638,1.02006,0,2.04311,8,0.0647,0,-4.33034,-4.97372,0.06343,0.45208,19689000000,0.25672,0.07207,0.04963,1.02006,0.06343,0.03474,13781000000,0.07207,0.04963
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q2,2023,2023-06-30,FALSE,TRUE,0,0.57219,0.29272,24662000000,1.44995,1.43905,5.88917,21.08786,0.24621,24245000000,1.91388,1.31996,0,2.17205,8,0.0794,0,-4.24244,-4.79105,0.06016,0.43386,18368000000,0.24621,0.06876,0.04795,1.31996,0.06016,0.03578,13705000000,0.06876,0.04795
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q1,2023,2023-03-31,FALSE,TRUE,0,0.56135,0.24955,20050000000,1.17761,1.17375,5.46021,20.41264,0.21567,18288000000,1.43087,1.21507,NA,2.35259,5,0.06083,NA,-5.05761,-5.82285,0.05006,0.41625,15051000000,0.21567,0.05769,0.04073,1.21507,0.05006,0.03707,13697000000,0.05769,0.04073
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q4,2022,2022-12-31,FALSE,TRUE,0,0.53527,0.2388,20413000000,0.97261,0.94427,5.42901,18.28592,0.17915,16630000000,1.1872,1.22064,0,2.37799,4,0.05619,0,-4.85284,-5.4549,0.04603,0.42601,13624000000,0.17915,0.05319,0.0373,1.22064,0.04603,0.04025,14701000000,0.05319,0.0373
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q3,2022,2022-09-30,FALSE,TRUE,0,0.54904,0.248,21068000000,1.06852,1.06208,5.30742,19.48272,0.20133,16911000000,1.29905,1.21574,NA,2.5176,5,0.05786,NA,-4.82276,-5.92973,0.04759,0.41253,13910000000,0.20133,0.05484,0.03883,1.21574,0.04759,0.0409,14653000000,0.05484,0.03883
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q2,2022,2022-06-30,FALSE,TRUE,0,0.568,0.27916,23151000000,1.21846,1.2087,5.3061,14.54481,0.22963,15118000000,1.15115,0.94476,NA,2.80945,6,0.05145,NA,-4.76277,-5.66817,0.05446,0.3906,16002000000,0.22963,0.06265,0.04505,0.94476,0.05446,0.04148,14734000000,0.06265,0.04505
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q1,2022,2022-03-31,FALSE,TRUE,0,0.56479,0.29545,23685000000,1.24015,1.22202,5.13164,14.42453,0.24167,17294000000,1.30489,1.0522,NA,2.871,7,0.05859,NA,-5.03183,-5.93107,0.05569,0.40587,16436000000,0.24167,0.06471,0.04603,1.0522,0.05569,0.04142,14791000000,0.06471,0.04603
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q4,2021,2021-12-31,FALSE,TRUE,0,0.56206,0.29054,23818000000,1.57549,1.94367,5.74916,19.20596,0.27404,18970000000,1.44788,0.919,NA,2.92811,8,0.0643,NA,-5.24108,-5.704,0.06997,0.42773,20642000000,0.27404,0.08203,0.05746,0.919,0.06997,0.04124,14817000000,0.08203,0.05746
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q3,2021,2021-09-30,FALSE,TRUE,0,0.57583,0.32297,24116000000,1.42214,1.3115,4.89052,18.36756,0.2908,24231000000,1.81981,1.27963,NA,2.97999,8,0.08484,NA,-5.29586,-6.0727,0.0663,0.42048,18936000000,0.2908,0.07743,0.05451,1.27963,0.0663,0.04113,14288000000,0.07743,0.05451
