template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,cash_cash_equivalents_short_term_investments,cash_cash_equivalents,short_term_investments,accounts_notes_receivable,accounts_receivable_net,notes_receivable_net,unbilled_revenues,inventories,raw_materials,work_in_process,finished_goods,other_inventory,other_short_term_assets,prepaid_expenses,derivative_hedging_assets_short_term,assets_held_for_sale,deferred_tax_assets_short_term,income_taxes_receivable,discontinued_operations_short_term,miscellaneous_short_term_assets,total_current_assets,property_plant_equipment_net,property_plant_equipment,accumulated_depreciation,long_term_investments_receivables,long_term_investments,long_term_marketable_securities,long_term_receivables,other_long_term_assets,intangible_assets,goodwill,other_intangible_assets,prepaid_expense,deferred_tax_assets_long_term,derivative_hedging_assets_long_term,prepaid_pension_costs,discontinued_operations_long_term,investments_in_affiliates,miscellaneous_long_term_assets,total_noncurrent_assets,total_assets,payables_accruals,accounts_payable,accrued_taxes,interest_dividends_payable,other_payables_accruals,short_term_debt,short_term_borrowings,short_term_capital_leases,current_portion_of_long_term_debt,other_short_term_liabilities,deferred_revenue_short_term,liabilities_from_derivatives_hedging_short_term,deferred_tax_liabilities_short_term,liabilities_from_discontinued_operations_short_term,miscellaneous_short_term_liabilities,total_current_liabilities,long_term_debt,long_term_borrowings,long_term_capital_leases,other_long_term_liabilities,accrued_liabilities,pension_liabilities,pensions,other_post_retirement_benefits,deferred_compensation,deferred_revenue_long_term,deferred_tax_liabilities_long_term,liabilities_from_derivatives_hedging_long_term,liabilities_from_discontinued_operations_long_term,miscellaneous_long_term_liabilities,total_noncurrent_liabilities,total_liabilities,preferred_equity,share_capital_additional_paid_in_capital,common_stock,additional_paid_in_capital,other_share_capital,treasury_stock,retained_earnings,other_equity,equity_before_minority_interest,minority_interest,total_equity,total_liabilities_equity
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2025,2025-09-30,2025-10-30,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000162828025047240/0001628280-25-047240-index.htm,FALSE,TRUE,0,44448000000,10187000000,34261000000,17297000000,17297000000,NA,NA,NA,NA,NA,NA,NA,11373000000,11373000000,NA,NA,NA,NA,NA,NA,73118000000,160270000000,NA,NA,25074000000,NA,NA,NA,45382000000,NA,21158000000,NA,NA,NA,NA,NA,NA,NA,24224000000,230726000000,303844000000,34845000000,7798000000,NA,NA,27047000000,NA,NA,NA,NA,2113000000,NA,NA,NA,NA,2113000000,36958000000,28834000000,NA,NA,43986000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,43986000000,72820000000,109778000000,NA,92330000000,NA,NA,NA,NA,101577000000,159000000,194066000000,NA,194066000000,303844000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2025,2025-06-30,2025-07-31,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000162828025036791/0001628280-25-036791-index.htm,FALSE,TRUE,0,47071000000,12005000000,35066000000,16561000000,16561000000,NA,NA,NA,NA,NA,NA,NA,9981000000,9981000000,NA,NA,NA,NA,NA,NA,73613000000,147039000000,NA,NA,21988000000,NA,NA,NA,52104000000,NA,20654000000,NA,NA,NA,NA,NA,NA,NA,31450000000,221131000000,294744000000,35328000000,10271000000,NA,NA,25057000000,NA,NA,NA,NA,1977000000,NA,NA,NA,NA,1977000000,37305000000,28832000000,NA,NA,33537000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,33537000000,62369000000,99674000000,NA,88496000000,NA,NA,NA,NA,106345000000,229000000,195070000000,NA,195070000000,294744000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q1,2025,2025-03-31,2025-05-01,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000054/0001326801-25-000054-index.htm,FALSE,TRUE,0,70230000000,28750000000,41480000000,14514000000,14514000000,NA,NA,NA,NA,NA,NA,NA,5483000000,5483000000,NA,NA,NA,NA,NA,NA,90227000000,133567000000,NA,NA,6168000000,NA,NA,NA,50251000000,NA,20654000000,NA,NA,NA,NA,NA,NA,NA,29597000000,189986000000,280213000000,31914000000,8512000000,NA,NA,23402000000,NA,NA,NA,NA,1976000000,NA,NA,NA,NA,1976000000,33890000000,28829000000,NA,NA,32465000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,32465000000,61294000000,95184000000,NA,85568000000,NA,NA,NA,NA,101326000000,-1865000000,185029000000,NA,185029000000,280213000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q4,2024,2024-12-31,2025-01-30,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000162828025047240/0001628280-25-047240-index.htm,FALSE,TRUE,0,77815000000,43889000000,33926000000,16994000000,16994000000,NA,NA,NA,NA,NA,NA,NA,5236000000,5236000000,NA,NA,NA,NA,NA,NA,100045000000,121346000000,NA,NA,6070000000,NA,NA,NA,48593000000,NA,20654000000,NA,NA,NA,NA,NA,NA,NA,27939000000,176009000000,276054000000,31654000000,7687000000,NA,NA,23967000000,NA,NA,NA,NA,1942000000,NA,NA,NA,NA,1942000000,33596000000,28826000000,NA,NA,30995000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,30995000000,59821000000,93417000000,NA,83228000000,NA,NA,NA,NA,102506000000,-3097000000,182637000000,NA,182637000000,276054000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2024,2024-09-30,2024-10-31,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000081/0001326801-24-000081-index.htm,FALSE,TRUE,0,70900000000,43852000000,27048000000,14700000000,14700000000,NA,NA,NA,NA,NA,NA,NA,5467000000,5467000000,NA,NA,NA,NA,NA,NA,91067000000,112162000000,NA,NA,6071000000,NA,NA,NA,47108000000,NA,20654000000,NA,NA,NA,NA,NA,NA,NA,26454000000,165341000000,256408000000,31314000000,7656000000,NA,NA,23658000000,NA,NA,NA,NA,2016000000,NA,NA,NA,NA,2016000000,33330000000,28823000000,NA,NA,29726000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,29726000000,58549000000,91879000000,NA,80749000000,NA,NA,NA,NA,84972000000,-1192000000,164529000000,NA,164529000000,256408000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2024,2024-06-30,2024-08-01,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000069/0001326801-24-000069-index.htm,FALSE,TRUE,0,58080000000,32045000000,26035000000,14505000000,14505000000,NA,NA,NA,NA,NA,NA,NA,3846000000,3846000000,NA,NA,NA,NA,NA,NA,76431000000,102959000000,NA,NA,6207000000,NA,NA,NA,44641000000,NA,20654000000,NA,NA,NA,NA,NA,NA,NA,23987000000,153807000000,230238000000,25087000000,3173000000,NA,NA,21914000000,NA,NA,NA,NA,1917000000,NA,NA,NA,NA,1917000000,27004000000,18389000000,NA,NA,28082000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,28082000000,46471000000,73475000000,NA,78270000000,NA,NA,NA,NA,81188000000,-2695000000,156763000000,NA,156763000000,230238000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q1,2024,2024-03-31,2024-04-25,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000049/0001326801-24-000049-index.htm,FALSE,TRUE,0,58120000000,32307000000,25813000000,13430000000,13430000000,NA,NA,NA,NA,NA,NA,NA,3780000000,3780000000,NA,NA,NA,NA,NA,NA,75330000000,98908000000,NA,NA,6218000000,NA,NA,NA,42388000000,NA,20654000000,NA,NA,NA,NA,NA,NA,NA,21734000000,147514000000,222844000000,26425000000,3785000000,NA,NA,22640000000,NA,NA,NA,NA,1676000000,NA,NA,NA,NA,1676000000,28101000000,18387000000,NA,NA,26827000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,26827000000,45214000000,73315000000,NA,75391000000,NA,NA,NA,NA,76793000000,-2655000000,149529000000,NA,149529000000,222844000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q4,2023,2023-12-31,2024-02-02,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/0001326801-25-000017-index.htm,FALSE,TRUE,0,65403000000,41862000000,23541000000,16169000000,16169000000,NA,NA,NA,NA,NA,NA,NA,3793000000,3793000000,NA,NA,NA,NA,NA,NA,85365000000,96587000000,NA,NA,6141000000,NA,NA,NA,41530000000,NA,20654000000,NA,NA,NA,NA,NA,NA,NA,20876000000,144258000000,229623000000,30337000000,4849000000,NA,NA,25488000000,NA,NA,NA,NA,1623000000,NA,NA,NA,NA,1623000000,31960000000,18385000000,NA,NA,26110000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,26110000000,44495000000,76455000000,NA,73253000000,NA,NA,NA,NA,82070000000,-2155000000,153168000000,NA,153168000000,229623000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2023,2023-09-30,2023-10-26,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000103/0001326801-23-000103-index.htm,FALSE,TRUE,0,61123000000,36890000000,24233000000,12944000000,12944000000,NA,NA,NA,NA,NA,NA,NA,4311000000,4311000000,NA,NA,NA,NA,NA,NA,78378000000,91772000000,NA,NA,6142000000,NA,NA,NA,39982000000,813000000,20668000000,NA,NA,NA,NA,NA,NA,NA,18501000000,137896000000,216274000000,29071000000,4372000000,NA,NA,24699000000,NA,NA,NA,NA,1460000000,NA,NA,NA,NA,1460000000,30531000000,18383000000,NA,NA,24487000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,24487000000,42870000000,73401000000,NA,71224000000,NA,NA,NA,NA,75205000000,-3556000000,142873000000,NA,142873000000,216274000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2023,2023-06-30,2023-07-27,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000093/0001326801-23-000093-index.htm,FALSE,TRUE,0,53446000000,28785000000,24661000000,12511000000,12511000000,NA,NA,NA,NA,NA,NA,NA,3603000000,3603000000,NA,NA,NA,NA,NA,NA,69560000000,87949000000,NA,NA,6208000000,NA,NA,NA,42971000000,856000000,20659000000,NA,NA,NA,NA,NA,NA,NA,21456000000,137128000000,206688000000,28525000000,3093000000,NA,NA,25432000000,NA,NA,NA,NA,1396000000,NA,NA,NA,NA,1396000000,29921000000,18382000000,NA,NA,24352000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,24352000000,42734000000,72655000000,NA,69159000000,NA,NA,NA,NA,67980000000,-3106000000,134033000000,NA,134033000000,206688000000
