template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,revenue,sales_services_revenue,financing_revenue,other_revenue,cost_of_revenue,cost_of_goods_services,cost_of_financing_revenue,cost_of_other_revenue,gross_profit,other_operating_income,operating_expenses,selling_general_administrative,selling_marketing,general_administrative,research_development,depreciation_amortization,provision_for_doubtful_accounts,other_operating_expense,operating_income_loss,non_operating_income_loss,interest_expense_net,interest_expense,interest_income,other_investment_income_loss,foreign_exchange_gain_loss,income_loss_from_affiliates,other_non_operating_income_loss,pretax_income_loss_adjusted,abnormal_gains_losses,acquired_in_process_r_d,merger_acquisition_expense,abnormal_derivatives,disposal_of_assets,early_extinguishment_of_debt,asset_write_down,impairment_of_goodwill_intangibles,sale_of_business,legal_settlement,restructuring_charges,sale_of_and_unrealized_investments,insurance_settlement,other_abnormal_items,pretax_income_loss,income_tax_expense_benefit_net,current_income_tax,deferred_income_tax,tax_allowance_credit,income_loss_from_affiliates_net_of_taxes,income_loss_from_continuing_operations,net_extraordinary_gains_losses,discontinued_operations,xo_accounting_charges_other,income_loss_including_minority_interest,minority_interest,net_income,preferred_dividends,other_adjustments,net_income_available_to_common_shareholders
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2025,2025-09-30,2025-10-23,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025045968/0001628280-25-045968-index.htm,FALSE,TRUE,0,28095000000,NA,NA,NA,-23041000000,NA,NA,NA,5054000000,NA,-3192000000,-1562000000,NA,NA,-1630000000,NA,NA,NA,1862000000,335000000,363000000,NA,NA,NA,NA,NA,-28000000,2197000000,-238000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1959000000,-570000000,NA,NA,NA,NA,1389000000,NA,NA,NA,1389000000,-16000000,1373000000,NA,NA,1373000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2025,2025-06-30,2025-07-24,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025035806/0001628280-25-035806-index.htm,FALSE,TRUE,0,22496000000,NA,NA,NA,-18618000000,NA,NA,NA,3878000000,NA,-2955000000,-1366000000,NA,NA,-1589000000,NA,NA,NA,923000000,626000000,306000000,NA,NA,NA,NA,NA,320000000,1549000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1549000000,-359000000,NA,NA,NA,NA,1190000000,NA,NA,NA,1190000000,-18000000,1172000000,NA,NA,1172000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2025,2025-03-31,2025-04-23,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025018911/0001628280-25-018911-index.htm,FALSE,TRUE,0,19335000000,NA,NA,NA,-16182000000,NA,NA,NA,3153000000,NA,-2660000000,-1251000000,NA,NA,-1409000000,NA,NA,NA,493000000,190000000,309000000,NA,NA,NA,NA,NA,-119000000,683000000,-94000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589000000,-169000000,NA,NA,NA,NA,420000000,NA,NA,NA,420000000,-11000000,409000000,NA,NA,409000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2024,2024-12-31,2025-01-30,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025045968/0001628280-25-045968-index.htm,FALSE,TRUE,0,25707000000,NA,NA,NA,-21528000000,NA,NA,NA,4179000000,NA,-2589000000,-1313000000,NA,NA,-1276000000,NA,NA,NA,1590000000,941000000,346000000,NA,NA,NA,NA,NA,595000000,2531000000,-7000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2524000000,-381000000,NA,NA,NA,NA,2143000000,NA,NA,NA,2143000000,-15000000,2128000000,NA,NA,2128000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2024,2024-09-30,2024-10-24,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025045968/0001628280-25-045968-index.htm,FALSE,TRUE,0,25182000000,NA,NA,NA,-20185000000,NA,NA,NA,4997000000,NA,-2225000000,-1186000000,NA,NA,-1039000000,NA,NA,NA,2772000000,74000000,337000000,NA,NA,NA,NA,NA,-263000000,2846000000,-55000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2791000000,-602000000,NA,NA,NA,NA,2189000000,NA,NA,NA,2189000000,-16000000,2173000000,NA,NA,2173000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2024,2024-06-30,2024-07-24,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025035806/0001628280-25-035806-index.htm,FALSE,TRUE,0,25500000000,NA,NA,NA,-20922000000,NA,NA,NA,4578000000,NA,-2351000000,-1277000000,NA,NA,-1074000000,NA,NA,NA,2227000000,182000000,262000000,NA,NA,NA,NA,NA,-80000000,2409000000,-622000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1787000000,-371000000,NA,NA,NA,NA,1416000000,NA,NA,NA,1416000000,-16000000,1400000000,NA,NA,1400000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2024,2024-03-31,2024-04-24,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025018911/0001628280-25-018911-index.htm,FALSE,TRUE,0,21301000000,NA,NA,NA,-17605000000,NA,NA,NA,3696000000,NA,-2525000000,-1374000000,NA,NA,-1151000000,NA,NA,NA,1171000000,717000000,274000000,NA,NA,NA,NA,NA,443000000,1888000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1888000000,-483000000,NA,NA,NA,NA,1405000000,NA,NA,NA,1405000000,-15000000,1390000000,NA,NA,1390000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2023,2023-12-31,2024-01-29,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828024043486/0001628280-24-043486-index.htm,FALSE,TRUE,0,25167000000,NA,NA,NA,-20729000000,NA,NA,NA,4438000000,NA,-2374000000,-1280000000,NA,NA,-1094000000,NA,NA,NA,2064000000,127000000,272000000,NA,NA,NA,NA,NA,-145000000,2191000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2191000000,5752000000,NA,NA,NA,NA,7943000000,NA,NA,NA,7943000000,-15000000,7928000000,NA,NA,7928000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2023,2023-09-30,2023-10-23,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828024043486/0001628280-24-043486-index.htm,FALSE,TRUE,0,23350000000,NA,NA,NA,-19172000000,NA,NA,NA,4178000000,NA,-2414000000,-1253000000,NA,NA,-1161000000,NA,NA,NA,1764000000,281000000,244000000,-38000000,282000000,NA,NA,NA,37000000,2045000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2045000000,-167000000,NA,NA,NA,NA,1878000000,NA,NA,NA,1878000000,-25000000,1853000000,NA,NA,1853000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2023,2023-06-30,2023-07-24,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828024032662/0001628280-24-032662-index.htm,FALSE,TRUE,0,24927000000,NA,NA,NA,-20394000000,NA,NA,NA,4533000000,NA,-2134000000,-1191000000,NA,NA,-943000000,NA,NA,NA,2399000000,538000000,210000000,-28000000,238000000,NA,NA,NA,328000000,2937000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2937000000,-323000000,NA,NA,NA,NA,2614000000,NA,NA,NA,2614000000,89000000,2703000000,NA,NA,2703000000
