template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,net_income_starting_line,net_income,net_income_from_discontinued_operations,other_adjustments,depreciation_amortization,non_cash_items,stock_based_compensation,deferred_income_taxes,other_non_cash_adjustments,change_in_working_capital,x_increase_decrease_in_accounts_receivable,x_increase_decrease_in_inventories,increase_decrease_in_accounts_payable,increase_decrease_in_other,net_cash_from_discontinued_operations_operating,cash_from_operating_activities,change_in_fixed_assets_intangibles,disposition_of_fixed_assets_intangibles,disposition_of_fixed_assets,disposition_of_intangible_assets,acquisition_of_fixed_assets_intangibles,purchase_of_fixed_assets,acquisition_of_intangible_assets,other_change_in_fixed_assets_intangibles,net_change_in_long_term_investment,decrease_in_long_term_investment,increase_in_long_term_investment,net_cash_from_acquisitions_divestitures,net_cash_from_divestitures,cash_for_acqusition_of_subsidiaries,cash_for_joint_ventures,net_cash_from_other_acquisitions,other_investing_activities,net_cash_from_discontinued_operations_investing,cash_from_investing_activities,dividends_paid,cash_from_repayment_of_debt,cash_from_repayment_of_short_term_debt_net,cash_from_repayment_of_long_term_debt_net,repayments_of_long_term_debt,cash_from_long_term_debt,cash_from_repurchase_of_equity,increase_in_capital_stock,decrease_in_capital_stock,other_financing_activities,net_cash_from_discontinued_operations_financing,cash_from_financing_activities,net_cash_before_disc_operations_and_fx,change_in_cash_from_disc_operations_and_other,net_cash_before_fx,effect_of_foreign_exchange_rates,net_changes_in_cash
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2025,2025-09-30,2025-10-31,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000073/0000320193-25-000073-index.htm,FALSE,TRUE,0,27466000000,NA,NA,NA,3127000000,4842000000,NA,NA,NA,-5707000000,NA,NA,NA,NA,NA,29728000000,-3242000000,NA,NA,NA,NA,NA,NA,NA,1160000000,NA,NA,NA,NA,NA,NA,NA,-505000000,NA,-2587000000,-3862000000,-3217000000,NA,NA,NA,NA,-20132000000,NA,-20132000000,-265000000,NA,-27476000000,-335000000,NA,-335000000,NA,-335000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2025,2025-06-30,2025-08-01,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000057/0000320193-25-000057-index.htm,FALSE,TRUE,0,23434000000,NA,NA,NA,2830000000,3637000000,NA,NA,NA,-2034000000,NA,NA,NA,NA,NA,27867000000,-3462000000,NA,NA,NA,NA,NA,NA,NA,8875000000,NA,NA,NA,NA,NA,NA,NA,-340000000,NA,5073000000,-3945000000,2711000000,NA,NA,NA,NA,-21075000000,NA,-21075000000,-2524000000,NA,-24833000000,8107000000,NA,8107000000,NA,8107000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2025,2025-03-31,2025-05-02,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000008/0000320193-25-000008-index.htm,FALSE,TRUE,0,24780000000,NA,NA,NA,2661000000,3018000000,NA,NA,NA,-6507000000,NA,NA,NA,NA,NA,23952000000,-3071000000,NA,NA,NA,NA,NA,NA,NA,6020000000,NA,NA,NA,NA,NA,NA,NA,-32000000,NA,2917000000,-3758000000,976000000,NA,NA,NA,NA,-25898000000,NA,-25898000000,-326000000,NA,-29006000000,-2137000000,NA,-2137000000,NA,-2137000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2025,2024-12-31,2025-01-31,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000008/0000320193-25-000008-index.htm,FALSE,TRUE,0,36330000000,NA,NA,NA,3080000000,1277000000,NA,NA,NA,-10752000000,NA,NA,NA,NA,NA,29935000000,-2940000000,NA,NA,NA,NA,NA,NA,NA,13335000000,NA,NA,NA,NA,NA,NA,NA,-603000000,NA,9792000000,-3856000000,-8953000000,NA,NA,NA,NA,-23606000000,NA,-23606000000,-2956000000,NA,-39371000000,356000000,NA,356000000,NA,356000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2024,2024-09-30,2024-11-01,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000073/0000320193-25-000073-index.htm,FALSE,TRUE,0,14736000000,NA,NA,NA,2911000000,2556000000,NA,NA,NA,6608000000,NA,NA,NA,NA,NA,26811000000,-2908000000,NA,NA,NA,NA,NA,NA,NA,4544000000,NA,NA,NA,NA,NA,NA,NA,-191000000,NA,1445000000,-3804000000,4387000000,NA,NA,NA,NA,-25083000000,NA,-25083000000,-448000000,NA,-24948000000,3308000000,NA,3308000000,NA,3308000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2024,2024-06-30,2024-08-02,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000057/0000320193-25-000057-index.htm,FALSE,TRUE,0,21448000000,NA,NA,NA,2850000000,2876000000,NA,NA,NA,1684000000,NA,NA,NA,NA,NA,28858000000,-2151000000,NA,NA,NA,NA,NA,NA,NA,2412000000,NA,NA,NA,NA,NA,NA,NA,-388000000,NA,-127000000,-3895000000,-3253000000,NA,NA,NA,NA,-26522000000,NA,-26522000000,-2347000000,NA,-36017000000,-7286000000,NA,-7286000000,NA,-7286000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2024,2024-03-31,2024-05-03,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000008/0000320193-25-000008-index.htm,FALSE,TRUE,0,23636000000,NA,NA,NA,2836000000,1982000000,NA,NA,NA,-5764000000,NA,NA,NA,NA,NA,22690000000,-1996000000,NA,NA,NA,NA,NA,NA,NA,2131000000,NA,NA,NA,NA,NA,NA,NA,-445000000,NA,-310000000,-3710000000,-3148000000,NA,NA,NA,NA,-23205000000,NA,-23205000000,-370000000,NA,-30433000000,-8053000000,NA,-8053000000,NA,-8053000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2024,2023-12-31,2024-02-02,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019325000008/0000320193-25-000008-index.htm,FALSE,TRUE,0,33916000000,NA,NA,NA,2848000000,2008000000,NA,NA,NA,1123000000,NA,NA,NA,NA,NA,39895000000,-2392000000,NA,NA,NA,NA,NA,NA,NA,4603000000,NA,NA,NA,NA,NA,NA,NA,-284000000,NA,1927000000,-3825000000,-3984000000,NA,NA,NA,NA,-20139000000,NA,-20139000000,-2637000000,NA,-30585000000,11237000000,NA,11237000000,NA,11237000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2023,2023-09-30,2023-11-03,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019324000081/0000320193-24-000081-index.htm,FALSE,TRUE,0,22956000000,NA,NA,NA,2653000000,2049000000,NA,NA,NA,-6060000000,NA,NA,NA,NA,NA,21598000000,-2163000000,NA,NA,NA,NA,NA,NA,NA,5141000000,NA,NA,NA,NA,NA,NA,NA,-584000000,NA,2394000000,-3758000000,1993000000,NA,NA,NA,NA,-21003000000,NA,-21003000000,-385000000,NA,-23153000000,839000000,NA,839000000,NA,839000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2023,2023-06-30,2023-08-04,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019324000069/0000320193-24-000069-index.htm,FALSE,TRUE,0,19881000000,NA,NA,NA,3052000000,2698000000,NA,NA,NA,749000000,NA,NA,NA,NA,NA,26380000000,-2093000000,NA,NA,NA,NA,NA,NA,NA,3036000000,NA,NA,NA,NA,NA,NA,NA,-506000000,NA,437000000,-3849000000,-283000000,NA,NA,NA,NA,-17478000000,NA,-17478000000,-2438000000,NA,-24048000000,2769000000,NA,2769000000,NA,2769000000
