template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,cash_cash_equivalents_short_term_investments,cash_cash_equivalents,short_term_investments,accounts_notes_receivable,accounts_receivable_net,notes_receivable_net,unbilled_revenues,inventories,raw_materials,work_in_process,finished_goods,other_inventory,other_short_term_assets,prepaid_expenses,derivative_hedging_assets_short_term,assets_held_for_sale,deferred_tax_assets_short_term,income_taxes_receivable,discontinued_operations_short_term,miscellaneous_short_term_assets,total_current_assets,property_plant_equipment_net,property_plant_equipment,accumulated_depreciation,long_term_investments_receivables,long_term_investments,long_term_marketable_securities,long_term_receivables,other_long_term_assets,intangible_assets,goodwill,other_intangible_assets,prepaid_expense,deferred_tax_assets_long_term,derivative_hedging_assets_long_term,prepaid_pension_costs,discontinued_operations_long_term,investments_in_affiliates,miscellaneous_long_term_assets,total_noncurrent_assets,total_assets,payables_accruals,accounts_payable,accrued_taxes,interest_dividends_payable,other_payables_accruals,short_term_debt,short_term_borrowings,short_term_capital_leases,current_portion_of_long_term_debt,other_short_term_liabilities,deferred_revenue_short_term,liabilities_from_derivatives_hedging_short_term,deferred_tax_liabilities_short_term,liabilities_from_discontinued_operations_short_term,miscellaneous_short_term_liabilities,total_current_liabilities,long_term_debt,long_term_borrowings,long_term_capital_leases,other_long_term_liabilities,accrued_liabilities,pension_liabilities,pensions,other_post_retirement_benefits,deferred_compensation,deferred_revenue_long_term,deferred_tax_liabilities_long_term,liabilities_from_derivatives_hedging_long_term,liabilities_from_discontinued_operations_long_term,miscellaneous_long_term_liabilities,total_noncurrent_liabilities,total_liabilities,preferred_equity,share_capital_additional_paid_in_capital,common_stock,additional_paid_in_capital,other_share_capital,treasury_stock,retained_earnings,other_equity,equity_before_minority_interest,minority_interest,total_equity,total_liabilities_equity
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q3,2025,2025-09-30,2025-10-30,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.htm,FALSE,TRUE,0,98496000000,23090000000,75406000000,57148000000,57148000000,NA,NA,NA,NA,NA,NA,NA,18303000000,NA,NA,NA,NA,NA,NA,18303000000,173947000000,223787000000,NA,NA,63800000000,NA,NA,NA,74935000000,NA,33269000000,NA,NA,10331000000,NA,NA,NA,NA,31335000000,362522000000,536469000000,94008000000,10546000000,NA,NA,83462000000,NA,NA,NA,NA,5542000000,5542000000,NA,NA,NA,NA,99550000000,21607000000,NA,NA,28445000000,NA,NA,NA,NA,NA,NA,10072000000,NA,NA,18373000000,50052000000,149602000000,0,91695000000,NA,NA,NA,NA,297226000000,-2054000000,386867000000,NA,386867000000,536469000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q2,2025,2025-06-30,2025-07-24,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.htm,FALSE,TRUE,0,95148000000,21036000000,74112000000,55048000000,55048000000,NA,NA,NA,NA,NA,NA,NA,16020000000,NA,NA,NA,NA,NA,NA,16020000000,166216000000,203231000000,NA,NA,52574000000,NA,NA,NA,80032000000,NA,32335000000,NA,NA,19289000000,NA,NA,NA,NA,28408000000,335837000000,502053000000,82341000000,8347000000,NA,NA,73994000000,NA,NA,NA,NA,4969000000,4969000000,NA,NA,NA,NA,87310000000,23607000000,NA,NA,28220000000,NA,NA,NA,NA,NA,NA,10027000000,NA,NA,18193000000,51827000000,139137000000,0,89283000000,NA,NA,NA,NA,275760000000,-2127000000,362916000000,NA,362916000000,502053000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q1,2025,2025-03-31,2025-04-25,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.htm,FALSE,TRUE,0,95328000000,23264000000,72064000000,51000000000,51000000000,NA,NA,NA,NA,NA,NA,NA,15724000000,NA,NA,NA,NA,NA,NA,15724000000,162052000000,185062000000,NA,NA,51029000000,NA,NA,NA,77231000000,NA,32173000000,NA,NA,18386000000,NA,NA,NA,NA,26672000000,313322000000,475374000000,86746000000,8497000000,NA,NA,78249000000,NA,NA,NA,NA,4908000000,4908000000,NA,NA,NA,NA,91654000000,10886000000,NA,NA,27567000000,NA,NA,NA,NA,NA,NA,9773000000,NA,NA,17794000000,38453000000,130107000000,0,86725000000,NA,NA,NA,NA,262628000000,-4086000000,345267000000,NA,345267000000,475374000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q4,2024,2024-12-31,2025-02-05,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.htm,FALSE,TRUE,0,95657000000,23466000000,72191000000,52340000000,52340000000,NA,NA,NA,NA,NA,NA,NA,15714000000,NA,NA,NA,NA,NA,NA,15714000000,163711000000,171036000000,NA,NA,37982000000,NA,NA,NA,77527000000,NA,31885000000,NA,NA,17180000000,NA,NA,NA,NA,28462000000,286545000000,450256000000,84086000000,7987000000,NA,NA,76099000000,NA,NA,NA,NA,5036000000,5036000000,NA,NA,NA,NA,89122000000,10883000000,NA,NA,25167000000,NA,NA,NA,NA,NA,NA,8782000000,NA,NA,16385000000,36050000000,125172000000,0,84800000000,NA,NA,NA,NA,245084000000,-4800000000,325084000000,NA,325084000000,450256000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q3,2024,2024-09-30,2024-10-30,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000118/0001652044-24-000118-index.htm,FALSE,TRUE,0,93230000000,19959000000,73271000000,49104000000,49104000000,NA,NA,NA,NA,NA,NA,NA,15207000000,NA,NA,NA,NA,NA,NA,15207000000,157541000000,161270000000,NA,NA,36177000000,NA,NA,NA,75278000000,NA,31935000000,NA,NA,15915000000,NA,NA,NA,NA,27428000000,272725000000,430266000000,75907000000,7049000000,NA,NA,68858000000,NA,NA,NA,NA,4896000000,4896000000,NA,NA,NA,NA,80803000000,12297000000,NA,NA,23047000000,NA,NA,NA,NA,NA,1015000000,8925000000,NA,NA,13107000000,35344000000,116147000000,0,82030000000,NA,NA,NA,NA,235317000000,-3228000000,314119000000,NA,314119000000,430266000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q2,2024,2024-06-30,2024-07-24,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000079/0001652044-24-000079-index.htm,FALSE,TRUE,0,100725000000,27225000000,73500000000,47087000000,47087000000,NA,NA,NA,NA,NA,NA,NA,14183000000,NA,NA,NA,NA,NA,NA,14183000000,161995000000,151155000000,NA,NA,34172000000,NA,NA,NA,67448000000,NA,29185000000,NA,NA,14958000000,NA,NA,NA,NA,23305000000,252775000000,414770000000,73662000000,6092000000,NA,NA,67570000000,NA,NA,NA,NA,4251000000,4251000000,NA,NA,NA,NA,77913000000,13238000000,NA,NA,22866000000,NA,NA,NA,NA,NA,985000000,8420000000,NA,NA,13461000000,36104000000,114017000000,0,79732000000,NA,NA,NA,NA,226033000000,-5012000000,300753000000,NA,300753000000,414770000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q1,2024,2024-03-31,2024-04-26,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000053/0001652044-24-000053-index.htm,FALSE,TRUE,0,108090000000,24493000000,83597000000,44552000000,44552000000,NA,NA,NA,NA,NA,NA,NA,12829000000,NA,NA,NA,NA,NA,NA,12829000000,165471000000,143182000000,NA,NA,33994000000,NA,NA,NA,64703000000,NA,29183000000,NA,NA,11687000000,NA,NA,NA,NA,23833000000,241879000000,407350000000,73024000000,6198000000,NA,NA,66826000000,NA,NA,NA,NA,3973000000,3973000000,NA,NA,NA,NA,76997000000,13228000000,NA,NA,24281000000,NA,NA,NA,NA,NA,921000000,9720000000,NA,NA,13640000000,37509000000,114506000000,0,77913000000,NA,NA,NA,NA,219770000000,-4839000000,292844000000,NA,292844000000,407350000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q4,2023,2023-12-31,2024-01-31,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.htm,FALSE,TRUE,0,110916000000,24048000000,86868000000,47964000000,47964000000,NA,NA,NA,NA,NA,NA,NA,12650000000,NA,NA,NA,NA,NA,NA,12650000000,171530000000,134345000000,NA,NA,31008000000,NA,NA,NA,65509000000,NA,29198000000,NA,NA,12169000000,NA,NA,NA,NA,24142000000,230862000000,402392000000,77677000000,7493000000,NA,NA,70184000000,NA,NA,NA,NA,4137000000,4137000000,NA,NA,NA,NA,81814000000,11870000000,NA,NA,25329000000,NA,NA,NA,NA,NA,NA,8474000000,NA,NA,16855000000,37199000000,119013000000,0,76534000000,NA,NA,NA,NA,211247000000,-4402000000,283379000000,NA,283379000000,402392000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q3,2023,2023-09-30,2023-10-25,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000094/0001652044-23-000094-index.htm,FALSE,TRUE,0,119935000000,30702000000,89233000000,41020000000,41020000000,NA,NA,2957000000,NA,NA,NA,NA,12398000000,NA,NA,NA,NA,NA,NA,12398000000,176310000000,125705000000,NA,NA,30907000000,NA,NA,NA,63789000000,1833000000,29146000000,NA,NA,10983000000,NA,NA,NA,NA,21827000000,220401000000,396711000000,81992000000,5803000000,NA,NA,76189000000,NA,NA,NA,NA,4303000000,4303000000,NA,NA,NA,NA,86295000000,13781000000,NA,NA,23433000000,NA,NA,NA,NA,NA,884000000,8566000000,NA,NA,13983000000,37214000000,123509000000,0,74591000000,NA,NA,NA,NA,205647000000,-7036000000,273202000000,NA,273202000000,396711000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q2,2023,2023-06-30,2023-07-26,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000070/0001652044-23-000070-index.htm,FALSE,TRUE,0,118332000000,25929000000,92403000000,38804000000,38804000000,NA,NA,2231000000,NA,NA,NA,NA,9421000000,NA,NA,NA,NA,NA,NA,9421000000,168788000000,121208000000,NA,NA,31224000000,NA,NA,NA,61824000000,1966000000,29210000000,NA,NA,9357000000,NA,NA,NA,NA,21291000000,214256000000,383044000000,73863000000,5313000000,NA,NA,68550000000,NA,NA,NA,NA,3846000000,3846000000,NA,NA,NA,NA,77709000000,13705000000,NA,NA,24489000000,NA,NA,NA,NA,NA,667000000,9311000000,NA,NA,14511000000,38194000000,115903000000,0,72248000000,NA,NA,NA,NA,200884000000,-5991000000,267141000000,NA,267141000000,383044000000
