template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,net_income_starting_line,net_income,net_income_from_discontinued_operations,other_adjustments,depreciation_amortization,non_cash_items,stock_based_compensation,deferred_income_taxes,other_non_cash_adjustments,change_in_working_capital,x_increase_decrease_in_accounts_receivable,x_increase_decrease_in_inventories,increase_decrease_in_accounts_payable,increase_decrease_in_other,net_cash_from_discontinued_operations_operating,cash_from_operating_activities,change_in_fixed_assets_intangibles,disposition_of_fixed_assets_intangibles,disposition_of_fixed_assets,disposition_of_intangible_assets,acquisition_of_fixed_assets_intangibles,purchase_of_fixed_assets,acquisition_of_intangible_assets,other_change_in_fixed_assets_intangibles,net_change_in_long_term_investment,decrease_in_long_term_investment,increase_in_long_term_investment,net_cash_from_acquisitions_divestitures,net_cash_from_divestitures,cash_for_acqusition_of_subsidiaries,cash_for_joint_ventures,net_cash_from_other_acquisitions,other_investing_activities,net_cash_from_discontinued_operations_investing,cash_from_investing_activities,dividends_paid,cash_from_repayment_of_debt,cash_from_repayment_of_short_term_debt_net,cash_from_repayment_of_long_term_debt_net,repayments_of_long_term_debt,cash_from_long_term_debt,cash_from_repurchase_of_equity,increase_in_capital_stock,decrease_in_capital_stock,other_financing_activities,net_cash_from_discontinued_operations_financing,cash_from_financing_activities,net_cash_before_disc_operations_and_fx,change_in_cash_from_disc_operations_and_other,net_cash_before_fx,effect_of_foreign_exchange_rates,net_changes_in_cash
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q3,2025,2025-09-30,2025-10-30,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.htm,FALSE,TRUE,0,34979000000,NA,NA,NA,5611000000,4041000000,6368000000,8726000000,-11053000000,3783000000,-2381000000,NA,-444000000,6608000000,NA,48414000000,-23953000000,NA,NA,NA,-23953000000,-23953000000,NA,NA,-1270000000,20694000000,-21964000000,-1072000000,NA,NA,NA,-1072000000,-1482000000,NA,-27777000000,-2536000000,-1073000000,NA,NA,NA,NA,-11504000000,NA,-11504000000,-3270000000,NA,-18383000000,2254000000,NA,2254000000,-200000000,2054000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q2,2025,2025-06-30,2025-07-24,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.htm,FALSE,TRUE,0,28196000000,NA,NA,NA,4998000000,4663000000,5998000000,-444000000,-891000000,-10110000000,-2839000000,NA,553000000,-7824000000,NA,27747000000,-22446000000,NA,NA,NA,-22446000000,-22446000000,NA,NA,-1572000000,21199000000,-22771000000,-13000000,NA,NA,NA,-13000000,-513000000,NA,-24544000000,-2543000000,12970000000,NA,NA,NA,NA,-13638000000,NA,-13638000000,-2621000000,NA,-5832000000,-2629000000,NA,-2629000000,401000000,-2228000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q1,2025,2025-03-31,2025-04-25,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.htm,FALSE,TRUE,0,34540000000,NA,NA,NA,4487000000,-5115000000,5516000000,-1152000000,-9479000000,2238000000,1638000000,NA,-880000000,1480000000,NA,36150000000,-17197000000,NA,NA,NA,-17197000000,-17197000000,NA,NA,1193000000,20604000000,-19411000000,-340000000,NA,NA,NA,-340000000,150000000,NA,-16194000000,-2434000000,11000000,NA,NA,NA,NA,-15068000000,NA,-15068000000,-2710000000,NA,-20201000000,-245000000,NA,-245000000,43000000,-202000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q4,2024,2024-12-31,2025-02-05,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.htm,FALSE,TRUE,0,26536000000,NA,NA,NA,4205000000,5256000000,5810000000,-1448000000,894000000,3116000000,-4570000000,NA,401000000,7285000000,NA,39113000000,-14276000000,NA,NA,NA,-14276000000,-14276000000,NA,NA,-1646000000,21799000000,-23445000000,-91000000,NA,NA,NA,-91000000,-167000000,NA,-16180000000,-2442000000,1145000000,NA,NA,NA,NA,-15551000000,NA,-15551000000,-2188000000,NA,-19036000000,3897000000,NA,3897000000,-390000000,3507000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q3,2024,2024-09-30,2024-10-30,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.htm,FALSE,TRUE,0,26301000000,NA,NA,NA,3985000000,4201000000,5846000000,-1071000000,-574000000,-3789000000,-1431000000,NA,521000000,-2879000000,NA,30698000000,-13061000000,NA,NA,NA,-13061000000,-13061000000,NA,NA,271000000,23329000000,-23058000000,-2753000000,NA,NA,NA,-2753000000,-2468000000,NA,-18011000000,-2455000000,370000000,NA,NA,NA,NA,-15291000000,NA,-15291000000,-2718000000,NA,-20094000000,-7407000000,NA,-7407000000,141000000,-7266000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q2,2024,2024-06-30,2024-07-24,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.htm,FALSE,TRUE,0,23619000000,NA,NA,NA,3708000000,4583000000,5865000000,-3157000000,1875000000,-5270000000,-3057000000,NA,1561000000,-3774000000,NA,26640000000,-13186000000,NA,NA,NA,-13186000000,-13186000000,NA,NA,10564000000,33884000000,-23320000000,-26000000,NA,NA,NA,-26000000,-133000000,NA,-2781000000,-2466000000,470000000,NA,NA,NA,NA,-15684000000,NA,-15684000000,-3209000000,NA,-20889000000,2970000000,NA,2970000000,-238000000,2732000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q1,2024,2024-03-31,2024-04-26,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.htm,FALSE,TRUE,0,23662000000,NA,NA,NA,3413000000,4236000000,5264000000,419000000,-1447000000,-2463000000,3167000000,NA,-2124000000,-3506000000,NA,28848000000,-12012000000,NA,NA,NA,-12012000000,-12012000000,NA,NA,3408000000,25298000000,-21890000000,-61000000,NA,NA,NA,-61000000,101000000,NA,-8564000000,0,-1097000000,NA,NA,NA,NA,-15696000000,NA,-15696000000,-2921000000,NA,-19714000000,570000000,NA,570000000,-125000000,445000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q4,2023,2023-12-31,2024-01-31,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000118/0001652044-24-000118-index.htm,FALSE,TRUE,0,20687000000,NA,NA,NA,3316000000,5183000000,5659000000,-1670000000,1194000000,-10271000000,-6518000000,NA,427000000,-4180000000,NA,18915000000,-11019000000,NA,NA,NA,-11019000000,-11019000000,NA,NA,4947000000,34234000000,-29287000000,-29000000,NA,NA,NA,-29000000,-66000000,NA,-6167000000,0,-437000000,NA,NA,NA,NA,-16191000000,NA,-16191000000,-2680000000,NA,-19308000000,-6560000000,NA,-6560000000,-94000000,-6654000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q3,2023,2023-09-30,2023-10-25,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000079/0001652044-24-000079-index.htm,FALSE,TRUE,0,19689000000,NA,NA,NA,3171000000,5679000000,5743000000,-1824000000,1760000000,2117000000,-2821000000,NA,223000000,4715000000,NA,30656000000,-8055000000,NA,NA,NA,-8055000000,-8055000000,NA,NA,1659000000,16155000000,-14496000000,-126000000,NA,NA,NA,-126000000,-628000000,NA,-7150000000,0,-166000000,NA,NA,NA,NA,-15787000000,NA,-15787000000,-2429000000,NA,-18382000000,5124000000,NA,5124000000,-351000000,4773000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q2,2023,2023-06-30,2023-07-26,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000053/0001652044-24-000053-index.htm,FALSE,TRUE,0,18368000000,NA,NA,NA,2824000000,4538000000,5774000000,-2415000000,1179000000,2936000000,-2948000000,NA,1119000000,4765000000,NA,28666000000,-6888000000,NA,NA,NA,-6888000000,-6888000000,NA,NA,-3382000000,18867000000,-22249000000,-298000000,NA,NA,NA,-298000000,-232000000,NA,-10800000000,0,-132000000,NA,NA,NA,NA,-14969000000,NA,-14969000000,-2734000000,NA,-17835000000,31000000,NA,31000000,-26000000,5000000
