template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,revenue,sales_services_revenue,financing_revenue,other_revenue,cost_of_revenue,cost_of_goods_services,cost_of_financing_revenue,cost_of_other_revenue,gross_profit,other_operating_income,operating_expenses,selling_general_administrative,selling_marketing,general_administrative,research_development,depreciation_amortization,provision_for_doubtful_accounts,other_operating_expense,operating_income_loss,non_operating_income_loss,interest_expense_net,interest_expense,interest_income,other_investment_income_loss,foreign_exchange_gain_loss,income_loss_from_affiliates,other_non_operating_income_loss,pretax_income_loss_adjusted,abnormal_gains_losses,acquired_in_process_r_d,merger_acquisition_expense,abnormal_derivatives,disposal_of_assets,early_extinguishment_of_debt,asset_write_down,impairment_of_goodwill_intangibles,sale_of_business,legal_settlement,restructuring_charges,sale_of_and_unrealized_investments,insurance_settlement,other_abnormal_items,pretax_income_loss,income_tax_expense_benefit_net,current_income_tax,deferred_income_tax,tax_allowance_credit,income_loss_from_affiliates_net_of_taxes,income_loss_from_continuing_operations,net_extraordinary_gains_losses,discontinued_operations,xo_accounting_charges_other,income_loss_including_minority_interest,minority_interest,net_income,preferred_dividends,other_adjustments,net_income_available_to_common_shareholders
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q3,2025,2025-09-30,2025-10-30,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.htm,FALSE,TRUE,0,102346000000,NA,NA,NA,-41369000000,NA,NA,NA,60977000000,NA,-29749000000,-14598000000,NA,NA,-15151000000,NA,NA,NA,31228000000,12759000000,NA,NA,NA,NA,NA,NA,12759000000,43987000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43987000000,-9008000000,NA,NA,NA,NA,34979000000,NA,NA,NA,34979000000,NA,34979000000,NA,NA,34979000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q2,2025,2025-06-30,2025-07-24,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.htm,FALSE,TRUE,0,96428000000,NA,NA,NA,-39039000000,NA,NA,NA,57389000000,NA,-26118000000,-12310000000,NA,NA,-13808000000,NA,NA,NA,31271000000,2662000000,NA,NA,NA,NA,NA,NA,2662000000,33933000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33933000000,-5737000000,NA,NA,NA,NA,28196000000,NA,NA,NA,28196000000,NA,28196000000,NA,NA,28196000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q1,2025,2025-03-31,2025-04-25,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.htm,FALSE,TRUE,0,90234000000,NA,NA,NA,-36361000000,NA,NA,NA,53873000000,NA,-23267000000,-9711000000,NA,NA,-13556000000,NA,NA,NA,30606000000,11183000000,NA,NA,NA,NA,NA,NA,11183000000,41789000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41789000000,-7249000000,NA,NA,NA,NA,34540000000,NA,NA,NA,34540000000,NA,34540000000,NA,NA,34540000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q4,2024,2024-12-31,2025-02-05,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.htm,FALSE,TRUE,0,96469000000,NA,NA,NA,-40613000000,NA,NA,NA,55856000000,NA,-24884000000,-11768000000,NA,NA,-13116000000,NA,NA,NA,30972000000,1271000000,NA,NA,NA,NA,NA,NA,1271000000,32243000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32243000000,-5707000000,NA,NA,NA,NA,26536000000,NA,NA,NA,26536000000,NA,26536000000,NA,NA,26536000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q3,2024,2024-09-30,2024-10-30,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/0001652044-25-000091-index.htm,FALSE,TRUE,0,88268000000,NA,NA,NA,-36474000000,NA,NA,NA,51794000000,NA,-23273000000,-10826000000,NA,NA,-12447000000,NA,NA,NA,28521000000,3185000000,NA,NA,NA,NA,NA,NA,3185000000,31706000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31706000000,-5405000000,NA,NA,NA,NA,26301000000,NA,NA,NA,26301000000,NA,26301000000,NA,NA,26301000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q2,2024,2024-06-30,2024-07-24,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.htm,FALSE,TRUE,0,84742000000,NA,NA,NA,-35507000000,NA,NA,NA,49235000000,NA,-21810000000,-9950000000,NA,NA,-11860000000,NA,NA,NA,27425000000,126000000,NA,NA,NA,NA,NA,NA,126000000,27551000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27551000000,-3932000000,NA,NA,NA,NA,23619000000,NA,NA,NA,23619000000,NA,23619000000,NA,NA,23619000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q1,2024,2024-03-31,2024-04-26,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.htm,FALSE,TRUE,0,80539000000,NA,NA,NA,-33712000000,NA,NA,NA,46827000000,NA,-21355000000,-9452000000,NA,NA,-11903000000,NA,NA,NA,25472000000,2843000000,NA,NA,NA,NA,NA,NA,2843000000,28315000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28315000000,-4653000000,NA,NA,NA,NA,23662000000,NA,NA,NA,23662000000,NA,23662000000,NA,NA,23662000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q4,2023,2023-12-31,2024-01-31,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000118/0001652044-24-000118-index.htm,FALSE,TRUE,0,86310000000,NA,NA,NA,-37575000000,NA,NA,NA,48735000000,NA,-25038000000,-12925000000,NA,NA,-12113000000,NA,NA,NA,23697000000,715000000,NA,NA,NA,NA,NA,NA,715000000,24412000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24412000000,-3725000000,NA,NA,NA,NA,20687000000,NA,NA,NA,20687000000,NA,20687000000,NA,NA,20687000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q3,2023,2023-09-30,2023-10-25,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000118/0001652044-24-000118-index.htm,FALSE,TRUE,0,76693000000,NA,NA,NA,-33229000000,NA,NA,NA,43464000000,NA,-22121000000,-10863000000,NA,NA,-11258000000,NA,NA,NA,21343000000,-146000000,NA,NA,NA,NA,NA,NA,-146000000,21197000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21197000000,-1508000000,NA,NA,NA,NA,19689000000,NA,NA,NA,19689000000,NA,19689000000,NA,NA,19689000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q2,2023,2023-06-30,2023-07-26,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000079/0001652044-24-000079-index.htm,FALSE,TRUE,0,74604000000,NA,NA,NA,-31916000000,NA,NA,NA,42688000000,NA,-20850000000,-10262000000,NA,NA,-10588000000,NA,NA,NA,21838000000,65000000,NA,NA,NA,NA,NA,NA,65000000,21903000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21903000000,-3535000000,NA,NA,NA,NA,18368000000,NA,NA,NA,18368000000,NA,18368000000,NA,NA,18368000000
