template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,revenue,sales_services_revenue,financing_revenue,other_revenue,cost_of_revenue,cost_of_goods_services,cost_of_financing_revenue,cost_of_other_revenue,gross_profit,other_operating_income,operating_expenses,selling_general_administrative,selling_marketing,general_administrative,research_development,depreciation_amortization,provision_for_doubtful_accounts,other_operating_expense,operating_income_loss,non_operating_income_loss,interest_expense_net,interest_expense,interest_income,other_investment_income_loss,foreign_exchange_gain_loss,income_loss_from_affiliates,other_non_operating_income_loss,pretax_income_loss_adjusted,abnormal_gains_losses,acquired_in_process_r_d,merger_acquisition_expense,abnormal_derivatives,disposal_of_assets,early_extinguishment_of_debt,asset_write_down,impairment_of_goodwill_intangibles,sale_of_business,legal_settlement,restructuring_charges,sale_of_and_unrealized_investments,insurance_settlement,other_abnormal_items,pretax_income_loss,income_tax_expense_benefit_net,current_income_tax,deferred_income_tax,tax_allowance_credit,income_loss_from_affiliates_net_of_taxes,income_loss_from_continuing_operations,net_extraordinary_gains_losses,discontinued_operations,xo_accounting_charges_other,income_loss_including_minority_interest,minority_interest,net_income,preferred_dividends,other_adjustments,net_income_available_to_common_shareholders
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2025,2025-09-30,2025-10-30,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000162828025047240/0001628280-25-047240-index.htm,FALSE,TRUE,0,51242000000,NA,NA,NA,-9206000000,NA,NA,NA,42036000000,NA,-21501000000,-6357000000,NA,NA,-15144000000,NA,NA,NA,20535000000,1128000000,NA,NA,NA,NA,NA,NA,1128000000,21663000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21663000000,-18954000000,NA,NA,NA,NA,2709000000,NA,NA,NA,2709000000,NA,2709000000,NA,NA,2709000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2025,2025-06-30,2025-07-31,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000162828025036791/0001628280-25-036791-index.htm,FALSE,TRUE,0,47516000000,NA,NA,NA,-8491000000,NA,NA,NA,39025000000,NA,-18584000000,-5642000000,NA,NA,-12942000000,NA,NA,NA,20441000000,93000000,NA,NA,NA,NA,NA,NA,93000000,20534000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20534000000,-2197000000,NA,NA,NA,NA,18337000000,NA,NA,NA,18337000000,NA,18337000000,NA,NA,18337000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q1,2025,2025-03-31,2025-05-01,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000054/0001326801-25-000054-index.htm,FALSE,TRUE,0,42314000000,NA,NA,NA,-7572000000,NA,NA,NA,34742000000,NA,-17187000000,-5037000000,NA,NA,-12150000000,NA,NA,NA,17555000000,827000000,NA,NA,NA,NA,NA,NA,827000000,18382000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18382000000,-1738000000,NA,NA,NA,NA,16644000000,NA,NA,NA,16644000000,NA,16644000000,NA,NA,16644000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q4,2024,2024-12-31,2025-01-30,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000162828025047240/0001628280-25-047240-index.htm,FALSE,TRUE,0,48385000000,NA,NA,NA,-8839000000,NA,NA,NA,39546000000,NA,-16182000000,-4002000000,NA,NA,-12180000000,NA,NA,NA,23364000000,188000000,NA,NA,NA,NA,NA,NA,188000000,23552000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23552000000,-2714000000,NA,NA,NA,NA,20838000000,NA,NA,NA,20838000000,NA,20838000000,NA,NA,20838000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2024,2024-09-30,2024-10-31,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000162828025047240/0001628280-25-047240-index.htm,FALSE,TRUE,0,40589000000,NA,NA,NA,-7375000000,NA,NA,NA,33214000000,NA,-15864000000,-4687000000,NA,NA,-11177000000,NA,NA,NA,17350000000,472000000,NA,NA,NA,NA,NA,NA,472000000,17822000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17822000000,-2134000000,NA,NA,NA,NA,15688000000,NA,NA,NA,15688000000,NA,15688000000,NA,NA,15688000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2024,2024-06-30,2024-08-01,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000162828025036791/0001628280-25-036791-index.htm,FALSE,TRUE,0,39071000000,NA,NA,NA,-7308000000,NA,NA,NA,31763000000,NA,-16916000000,-6379000000,NA,NA,-10537000000,NA,NA,NA,14847000000,259000000,NA,NA,NA,NA,NA,NA,259000000,15106000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15106000000,-1641000000,NA,NA,NA,NA,13465000000,NA,NA,NA,13465000000,NA,13465000000,NA,NA,13465000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q1,2024,2024-03-31,2024-04-25,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000054/0001326801-25-000054-index.htm,FALSE,TRUE,0,36455000000,NA,NA,NA,-6640000000,NA,NA,NA,29815000000,NA,-15997000000,-6019000000,NA,NA,-9978000000,NA,NA,NA,13818000000,365000000,NA,NA,NA,NA,NA,NA,365000000,14183000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14183000000,-1814000000,NA,NA,NA,NA,12369000000,NA,NA,NA,12369000000,NA,12369000000,NA,NA,12369000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q4,2023,2023-12-31,2024-02-02,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000081/0001326801-24-000081-index.htm,FALSE,TRUE,0,40111000000,NA,NA,NA,-7695000000,NA,NA,NA,32416000000,NA,-16032000000,-5515000000,NA,NA,-10517000000,NA,NA,NA,16384000000,423000000,NA,NA,NA,NA,NA,NA,423000000,16807000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16807000000,-2790000000,NA,NA,NA,NA,14017000000,NA,NA,NA,14017000000,NA,14017000000,NA,NA,14017000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2023,2023-09-30,2023-10-26,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000081/0001326801-24-000081-index.htm,FALSE,TRUE,0,34146000000,NA,NA,NA,-6210000000,NA,NA,NA,27936000000,NA,-14188000000,-4947000000,NA,NA,-9241000000,NA,NA,NA,13748000000,272000000,NA,NA,NA,NA,NA,NA,272000000,14020000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14020000000,-2437000000,NA,NA,NA,NA,11583000000,NA,NA,NA,11583000000,NA,11583000000,NA,NA,11583000000
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2023,2023-06-30,2023-07-27,TRUE,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000069/0001326801-24-000069-index.htm,FALSE,TRUE,0,31999000000,NA,NA,NA,-5945000000,NA,NA,NA,26054000000,NA,-16662000000,-7318000000,NA,NA,-9344000000,NA,NA,NA,9392000000,-99000000,NA,NA,NA,NA,NA,NA,-99000000,9293000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9293000000,-1505000000,NA,NA,NA,NA,7788000000,NA,NA,NA,7788000000,NA,7788000000,NA,NA,7788000000
