template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,ttm,restated,data_model,gross_profit_margin,operating_margin,ebitda,earnings_per_share_basic,earnings_per_share_diluted,sales_per_share,equity_per_share,net_profit_margin,free_cash_flow,free_cash_flow_per_share,free_cash_flow_to_net_income,dividends_per_share,current_ratio,piotroski_f_score,cash_return_on_invested_capital,dividend_payout_ratio,net_debt_ebitda,net_debt_ebit,return_on_invested_capital,liabilities_to_equity_ratio,net_income_adjusted,net_profit_margin_adjusted,return_on_equity_adjusted,return_on_assets_adjusted,free_cash_flow_to_net_income_adjusted,return_on_invested_capital_adjusted,debt_ratio,total_debt,return_on_equity,return_on_assets
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2025,2025-09-30,FALSE,TRUE,0,0.82034,0.40075,25498000000,1.07628,1.05327,20.35836,77.10211,0.05287,23472000000,9.32539,8.66445,0.52841,1.97841,7,0.08795,0.49096,-0.61236,-0.76036,0.01513,0.56567,2709000000,0.05287,0.01396,0.00892,8.66445,0.01513,0.0949,28834000000,0.01396,0.00892
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2025,2025-06-30,FALSE,TRUE,0,0.8213,0.43019,24783000000,7.28237,7.13502,18.87053,77.47021,0.38591,9485000000,3.76688,0.51726,0.52701,1.97327,7,0.03684,0.07237,-0.73595,-0.89228,0.07638,0.51097,18337000000,0.38591,0.094,0.06221,0.51726,0.07638,0.09782,28832000000,0.094,0.06221
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q1,2025,2025-03-31,FALSE,TRUE,0,0.82105,0.41487,21455000000,6.58647,6.42625,16.74476,73.22082,0.39334,10811000000,4.2782,0.64954,0.52592,2.66235,6,0.04389,0.07985,-1.92967,-2.35836,0.07297,0.51443,16644000000,0.39334,0.08995,0.0594,0.64954,0.07297,0.10288,28829000000,0.08995,0.0594
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q4,2024,2024-12-31,FALSE,TRUE,0,0.81732,0.48288,27824000000,8.24288,7.9504,19.13964,72.24565,0.43067,15609000000,6.17445,0.74906,0.50237,2.97788,7,0.06438,0.06095,-1.76067,-2.09677,0.09118,0.51149,20838000000,0.43067,0.1141,0.07549,0.74906,0.09118,0.10442,28826000000,0.1141,0.07549
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2024,2024-09-30,FALSE,TRUE,0,0.8183,0.42746,21377000000,6.20324,6.03385,16.04943,65.05694,0.38651,17323000000,6.84974,1.10422,0.49941,2.73228,7,0.07765,0.08051,-1.96833,-2.42519,0.07599,0.55844,15688000000,0.38651,0.09535,0.06118,1.10422,0.07599,0.11241,28823000000,0.09535,0.06118
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2024,2024-06-30,FALSE,TRUE,0,0.81296,0.38,18484000000,5.31373,5.159,15.41871,61.86385,0.34463,11211000000,4.42423,0.8326,0.49961,2.83036,8,0.05516,0.09402,-2.14732,-2.67333,0.07248,0.4687,13465000000,0.34463,0.08589,0.05848,0.8326,0.07248,0.07987,18389000000,0.08589,0.05848
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q1,2024,2024-03-31,FALSE,TRUE,0,0.81786,0.37904,17192000000,4.86012,4.712,14.32417,58.75403,0.3393,12829000000,5.04086,1.03719,0.5002,2.68069,7,0.06588,0.10292,-2.31113,-2.87545,0.07005,0.49031,12369000000,0.3393,0.08272,0.05551,1.03719,0.07005,0.08251,18387000000,0.08272,0.05551
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q4,2023,2023-12-31,FALSE,TRUE,0,0.80816,0.40847,19556000000,5.46472,5.25572,15.63782,59.71462,0.34946,13483000000,5.25653,0.9619,NA,2.67099,7,0.06821,NA,-2.40427,-2.86975,0.07091,0.49916,14017000000,0.34946,0.09151,0.06104,0.9619,0.07091,0.08007,18385000000,0.09151,0.06104
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2023,2023-09-30,FALSE,TRUE,0,0.81813,0.40262,16607000000,4.49651,4.38584,13.25543,55.46312,0.33922,11553000000,4.48486,0.99741,NA,2.56716,7,0.0622,NA,-2.57361,-3.10882,0.06236,0.51375,11583000000,0.33922,0.08107,0.05356,0.99741,0.06236,0.085,18383000000,0.08107,0.05356
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2023,2023-06-30,FALSE,TRUE,0,0.81421,0.29351,12015000000,3.03271,2.98162,12.46067,52.19354,0.24338,10917000000,4.25117,1.40177,NA,2.32479,5,0.06176,NA,-2.9183500000000002,-3.73339,0.04406,0.54207,7788000000,0.24338,0.05811,0.03768,1.40177,0.04406,0.08894,18382000000,0.05811,0.03768
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q1,2023,2023-03-31,FALSE,TRUE,0,0.78677,0.2523,9751000000,2.2068,2.19915,11.07267,48.23927,0.1993,7097000000,2.74333,1.24312,NA,2.06781,5,0.0446,NA,-2.82166,-3.80711,0.03588,0.47835,5709000000,0.1993,0.04575,0.03094,1.24312,0.03588,0.0538,9925000000,0.04575,0.03094
