template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,cash_cash_equivalents_short_term_investments,cash_cash_equivalents,short_term_investments,accounts_notes_receivable,accounts_receivable_net,notes_receivable_net,unbilled_revenues,inventories,raw_materials,work_in_process,finished_goods,other_inventory,other_short_term_assets,prepaid_expenses,derivative_hedging_assets_short_term,assets_held_for_sale,deferred_tax_assets_short_term,income_taxes_receivable,discontinued_operations_short_term,miscellaneous_short_term_assets,total_current_assets,property_plant_equipment_net,property_plant_equipment,accumulated_depreciation,long_term_investments_receivables,long_term_investments,long_term_marketable_securities,long_term_receivables,other_long_term_assets,intangible_assets,goodwill,other_intangible_assets,prepaid_expense,deferred_tax_assets_long_term,derivative_hedging_assets_long_term,prepaid_pension_costs,discontinued_operations_long_term,investments_in_affiliates,miscellaneous_long_term_assets,total_noncurrent_assets,total_assets,payables_accruals,accounts_payable,accrued_taxes,interest_dividends_payable,other_payables_accruals,short_term_debt,short_term_borrowings,short_term_capital_leases,current_portion_of_long_term_debt,other_short_term_liabilities,deferred_revenue_short_term,liabilities_from_derivatives_hedging_short_term,deferred_tax_liabilities_short_term,liabilities_from_discontinued_operations_short_term,miscellaneous_short_term_liabilities,total_current_liabilities,long_term_debt,long_term_borrowings,long_term_capital_leases,other_long_term_liabilities,accrued_liabilities,pension_liabilities,pensions,other_post_retirement_benefits,deferred_compensation,deferred_revenue_long_term,deferred_tax_liabilities_long_term,liabilities_from_derivatives_hedging_long_term,liabilities_from_discontinued_operations_long_term,miscellaneous_long_term_liabilities,total_noncurrent_liabilities,total_liabilities,preferred_equity,share_capital_additional_paid_in_capital,common_stock,additional_paid_in_capital,other_share_capital,treasury_stock,retained_earnings,other_equity,equity_before_minority_interest,minority_interest,total_equity,total_liabilities_equity
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2026,2025-09-30,2025-10-29,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/0001193125-25-256321-index.htm,FALSE,TRUE,0,102012000000,28849000000,73163000000,52894000000,52894000000,NA,NA,1130000000,NA,NA,NA,NA,33030000000,NA,NA,NA,NA,NA,NA,33030000000,189066000000,230861000000,230861000000,NA,11465000000,NA,NA,NA,204959000000,21236000000,119497000000,NA,NA,NA,NA,NA,NA,NA,64226000000,447285000000,636351000000,45436000000,32580000000,3655000000,NA,9201000000,7832000000,NA,NA,NA,81728000000,58987000000,NA,NA,NA,22741000000,134996000000,35376000000,NA,NA,102903000000,NA,NA,NA,NA,NA,2546000000,2852000000,NA,NA,97505000000,138279000000,273275000000,NA,110964000000,NA,NA,NA,NA,254873000000,-2761000000,363076000000,NA,363076000000,636351000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2025,2025-06-30,2025-07-30,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/0001193125-25-256321-index.htm,FALSE,TRUE,0,94565000000,30242000000,64323000000,69905000000,69905000000,NA,NA,938000000,NA,NA,NA,NA,25723000000,NA,NA,NA,NA,NA,NA,25723000000,191131000000,204966000000,204966000000,NA,15405000000,NA,NA,NA,207501000000,22604000000,119509000000,NA,NA,NA,NA,NA,NA,NA,65388000000,427872000000,619003000000,48644000000,27724000000,7211000000,NA,13709000000,2999000000,NA,NA,NA,89575000000,64555000000,NA,NA,NA,25020000000,141218000000,40152000000,NA,NA,94154000000,NA,NA,NA,NA,NA,2710000000,2835000000,NA,NA,88609000000,134306000000,275524000000,NA,109095000000,NA,NA,NA,NA,237731000000,-3347000000,343479000000,NA,343479000000,619003000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2025,2025-03-31,2025-04-30,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017025061046/0000950170-25-061046-index.htm,FALSE,TRUE,0,79618000000,28828000000,50790000000,51700000000,51700000000,NA,NA,848000000,NA,NA,NA,NA,24478000000,NA,NA,NA,NA,NA,NA,24478000000,156644000000,183939000000,NA,NA,16035000000,NA,NA,NA,206006000000,23968000000,119329000000,NA,NA,NA,NA,NA,NA,NA,62709000000,405980000000,562624000000,43634000000,26250000000,6805000000,NA,10579000000,2999000000,NA,NA,NA,67573000000,44636000000,NA,NA,NA,22937000000,114206000000,39882000000,NA,NA,86645000000,NA,NA,NA,NA,NA,2840000000,2522000000,NA,NA,81283000000,126527000000,240733000000,NA,106965000000,NA,NA,NA,NA,219759000000,-4833000000,321891000000,NA,321891000000,562624000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2025,2024-12-31,2025-01-29,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017025010491/0000950170-25-010491-index.htm,FALSE,TRUE,0,71555000000,17482000000,54073000000,48188000000,48188000000,NA,NA,909000000,NA,NA,NA,NA,26428000000,NA,NA,NA,NA,NA,NA,26428000000,147080000000,166902000000,NA,NA,15581000000,NA,NA,NA,204335000000,25385000000,119191000000,NA,NA,NA,NA,NA,NA,NA,59759000000,386818000000,533898000000,37840000000,22608000000,6056000000,NA,9176000000,5248000000,NA,NA,NA,65794000000,45508000000,NA,NA,NA,20286000000,108882000000,39722000000,NA,NA,82599000000,NA,NA,NA,NA,NA,2537000000,2513000000,NA,NA,77549000000,122321000000,231203000000,NA,104829000000,NA,NA,NA,NA,203482000000,-5616000000,302695000000,NA,302695000000,533898000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2025,2024-09-30,2024-10-30,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017024118967/0000950170-24-118967-index.htm,FALSE,TRUE,0,78428000000,20840000000,57588000000,44148000000,44148000000,NA,NA,1626000000,NA,NA,NA,NA,25724000000,NA,NA,NA,NA,NA,NA,25724000000,149926000000,152863000000,NA,NA,15778000000,NA,NA,NA,204446000000,26751000000,119374000000,NA,NA,NA,NA,NA,NA,NA,58321000000,373087000000,523013000000,40811000000,22768000000,9717000000,NA,8326000000,2249000000,NA,NA,NA,72140000000,53026000000,NA,NA,NA,19114000000,115200000000,42868000000,NA,NA,77222000000,NA,NA,NA,NA,NA,2663000000,2581000000,NA,NA,71978000000,120090000000,235290000000,NA,102976000000,NA,NA,NA,NA,188929000000,-4182000000,287723000000,NA,287723000000,523013000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2024,2024-06-30,2024-07-30,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/0000950170-25-100235-index.htm,FALSE,TRUE,0,75543000000,18315000000,57228000000,56924000000,56924000000,NA,NA,1246000000,NA,NA,NA,NA,26021000000,NA,NA,NA,NA,NA,NA,26021000000,159734000000,135591000000,135591000000,NA,14600000000,NA,NA,NA,202238000000,27597000000,119220000000,NA,NA,NA,NA,NA,NA,NA,55421000000,352429000000,512163000000,39577000000,21996000000,5017000000,NA,12564000000,8942000000,NA,NA,NA,76767000000,57582000000,NA,NA,NA,19185000000,125286000000,42688000000,NA,NA,75712000000,NA,NA,NA,NA,NA,2602000000,2618000000,NA,NA,70492000000,118400000000,243686000000,NA,100923000000,NA,NA,NA,NA,173144000000,-5590000000,268477000000,NA,268477000000,512163000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2024,2024-03-31,2024-04-25,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017024048288/0000950170-24-048288-index.htm,FALSE,TRUE,0,80021000000,19634000000,60387000000,44029000000,44029000000,NA,NA,1304000000,NA,NA,NA,NA,21826000000,NA,NA,NA,NA,NA,NA,21826000000,147180000000,121375000000,NA,NA,14807000000,NA,NA,NA,200913000000,28828000000,119163000000,NA,NA,NA,NA,NA,NA,NA,52922000000,337095000000,484275000000,35830000000,18087000000,7311000000,NA,10432000000,22784000000,NA,NA,NA,59911000000,41888000000,NA,NA,NA,18023000000,118525000000,42658000000,NA,NA,69940000000,NA,NA,NA,NA,NA,2945000000,2469000000,NA,NA,64526000000,112598000000,231123000000,NA,99193000000,NA,NA,NA,NA,159394000000,-5435000000,253152000000,NA,253152000000,484275000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2024,2023-12-31,2024-01-30,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017024008814/0000950170-24-008814-index.htm,FALSE,TRUE,0,81017000000,17305000000,63712000000,42831000000,42831000000,NA,NA,1615000000,NA,NA,NA,NA,21930000000,NA,NA,NA,NA,NA,NA,21930000000,147393000000,112308000000,NA,NA,13367000000,NA,NA,NA,197490000000,29896000000,118931000000,NA,NA,NA,NA,NA,NA,NA,48663000000,323165000000,470558000000,26508000000,17695000000,NA,NA,8813000000,29291000000,NA,NA,NA,65217000000,43068000000,NA,NA,NA,22149000000,121016000000,44928000000,NA,NA,66346000000,NA,NA,NA,NA,NA,2966000000,2548000000,NA,NA,60832000000,111274000000,232290000000,NA,97480000000,NA,NA,NA,NA,145737000000,-4949000000,238268000000,NA,238268000000,470558000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2024,2023-09-30,2023-10-24,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017023054855/0000950170-23-054855-index.htm,FALSE,TRUE,0,143951000000,80452000000,63499000000,36953000000,36953000000,NA,NA,3000000000,NA,NA,NA,NA,23682000000,NA,NA,NA,NA,NA,NA,23682000000,207586000000,102502000000,NA,NA,11423000000,NA,NA,NA,124274000000,8895000000,67790000000,NA,NA,NA,NA,NA,NA,NA,47589000000,238199000000,445785000000,26297000000,19307000000,NA,NA,6990000000,29556000000,NA,NA,NA,68939000000,46429000000,NA,NA,NA,22510000000,124792000000,41946000000,NA,NA,58333000000,NA,NA,NA,NA,NA,2759000000,470000000,NA,NA,55104000000,100279000000,225071000000,NA,95508000000,NA,NA,NA,NA,132143000000,-6937000000,220714000000,NA,220714000000,445785000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2023,2023-06-30,2023-07-27,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/0000950170-24-087843-index.htm,FALSE,TRUE,0,111262000000,34704000000,76558000000,48688000000,48688000000,NA,NA,2500000000,NA,NA,NA,NA,21807000000,NA,NA,NA,NA,NA,NA,21807000000,184257000000,95641000000,NA,NA,9879000000,NA,NA,NA,122199000000,9366000000,67886000000,NA,NA,NA,NA,NA,NA,NA,44947000000,227719000000,411976000000,33256000000,18095000000,4152000000,NA,11009000000,5247000000,NA,NA,NA,65646000000,50901000000,NA,NA,NA,14745000000,104149000000,41990000000,NA,NA,59614000000,NA,NA,NA,NA,NA,2912000000,433000000,NA,NA,56269000000,101604000000,205753000000,NA,93718000000,NA,NA,NA,NA,118848000000,-6343000000,206223000000,NA,206223000000,411976000000
