template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,ttm,restated,data_model,gross_profit_margin,operating_margin,ebitda,earnings_per_share_basic,earnings_per_share_diluted,sales_per_share,equity_per_share,net_profit_margin,free_cash_flow,free_cash_flow_per_share,free_cash_flow_to_net_income,dividends_per_share,current_ratio,piotroski_f_score,cash_return_on_invested_capital,dividend_payout_ratio,net_debt_ebitda,net_debt_ebit,return_on_invested_capital,liabilities_to_equity_ratio,net_income_adjusted,net_profit_margin_adjusted,return_on_equity_adjusted,return_on_assets_adjusted,free_cash_flow_to_net_income_adjusted,return_on_invested_capital_adjusted,debt_ratio,total_debt,return_on_equity,return_on_assets
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2026,2025-09-30,FALSE,TRUE,0,0.69046,0.48873,51022000000,3.73295,3.71645,10.44975,48.8465,0.35723,37964000000,5.10749,1.36822,0.82995,1.40053,6,0.07456,0.22233,-1.15252,-1.54906,0.06661,0.75267,27747000000,0.35723,0.07642,0.0436,1.36822,0.06661,0.0679,43208000000,0.07642,0.0436
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2025,2025-06-30,FALSE,TRUE,0,0.68585,0.44901,45526000000,3.66528,3.65005,10.28816,46.22867,0.35626,37133000000,4.99771,1.36353,0.83028,1.35345,7,0.07723,0.22653,-1.12933,-1.49795,0.06947,0.80216,27233000000,0.35626,0.07929,0.04399,1.36353,0.06947,0.06971,43151000000,0.07929,0.04399
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2025,2025-03-31,FALSE,TRUE,0,0.68717,0.45671,40740000000,3.47377,3.4612,9.42507,43.29984,0.36857,31590000000,4.24939,1.22328,0.82984,1.37159,7,0.06998,0.23889,-0.90174,-1.14803,0.07087,0.74787,25824000000,0.36857,0.08023,0.0459,1.22328,0.07087,0.07622,42881000000,0.08023,0.0459
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2025,2024-12-31,FALSE,TRUE,0,0.68694,0.45458,38480000000,3.2425,3.22817,9.36543,40.71217,0.34622000000000003,16382000000,2.20336,0.67953,0.82986,1.35082,5,0.03807,0.25593,-0.69088,-0.83989,0.07037,0.76382,24108000000,0.34622000000000003,0.07964,0.04515,0.67953,0.07037,0.08423,44970000000,0.07964,0.04515
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2025,2024-09-30,FALSE,TRUE,0,0.69354,0.46584,37935000000,3.31858,3.30214,8.82349,38.70887,0.37611,29470000000,3.96475,1.19471,0.7499,1.30144,4,0.07187,0.22597,-0.87811,-1.09031,0.07375,0.81777,24667000000,0.37611,0.08573,0.04716,1.19471,0.07375,0.08626,45117000000,0.08573,0.04716
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2024,2024-06-30,FALSE,TRUE,0,0.69589,0.43143,34305000000,2.96502,2.94835,8.70923,36.12446,0.34045,32830000000,4.41738,1.48983,0.75,1.27495,4,0.08294,0.25295,-0.69707,-0.85633,0.06975,0.90766,22036000000,0.34045,0.08208,0.04303,1.48983,0.06975,0.10081,51630000000,0.08208,0.04303
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2024,2024-03-31,FALSE,TRUE,0,0.70085,0.44588,33608000000,2.95236,2.93616,8.32432,34.06702,0.35467,29966000000,4.03257,1.36588,0.74983,1.24176,5,0.07713,0.25398,-0.4338,-0.52859,0.07081,0.91298,21939000000,0.35467,0.08666,0.0453,1.36588,0.07081,0.13513,65442000000,0.08666,0.0453
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2024,2023-12-31,FALSE,TRUE,0,0.6836,0.43586,32991000000,2.94268,2.92849,8.34499,32.05974,0.35263,17612000000,2.36975,0.8053,0.75,1.21796,6,0.04649,0.25487,-0.20606,-0.25148,0.07244,0.97491,21870000000,0.35263,0.09179,0.04648,0.8053,0.07244,0.15773,74219000000,0.09179,0.04648
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2024,2023-09-30,FALSE,TRUE,0,0.71156,0.47587,30816000000,3.00054,2.98727,7.60762,29.70979,0.39441,28310000000,3.81074,1.27002,0.6799,1.66346,7,0.08076,0.22659,-2.35102,-2.69377,0.078,1.01974,22291000000,0.39441,0.10099,0.05,1.27002,0.078,0.1604,71502000000,0.10099,0.05
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2023,2023-06-30,FALSE,TRUE,0,0.7011,0.43165,28128000000,2.70087,2.68966,7.55736,27.73679,0.35738,28074000000,3.77592,1.39804,0.67976,1.76917,7,0.08967,0.25168,-2.2762,-2.63977,0.08028,0.99772,20081000000,0.35738,0.09738,0.04874,1.39804,0.08028,0.11466,47237000000,0.09738,0.04874
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2023,2023-03-31,FALSE,TRUE,0,0.69487,0.42288,25901000000,2.45921,2.45163,7.10348,26.16355,0.3462,25511000000,3.42844,1.39412,0.67988,1.91256,6,0.08486,0.27646,-2.17046,-2.51508,0.07769,0.95234,18299000000,0.3462,0.09399,0.04814,1.39412,0.07769,0.12684,48210000000,0.09399,0.04814
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2023,2022-12-31,FALSE,TRUE,0,0.66846,0.38673,24047000000,2.2044,2.19791,7.07918,24.57871,0.31139,11340000000,1.52194,0.69041,0.67991,1.93131,4,0.03954,0.30843,-2.13715,-2.51934,0.07493,0.99061,16425000000,0.31139,0.08969,0.04506,0.69041,0.07493,0.13199,48116000000,0.08969,0.04506
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2023,2022-09-30,FALSE,TRUE,0,0.69171,0.42931,24308000000,2.3543,2.34549,6.72147,23.27558,0.35027,23914000000,3.20692,1.36216,0.61969,1.84019,6,0.08676,0.26321,-2.41237,-2.72516,0.08046,1.07289,17556000000,0.35027,0.10115,0.0488,1.36216,0.08046,0.13514,48622000000,0.10115,0.0488
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2022,2022-06-30,FALSE,TRUE,0,0.68324,0.39591,24513000000,2.23319,2.22016,6.91902,22.21745,0.32276,22862000000,3.04989,1.36571,0.61793,1.78461,6,0.0839,0.2767,-2.24273,-2.67732,0.07843,1.19068,16740000000,0.32276,0.10052,0.04588,1.36571,0.07843,0.13645,49781000000,0.10052,0.04588
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2022,2022-03-31,FALSE,TRUE,0,0.68365,0.41256,24137000000,2.22891,2.21416,6.57695,21.70873,0.3389,25331000000,3.37522,1.51429,0.61892,1.98765,6,0.0942,0.27768,-2.26901,-2.6894,0.07948,1.11514,16728000000,0.3389,0.10267,0.04854,1.51429,0.07948,0.14488,49926000000,0.10267,0.04854
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2022,2021-12-31,FALSE,TRUE,0,0.67213,0.43008,25743000000,2.50033,2.48379,6.89247,21.32045,0.36276,13224000000,1.76203,0.70472,0.61985,2.2473,7,0.04937,0.24791,-2.80119,-3.24138,0.08742,1.1273,18765000000,0.36276,0.11727,0.05513,0.70472,0.08742,0.15646,53258000000,0.11727,0.05513
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2022,2021-09-30,FALSE,TRUE,0,0.69888,0.44659,23450000000,2.73218,2.7141,6.03824,20.25023,0.45248,23114000000,3.07981,1.12724,0.56043,2.16479,7,0.08954,0.20512,-3.29753,-3.82088,0.09573,1.20702,20505000000,0.45248,0.13492,0.06113,1.12724,0.09573,0.15887,53288000000,0.13492,0.06113
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2021,2021-06-30,FALSE,TRUE,0,0.69685,0.41374,22439000000,2.17871,2.1606900000000002,6.10961,18.7964,0.3566,20721000000,2.74305,1.25902,0.55785,2.07999,8,0.08184,0.25605,-3.21708,-3.78047,0.08164,1.35075,16458000000,0.3566,0.11591,0.04931,1.25902,0.08164,0.17421,58146000000,0.11591,0.04931
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2021,2021-03-31,FALSE,TRUE,0,0.68722,0.40877,19984000000,2.05027,2.03462,5.53203,17.84123,0.37062,19374000000,2.56984,1.25341,0.55989,2.29405,8,0.07847,0.27308,-3.26181,-3.82356,0.0797,1.29641,15457000000,0.37062,0.11492,0.05004,1.25341,0.0797,0.19497,60223000000,0.11492,0.05004
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2021,2020-12-31,FALSE,TRUE,0,0.67049,0.41547,20658000000,2.04672,2.03033,5.70165,17.23839,0.35897,12455000000,1.64858,0.80547,0.55989,2.57791,7,0.05113,0.27356,-3.38285,-3.90473,0.08084,1.33528,15463000000,0.35897,0.11873,0.05084,0.80547,0.08084,0.20413,62085000000,0.11873,0.05084
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2021,2020-09-30,FALSE,TRUE,0,0.70388,0.4273,18521000000,1.83624,1.81917,4.91065,16.30875,0.37393,17325000000,2.28985,1.24703,0.50965,2.52765,8,0.07297,0.27755,-4.01841,-4.68789,0.07475,1.43939,13893000000,0.37393,0.11259,0.04616,1.24703,0.07475,0.21114,63552000000,0.11259,0.04616
