template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,cash_cash_equivalents_short_term_investments,cash_cash_equivalents,short_term_investments,accounts_notes_receivable,accounts_receivable_net,notes_receivable_net,unbilled_revenues,inventories,raw_materials,work_in_process,finished_goods,other_inventory,other_short_term_assets,prepaid_expenses,derivative_hedging_assets_short_term,assets_held_for_sale,deferred_tax_assets_short_term,income_taxes_receivable,discontinued_operations_short_term,miscellaneous_short_term_assets,total_current_assets,property_plant_equipment_net,property_plant_equipment,accumulated_depreciation,long_term_investments_receivables,long_term_investments,long_term_marketable_securities,long_term_receivables,other_long_term_assets,intangible_assets,goodwill,other_intangible_assets,prepaid_expense,deferred_tax_assets_long_term,derivative_hedging_assets_long_term,prepaid_pension_costs,discontinued_operations_long_term,investments_in_affiliates,miscellaneous_long_term_assets,total_noncurrent_assets,total_assets,payables_accruals,accounts_payable,accrued_taxes,interest_dividends_payable,other_payables_accruals,short_term_debt,short_term_borrowings,short_term_capital_leases,current_portion_of_long_term_debt,other_short_term_liabilities,deferred_revenue_short_term,liabilities_from_derivatives_hedging_short_term,deferred_tax_liabilities_short_term,liabilities_from_discontinued_operations_short_term,miscellaneous_short_term_liabilities,total_current_liabilities,long_term_debt,long_term_borrowings,long_term_capital_leases,other_long_term_liabilities,accrued_liabilities,pension_liabilities,pensions,other_post_retirement_benefits,deferred_compensation,deferred_revenue_long_term,deferred_tax_liabilities_long_term,liabilities_from_derivatives_hedging_long_term,liabilities_from_discontinued_operations_long_term,miscellaneous_long_term_liabilities,total_noncurrent_liabilities,total_liabilities,preferred_equity,share_capital_additional_paid_in_capital,common_stock,additional_paid_in_capital,other_share_capital,treasury_stock,retained_earnings,other_equity,equity_before_minority_interest,minority_interest,total_equity,total_liabilities_equity
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2025,2025-09-30,2025-10-23,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025045968/0001628280-25-045968-index.htm,FALSE,TRUE,0,41647000000,18289000000,23358000000,4703000000,4703000000,NA,NA,12276000000,NA,NA,NA,NA,6027000000,6027000000,NA,NA,NA,NA,NA,NA,64653000000,39407000000,NA,NA,NA,NA,NA,NA,29675000000,131000000,257000000,NA,NA,6637000000,NA,NA,NA,NA,22650000000,69082000000,133735000000,25610000000,12819000000,NA,NA,12791000000,1924000000,NA,NA,NA,3756000000,3756000000,NA,NA,NA,NA,31290000000,5778000000,NA,NA,15951000000,NA,NA,NA,NA,NA,3746000000,NA,NA,NA,12205000000,21729000000,53019000000,NA,41600000000,NA,NA,NA,NA,38163000000,207000000,79970000000,746000000,80716000000,133735000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2025,2025-06-30,2025-07-24,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025035806/0001628280-25-035806-index.htm,FALSE,TRUE,0,36782000000,15587000000,21195000000,3838000000,3838000000,NA,NA,14570000000,NA,NA,NA,NA,5943000000,5943000000,NA,NA,NA,NA,NA,NA,61133000000,38574000000,NA,NA,NA,NA,NA,NA,28860000000,138000000,258000000,NA,NA,6721000000,NA,NA,NA,NA,21743000000,67434000000,128567000000,24731000000,13212000000,NA,NA,11519000000,2040000000,NA,NA,NA,3237000000,3237000000,NA,NA,NA,NA,30008000000,5180000000,NA,NA,15307000000,NA,NA,NA,NA,NA,3764000000,NA,NA,NA,11543000000,20487000000,50495000000,NA,40366000000,NA,NA,NA,NA,36790000000,158000000,77314000000,758000000,78072000000,128567000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2025,2025-03-31,2025-04-23,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025018911/0001628280-25-018911-index.htm,FALSE,TRUE,0,36996000000,16352000000,20644000000,3782000000,3782000000,NA,NA,13706000000,NA,NA,NA,NA,4905000000,4905000000,NA,NA,NA,NA,NA,NA,59389000000,37088000000,NA,NA,NA,NA,NA,NA,28634000000,144000000,248000000,NA,NA,6687000000,NA,NA,NA,NA,21555000000,65722000000,125111000000,24273000000,13471000000,NA,NA,10802000000,2237000000,NA,NA,NA,3243000000,3243000000,NA,NA,NA,NA,29753000000,5292000000,NA,NA,14648000000,NA,NA,NA,NA,NA,3610000000,NA,NA,NA,11038000000,19940000000,49693000000,NA,39459000000,NA,NA,NA,NA,35618000000,-424000000,74653000000,765000000,75418000000,125111000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2024,2024-12-31,2025-01-30,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025045968/0001628280-25-045968-index.htm,FALSE,TRUE,0,36563000000,16139000000,20424000000,4418000000,4418000000,NA,NA,12017000000,NA,NA,NA,NA,5362000000,5362000000,NA,NA,NA,NA,NA,NA,58360000000,35836000000,NA,NA,NA,NA,NA,NA,27874000000,150000000,244000000,NA,NA,6524000000,NA,NA,NA,NA,20956000000,63710000000,122070000000,23197000000,12474000000,NA,NA,10723000000,2456000000,NA,NA,NA,3168000000,3168000000,NA,NA,NA,NA,28821000000,5757000000,NA,NA,13812000000,NA,NA,NA,NA,NA,3317000000,NA,NA,NA,10495000000,19569000000,48390000000,NA,38374000000,NA,NA,NA,NA,35209000000,-670000000,72913000000,767000000,73680000000,122070000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2024,2024-09-30,2024-10-24,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828024043486/0001628280-24-043486-index.htm,FALSE,TRUE,0,33648000000,18111000000,15537000000,3313000000,3313000000,NA,NA,14530000000,NA,NA,NA,NA,4888000000,4888000000,NA,NA,NA,NA,NA,NA,56379000000,36116000000,NA,NA,NA,NA,NA,NA,27357000000,158000000,253000000,NA,NA,6486000000,NA,NA,NA,NA,20460000000,63473000000,119852000000,25255000000,14654000000,NA,NA,10601000000,2291000000,NA,NA,NA,3031000000,3031000000,NA,NA,NA,NA,30577000000,5405000000,NA,NA,13160000000,NA,NA,NA,NA,NA,3350000000,NA,NA,NA,9810000000,18565000000,49142000000,NA,37289000000,NA,NA,NA,NA,32656000000,-14000000,69931000000,779000000,70710000000,119852000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2024,2024-06-30,2024-07-24,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828024032662/0001628280-24-032662-index.htm,FALSE,TRUE,0,30720000000,14635000000,16085000000,3737000000,3737000000,NA,NA,14195000000,NA,NA,NA,NA,4325000000,4325000000,NA,NA,NA,NA,NA,NA,52977000000,32902000000,NA,NA,NA,NA,NA,NA,26953000000,164000000,249000000,NA,NA,6692000000,NA,NA,NA,NA,19848000000,59855000000,112832000000,22672000000,13056000000,NA,NA,9616000000,2264000000,NA,NA,NA,2793000000,2793000000,NA,NA,NA,NA,27729000000,5481000000,NA,NA,12359000000,NA,NA,NA,NA,NA,3357000000,NA,NA,NA,9002000000,17840000000,45569000000,NA,36446000000,NA,NA,NA,NA,30489000000,-467000000,66468000000,795000000,67263000000,112832000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2024,2024-03-31,2024-04-24,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828024017503/0001628280-24-017503-index.htm,FALSE,TRUE,0,26863000000,11805000000,15058000000,3887000000,3887000000,NA,NA,16033000000,NA,NA,NA,NA,3752000000,3752000000,NA,NA,NA,NA,NA,NA,50535000000,31436000000,NA,NA,NA,NA,NA,NA,27255000000,171000000,250000000,NA,NA,6769000000,NA,NA,NA,NA,20065000000,58691000000,109226000000,23968000000,14725000000,NA,NA,9243000000,2461000000,NA,NA,NA,3024000000,3024000000,NA,NA,NA,NA,29453000000,2899000000,NA,NA,11694000000,NA,NA,NA,NA,NA,3214000000,NA,NA,NA,8480000000,14593000000,44046000000,NA,35766000000,NA,NA,NA,NA,29011000000,-399000000,64378000000,802000000,65180000000,109226000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2023,2023-12-31,2024-01-29,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/0001628280-25-003063-index.htm,FALSE,TRUE,0,29094000000,16398000000,12696000000,3508000000,3508000000,NA,NA,13626000000,NA,NA,NA,NA,3388000000,3388000000,NA,NA,NA,NA,NA,NA,49616000000,29725000000,NA,NA,NA,NA,NA,NA,27277000000,178000000,253000000,NA,NA,6733000000,NA,NA,NA,NA,20113000000,57002000000,106618000000,23511000000,14431000000,NA,NA,9080000000,2373000000,NA,NA,NA,2864000000,2864000000,NA,NA,NA,NA,28748000000,2857000000,NA,NA,11404000000,NA,NA,NA,NA,NA,3251000000,NA,NA,NA,8153000000,14261000000,43009000000,NA,34895000000,NA,NA,NA,NA,27882000000,-143000000,62634000000,975000000,63609000000,106618000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2023,2023-09-30,2023-10-23,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828023034847/0001628280-23-034847-index.htm,FALSE,TRUE,0,26077000000,15932000000,10145000000,2520000000,2520000000,NA,NA,13721000000,NA,NA,NA,NA,2708000000,2708000000,NA,NA,NA,NA,NA,NA,45026000000,27744000000,NA,NA,NA,NA,NA,NA,21171000000,191000000,250000000,NA,NA,NA,NA,NA,NA,NA,20730000000,48915000000,93941000000,21573000000,13937000000,NA,NA,7636000000,1967000000,NA,NA,NA,3100000000,2206000000,NA,NA,NA,894000000,26640000000,2426000000,NA,NA,10380000000,NA,NA,NA,NA,NA,3059000000,NA,NA,NA,7321000000,12806000000,39446000000,NA,34204000000,NA,NA,NA,NA,19954000000,-692000000,53466000000,1029000000,54495000000,93941000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2023,2023-06-30,2023-07-24,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000095017023033872/0000950170-23-033872-index.htm,FALSE,TRUE,0,23075000000,15296000000,7779000000,3447000000,3447000000,NA,NA,14356000000,NA,NA,NA,NA,2997000000,2997000000,NA,NA,NA,NA,NA,NA,43875000000,26389000000,NA,NA,NA,NA,NA,NA,20327000000,202000000,263000000,NA,NA,NA,NA,NA,NA,NA,19862000000,46716000000,90591000000,22931000000,15273000000,NA,NA,7658000000,1459000000,NA,NA,NA,3202000000,2176000000,NA,NA,NA,1026000000,27592000000,872000000,NA,NA,9945000000,NA,NA,NA,NA,NA,3021000000,NA,NA,NA,6924000000,10817000000,38409000000,NA,33439000000,NA,NA,NA,NA,18101000000,-410000000,51130000000,1052000000,52182000000,90591000000
