template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,net_income_starting_line,net_income,net_income_from_discontinued_operations,other_adjustments,depreciation_amortization,non_cash_items,stock_based_compensation,deferred_income_taxes,other_non_cash_adjustments,change_in_working_capital,x_increase_decrease_in_accounts_receivable,x_increase_decrease_in_inventories,increase_decrease_in_accounts_payable,increase_decrease_in_other,net_cash_from_discontinued_operations_operating,cash_from_operating_activities,change_in_fixed_assets_intangibles,disposition_of_fixed_assets_intangibles,disposition_of_fixed_assets,disposition_of_intangible_assets,acquisition_of_fixed_assets_intangibles,purchase_of_fixed_assets,acquisition_of_intangible_assets,other_change_in_fixed_assets_intangibles,net_change_in_long_term_investment,decrease_in_long_term_investment,increase_in_long_term_investment,net_cash_from_acquisitions_divestitures,net_cash_from_divestitures,cash_for_acqusition_of_subsidiaries,cash_for_joint_ventures,net_cash_from_other_acquisitions,other_investing_activities,net_cash_from_discontinued_operations_investing,cash_from_investing_activities,dividends_paid,cash_from_repayment_of_debt,cash_from_repayment_of_short_term_debt_net,cash_from_repayment_of_long_term_debt_net,repayments_of_long_term_debt,cash_from_long_term_debt,cash_from_repurchase_of_equity,increase_in_capital_stock,decrease_in_capital_stock,other_financing_activities,net_cash_from_discontinued_operations_financing,cash_from_financing_activities,net_cash_before_disc_operations_and_fx,change_in_cash_from_disc_operations_and_other,net_cash_before_fx,effect_of_foreign_exchange_rates,net_changes_in_cash
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2025,2025-09-30,2025-10-23,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025035806/0001628280-25-035806-index.htm,FALSE,TRUE,0,1389000000,NA,NA,NA,1625000000,1130000000,NA,NA,NA,2094000000,NA,NA,NA,NA,NA,6238000000,-2248000000,NA,NA,NA,NA,NA,NA,NA,-2107000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4355000000,NA,495000000,NA,NA,NA,NA,512000000,512000000,NA,-24000000,NA,983000000,2866000000,NA,2866000000,-17000000,2849000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2025,2025-06-30,2025-07-24,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025018911/0001628280-25-018911-index.htm,FALSE,TRUE,0,1190000000,NA,NA,NA,1433000000,731000000,NA,NA,NA,-814000000,NA,NA,NA,NA,NA,2540000000,-2394000000,NA,NA,NA,NA,NA,NA,NA,-550000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2944000000,NA,-422000000,NA,NA,NA,NA,215000000,215000000,NA,-15000000,NA,-222000000,-626000000,NA,-626000000,111000000,-515000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2025,2025-03-31,2025-04-23,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025018911/0001628280-25-018911-index.htm,FALSE,TRUE,0,420000000,NA,NA,NA,1447000000,767000000,NA,NA,NA,-478000000,NA,NA,NA,NA,NA,2156000000,-1492000000,NA,NA,NA,NA,NA,NA,NA,-159000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1651000000,NA,-724000000,NA,NA,NA,NA,313000000,313000000,NA,79000000,NA,-332000000,173000000,NA,173000000,40000000,213000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2024,2024-12-31,2025-01-30,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025045968/0001628280-25-045968-index.htm,FALSE,TRUE,0,2143000000,NA,NA,NA,1496000000,-363000000,NA,NA,NA,1538000000,NA,NA,NA,NA,NA,4814000000,-2780000000,NA,NA,NA,NA,NA,NA,NA,-4823000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7603000000,NA,577000000,NA,NA,NA,NA,453000000,453000000,NA,-45000000,NA,985000000,-1804000000,NA,-1804000000,-133000000,-1937000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2024,2024-09-30,2024-10-24,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025035806/0001628280-25-035806-index.htm,FALSE,TRUE,0,2189000000,NA,NA,NA,1348000000,1111000000,NA,NA,NA,1607000000,NA,NA,NA,NA,NA,6255000000,-3513000000,NA,NA,NA,NA,NA,NA,NA,638000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2875000000,NA,-181000000,NA,NA,NA,NA,340000000,340000000,NA,-27000000,NA,132000000,3512000000,NA,3512000000,108000000,3620000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2024,2024-06-30,2024-07-24,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025018911/0001628280-25-018911-index.htm,FALSE,TRUE,0,1416000000,NA,NA,NA,1278000000,743000000,NA,NA,NA,175000000,NA,NA,NA,NA,NA,3612000000,-2272000000,NA,NA,NA,NA,NA,NA,NA,-953000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3225000000,NA,2388000000,NA,NA,NA,NA,197000000,197000000,NA,-45000000,NA,2540000000,2927000000,NA,2927000000,-37000000,2890000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2024,2024-03-31,2024-04-24,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828025018911/0001628280-25-018911-index.htm,FALSE,TRUE,0,1405000000,NA,NA,NA,1246000000,240000000,NA,NA,NA,-2649000000,NA,NA,NA,NA,NA,242000000,-2777000000,NA,NA,NA,NA,NA,NA,NA,-2307000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5084000000,NA,79000000,NA,NA,NA,NA,251000000,251000000,NA,-134000000,NA,196000000,-4646000000,NA,-4646000000,-79000000,-4725000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2023,2023-12-31,2024-01-29,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828024043486/0001628280-24-043486-index.htm,FALSE,TRUE,0,7943000000,NA,NA,NA,1232000000,-5381000000,NA,NA,NA,576000000,NA,NA,NA,NA,NA,4370000000,-2307000000,NA,NA,NA,NA,NA,NA,NA,-2497000000,NA,NA,0,NA,NA,NA,NA,NA,NA,-4804000000,NA,817000000,NA,NA,NA,NA,152000000,152000000,NA,-82000000,NA,887000000,453000000,NA,453000000,146000000,599000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2023,2023-09-30,2023-10-23,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828024032662/0001628280-24-032662-index.htm,FALSE,TRUE,0,1878000000,NA,NA,NA,1235000000,26000000,NA,NA,NA,169000000,NA,NA,NA,NA,NA,3308000000,-2459000000,NA,NA,NA,NA,NA,NA,NA,-2315000000,NA,NA,12000000,NA,NA,NA,NA,NA,NA,-4762000000,NA,2064000000,NA,NA,NA,NA,254000000,254000000,NA,-55000000,NA,2263000000,809000000,NA,809000000,-98000000,711000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2023,2023-06-30,2023-07-24,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828024017503/0001628280-24-017503-index.htm,FALSE,TRUE,0,2614000000,NA,NA,NA,1154000000,-462000000,NA,NA,NA,-241000000,NA,NA,NA,NA,NA,3065000000,-2060000000,NA,NA,NA,NA,NA,NA,NA,-1398000000,NA,NA,-76000000,NA,NA,NA,NA,NA,NA,-3534000000,NA,-357000000,NA,NA,NA,NA,63000000,63000000,NA,-34000000,NA,-328000000,-797000000,NA,-797000000,-94000000,-891000000
