"date","open","close","high","low","volume"
2015-01-02,24.69,24.24,24.71,23.8,212818400
2015-01-05,24.01,23.55,24.09,23.37,257142000
2015-01-06,23.62,23.56,23.82,23.2,263188400
2015-01-07,23.77,23.89,23.99,23.65,160423600
2015-01-08,24.22,24.81,24.86,24.1,237458000
2015-01-09,24.98,24.83,25.11,24.43,214798000
2015-01-12,24.96,24.22,24.97,24.12,198603200
2015-01-13,24.7,24.43,25.01,24.14,268367600
2015-01-14,24.17,24.34,24.49,24.05,195826400
2015-01-15,24.39,23.68,24.4,23.65,240056000
2015-01-16,23.73,23.5,23.85,23.32,314053200
2015-01-20,23.91,24.1,24.16,23.61,199599600
2015-01-21,24.15,24.29,24.62,24,194303600
2015-01-22,24.44,24.92,24.93,24.32,215185600
2015-01-23,24.9,25.05,25.22,24.73,185859200
2015-01-26,25.22,25.07,25.35,25.01,222460000
2015-01-27,24.92,24.2,24.94,24.17,382274800
2015-01-28,26.08,25.56,26.19,25.56,585908400
2015-01-29,25.79,26.36,26.42,25.62,337745600
2015-01-30,26.25,25.97,26.6,25.9,334982000
2015-02-02,26.17,26.3,26.42,25.73,250956400
2015-02-03,26.27,26.3,26.4,26.07,207662800
2015-02-04,26.27,26.51,26.72,26.23,280598800
2015-02-05,26.71,26.69,26.76,26.54,168984800
2015-02-06,26.71,26.47,26.76,26.36,174826400
2015-02-09,26.39,26.65,26.67,26.36,155559200
2015-02-10,26.75,27.16,27.19,26.74,248034000
2015-02-11,27.32,27.79,27.8,27.26,294247200
2015-02-12,28.06,28.15,28.37,27.95,297898000
2015-02-13,28.33,28.28,28.33,27.97,217088800
2015-02-17,28.38,28.45,28.68,28.25,252609600
2015-02-18,28.41,28.65,28.66,28.37,179566800
2015-02-19,28.6,28.59,28.72,28.56,149449600
2015-02-20,28.63,28.82,28.82,28.5,195793600
2015-02-23,28.94,29.6,29.6,28.86,283896400
2015-02-24,29.59,29.42,29.73,29.19,276912400
2015-02-25,29.28,28.66,29.29,28.52,298846800
2015-02-26,28.66,29.03,29.13,28.18,365150000
2015-02-27,28.93,28.59,29.06,28.54,248059200
2015-03-02,28.77,28.73,29,28.56,192386800
2015-03-03,28.7,28.79,28.83,28.51,151265200
2015-03-04,28.73,28.61,28.84,28.56,126665200
2015-03-05,28.62,28.13,28.66,27.99,226068400
2015-03-06,28.58,28.18,28.79,28.1,291368400
2015-03-09,28.48,28.3,28.84,27.83,354114000
2015-03-10,28.13,27.71,28.31,27.55,275426400
2015-03-11,27.77,27.21,27.77,27.18,275756000
2015-03-12,27.22,27.7,27.8,27.07,193450800
2015-03-13,27.69,27.51,27.91,27.28,207309200
2015-03-16,27.57,27.81,27.81,27.35,143497200
2015-03-17,28.02,28.27,28.34,27.97,204092400
2015-03-18,28.27,28.59,28.75,28.13,261083600
2015-03-19,28.66,28.38,28.77,28.35,183238000
2015-03-20,28.54,28.02,28.58,27.86,274780400
2015-03-23,28.29,28.31,28.46,28.16,150838800
2015-03-24,28.32,28.2,28.5,28.17,131369200
2015-03-25,28.16,27.46,28.23,27.46,206620800
2015-03-26,27.32,27.65,27.79,27.29,190291600
2015-03-27,27.73,27.43,27.75,27.36,158184800
2015-03-30,27.61,28.13,28.13,27.6,188398800
2015-03-31,28.06,27.69,28.15,27.68,168362400
2015-04-01,27.78,27.65,27.85,27.4,162485600
2015-04-02,27.83,27.89,27.95,27.64,128880400
2015-04-06,27.7,28.34,28.38,27.67,148776000
2015-04-07,28.41,28.05,28.52,28.04,140049200
2015-04-08,28.01,27.95,28.13,27.81,149316800
2015-04-09,28.01,28.17,28.17,27.75,129936000
2015-04-10,28.03,28.29,28.31,27.88,160752000
2015-04-13,28.57,28.23,28.62,28.18,145460400
2015-04-14,28.27,28.11,28.33,28.02,102098400
2015-04-15,28.13,28.22,28.29,28.05,115881600
2015-04-16,28.11,28.08,28.29,28.07,113476000
2015-04-17,27.94,27.77,28.07,27.7,207828000
2015-04-20,27.95,28.4,28.52,27.86,188217200
2015-04-21,28.51,28.25,28.53,28.19,129740400
2015-04-22,28.26,28.63,28.68,28.11,150618000
2015-04-23,28.56,28.86,29.03,28.52,183083600
2015-04-24,29.04,29,29.07,28.76,178103600
2015-04-27,29.45,29.52,29.63,29.19,387816800
2015-04-28,29.93,29.06,29.94,28.84,475696000
2015-04-29,28.97,28.63,29.29,28.56,253544400
2015-04-30,28.63,27.85,28.63,27.73,332781600
2015-05-01,28.07,28.7,28.96,27.89,234050400
2015-05-04,28.82,28.64,29.06,28.55,203953200
2015-05-05,28.52,28,28.59,27.99,197085600
2015-05-06,28.17,27.82,28.21,27.46,288564000
2015-05-07,27.89,28,28.18,27.72,175763600
2015-05-08,28.31,28.52,28.52,28.19,222201600
2015-05-11,28.47,28.23,28.51,28.08,168143200
2015-05-12,28.07,28.13,28.36,27.9,192640000
2015-05-13,28.19,28.16,28.43,28.13,138776800
2015-05-14,28.48,28.82,28.82,28.42,180814000
2015-05-15,28.85,28.78,28.94,28.65,152832000
2015-05-18,28.69,29.1,29.22,28.69,203531600
2015-05-19,29.21,29.07,29.25,28.97,178532800
2015-05-20,29.05,29.07,29.27,28.91,145819600
2015-05-21,29.07,29.37,29.42,29.02,158921600
2015-05-22,29.41,29.62,29.72,29.37,182384000
2015-05-26,29.64,28.97,29.7,28.86,282790400
2015-05-27,29.13,29.51,29.56,29.07,183332800
2015-05-28,29.47,29.45,29.49,29.3,122933200
2015-05-29,29.33,29.12,29.38,29.03,203538000
2015-06-01,29.12,29.18,29.37,29.07,128451200
2015-06-02,29.02,29.05,29.2,28.9,134670400
2015-06-03,29.2,29.08,29.26,29.03,123934000
2015-06-04,28.96,28.91,29.18,28.81,153800400
2015-06-05,28.94,28.75,28.99,28.69,142507200
2015-06-08,28.81,28.56,28.88,28.35,210699200
2015-06-09,28.32,28.48,28.63,28.08,224301600
2015-06-10,28.59,28.8,28.91,28.57,156349200
2015-06-11,28.87,28.74,29.09,28.71,141563600
2015-06-12,28.65,28.42,28.68,28.41,147544800
2015-06-15,28.18,28.37,28.44,28.1,175955600
2015-06-16,28.39,28.52,28.57,28.24,125976400
2015-06-17,28.54,28.45,28.58,28.33,131672400
2015-06-18,28.44,28.58,28.68,28.43,141628800
2015-06-19,28.54,28.29,28.57,28.25,218867600
2015-06-22,28.49,28.52,28.62,28.4,136157200
2015-06-23,28.49,28.39,28.52,28.36,121075600
2015-06-24,28.43,28.63,29.01,28.41,221123600
2015-06-25,28.8,28.5,28.88,28.5,127752400
2015-06-26,28.53,28.33,28.61,28.27,176267200
2015-06-29,28.04,27.83,28.27,27.82,196645600
2015-06-30,28.06,28.03,28.19,27.91,177482800
2015-07-01,28.36,28.29,28.37,28.16,120955200
2015-07-02,28.26,28.26,28.31,28.11,108844000
2015-07-06,27.92,28.16,28.21,27.9,112241600
2015-07-07,28.14,28.09,28.19,27.66,187787200
2015-07-08,27.82,27.39,27.86,27.39,243046400
2015-07-09,27.68,26.84,27.73,26.65,314380000
2015-07-10,27.25,27.55,27.68,27.09,245418000
2015-07-13,27.94,28.08,28.11,27.79,165762000
2015-07-14,28.17,28.07,28.24,27.95,127072400
2015-07-15,28.1,28.34,28.42,28.07,134596800
2015-07-16,28.55,28.72,28.73,28.46,144889600
2015-07-17,28.85,28.97,28.97,28.68,184658800
2015-07-20,29.27,29.52,29.72,29.21,235600800
2015-07-21,29.69,29.22,29.71,29.13,307025600
2015-07-22,27.26,27.99,28.05,27.26,461802400
2015-07-23,28.21,27.97,28.4,27.95,203998000
2015-07-24,28.01,27.83,28.1,27.69,168649200
2015-07-27,27.51,27.44,27.63,27.29,177822000
2015-07-28,27.57,27.57,27.69,27.39,134472400
2015-07-29,27.52,27.49,27.6,27.33,148046800
2015-07-30,27.34,27.35,27.39,27.2,134513200
2015-07-31,27.4,27.11,27.41,27.02,171540000
2015-08-03,27.15,26.47,27.39,26.27,279904000
2015-08-04,26.24,25.62,26.31,25.31,496554400
2015-08-05,25.24,25.79,26.25,25.05,397250400
2015-08-06,26.04,25.85,26.16,25.62,211612000
2015-08-07,25.72,25.94,26.1,25.71,154681600
2015-08-10,26.16,26.88,26.94,26.16,219806400
2015-08-11,26.45,25.48,26.53,25.44,388331200
2015-08-12,25.26,25.87,25.91,24.61,404870000
2015-08-13,26.05,25.85,26.13,25.72,194143200
2015-08-14,25.67,26.03,26.11,25.6,171718000
2015-08-17,26.05,26.3,26.41,25.93,163538800
2015-08-18,26.14,26.16,26.37,26.05,138242800
2015-08-19,26.07,25.82,26.16,25.75,193146000
2015-08-20,25.61,25.29,25.67,25.06,274006400
2015-08-21,24.79,23.74,25.12,23.72,513102000
2015-08-24,21.3,23.15,24.43,20.65,648825200
2015-08-25,24.95,23.29,24.95,23.24,414406400
2015-08-26,24.04,24.63,24.67,23.58,387098400
2015-08-27,25.2,25.35,25.42,24.7,338464400
2015-08-28,25.18,25.43,25.44,25.04,212657600
2015-08-31,25.15,25.32,25.71,25.14,224917200
2015-09-01,24.73,24.18,25.12,24.1,307383600
2015-09-02,24.75,25.22,25.22,24.5,247555200
2015-09-03,25.25,24.78,25.32,24.7,212935600
2015-09-04,24.46,24.53,24.8,24.36,199985200
2015-09-08,25.09,25.21,25.27,24.77,219374400
2015-09-09,25.54,24.73,25.6,24.64,340043200
2015-09-10,24.76,25.27,25.43,24.67,251571200
2015-09-11,25.1,25.64,25.64,25.09,199662000
2015-09-14,26.17,25.89,26.24,25.79,233453600
2015-09-15,26.03,26.11,26.16,25.69,173364800
2015-09-16,26.1,26.13,26.16,25.92,148694000
2015-09-17,25.97,25.58,26.15,25.53,256450400
