"date","open","close","high","low","volume"
2016-01-04,36.9,36.84,36.95,36.31,65456000
2016-01-05,37.07,36.88,37.34,36.68,39014000
2016-01-06,36.25,36.93,37.11,36.2,38940000
2016-01-07,36.27,36.07,36.67,35.71,59274000
2016-01-08,36.32,35.48,36.41,35.41,49018000
2016-01-11,35.59,35.56,35.7,34.94,41812000
2016-01-12,35.84,36.06,36.19,35.62,40490000
2016-01-13,36.29,34.79,36.49,34.69,50034000
2016-01-14,35.03,35.49,35.85,34.22,44516000
2016-01-15,34.38,34.49,35.1,34.04,72162000
2016-01-19,34.93,34.85,35.26,34.43,45362000
2016-01-20,34.2,34.69,35.1,33.43,68900000
2016-01-21,34.87,35.09,35.72,34.49,48244000
2016-01-22,35.93,36.02,36.16,35.76,40236000
2016-01-25,35.93,35.34,36.24,35.26,34234000
2016-01-26,35.45,35.41,35.67,35.08,26634000
2016-01-27,35.44,34.76,35.67,34.48,43884000
2016-01-28,35.87,36.3,36.44,35.38,53528000
2016-01-29,36.33,36.9,37,36.09,69486000
2016-02-01,37.27,37.34,37.64,36.91,102784000
2016-02-02,38.96,37.97,39.23,37.97,126962000
2016-02-03,38.25,36.1,38.46,35.78,123420000
2016-02-04,35.89,35.16,36.1,34.85,103374000
2016-02-05,34.95,33.95,34.96,33.78,102114000
2016-02-08,33.17,33.9,33.97,32.93,84948000
2016-02-09,33.39,33.68,34.76,33.21,72178000
2016-02-10,34.11,33.97,34.83,33.87,52760000
2016-02-11,33.52,33.92,34.23,33.22,60480000
2016-02-12,34.28,33.89,34.45,33.7,42828000
2016-02-16,34.41,34.32,34.66,34.02,50400000
2016-02-17,34.67,35.18,35.25,34.33,49852000
2016-02-18,35.26,34.63,35.38,34.56,37664000
2016-02-19,34.52,34.81,34.92,34.47,31786000
2016-02-22,35.13,35.08,35.42,34.89,38996000
2016-02-23,34.83,34.56,35.18,34.44,40186000
2016-02-24,34.21,34.74,34.76,33.81,39272000
2016-02-25,34.76,35.05,35.06,34.29,32844000
2016-02-26,35.19,35.01,35.43,34.8,44870000
2016-02-29,34.78,34.65,35.3,34.65,49622000
2016-03-01,34.94,35.7,35.7,34.75,43028000
2016-03-02,35.71,35.7,35.76,35.36,32580000
2016-03-03,35.69,35.38,35.73,35.06,39160000
2016-03-04,35.51,35.3,35.58,35.06,39442000
2016-03-07,35.1,34.52,35.16,34.11,59702000
2016-03-08,34.2,34.46,34.95,34.03,41526000
2016-03-09,34.69,35.02,35.04,34.46,28430000
2016-03-10,35.17,35.4,35.58,34.93,56670000
2016-03-11,35.76,36.09,36.1,35.61,39416000
2016-03-14,36.09,36.28,36.53,36.01,34366000
2016-03-15,36.1,36.17,36.37,35.99,34420000
2016-03-16,36.07,36.55,36.62,35.98,32488000
2016-03-17,36.57,36.64,36.9,36.55,37216000
2016-03-18,36.84,36.63,36.85,36.34,59614000
2016-03-21,36.57,36.85,36.87,36.43,36730000
2016-03-22,36.62,36.79,37,36.62,25394000
2016-03-23,36.87,36.65,37.03,36.56,28642000
2016-03-24,36.35,36.52,36.64,36.3,31898000
2016-03-28,36.59,36.43,36.7,36.38,26026000
2016-03-29,36.48,36.99,37.11,36.19,38076000
2016-03-30,37.25,37.27,37.64,37.18,35648000
2016-03-31,37.21,36.99,37.29,36.8,34376000
2016-04-01,36.68,37.24,37.26,36.6,31534000
2016-04-04,37.25,37.01,37.38,36.87,22684000
2016-04-05,36.65,36.64,36.89,36.52,22646000
2016-04-06,36.54,37.03,37.06,36.53,21074000
2016-04-07,37.02,36.76,37.1,36.56,29064000
2016-04-08,36.95,36.71,37.02,36.53,25816000
2016-04-11,36.9,36.55,37,36.55,24402000
2016-04-12,36.65,36.9,36.94,36.3,27060000
2016-04-13,37.2,37.33,37.46,36.96,34142000
2016-04-14,37.44,37.4,37.61,37.38,22706000
2016-04-15,37.44,37.69,37.79,37.38,36186000
2016-04-18,37.76,38.07,38.14,37.61,31176000
2016-04-19,38.21,37.44,38.23,37.21,40610000
2016-04-20,37.64,37.38,37.65,37.25,30584000
2016-04-21,37.51,37.7,37.76,37.22,61210000
2016-04-22,36.07,35.69,36.56,35.44,119038000
2016-04-25,35.56,35.91,35.95,35.54,39184000
2016-04-26,36.02,35.17,36.04,34.91,54892000
2016-04-27,35.12,35.05,35.21,34.38,61972000
2016-04-28,35.17,34.32,35.47,34.24,57346000
2016-04-29,34.3,34.41,34.64,34.22,49754000
2016-05-02,34.64,34.67,34.79,34.32,32906000
2016-05-03,34.61,34.38,34.65,34.36,30876000
2016-05-04,34.29,34.55,34.75,34.22,33870000
2016-05-05,34.65,34.83,34.88,34.55,33670000
2016-05-06,34.68,35.31,35.35,34.67,36586000
2016-05-09,35.36,35.4,35.69,35.26,30206000
2016-05-10,35.59,35.91,35.93,35.54,31392000
2016-05-11,35.92,35.52,35.98,35.4,33842000
2016-05-12,35.61,35.42,35.72,35.21,27214000
2016-05-13,35.35,35.3,35.59,35.22,26290000
2016-05-16,35.22,35.58,35.68,35.04,26342000
2016-05-17,35.56,35.07,35.83,34.97,40024000
2016-05-18,34.94,35.09,35.34,34.79,35336000
2016-05-19,34.88,34.78,35.06,34.6,33404000
2016-05-20,34.84,35.25,35.49,34.79,36568000
2016-05-23,35.09,34.97,35.33,34.97,26614000
2016-05-24,35.1,35.76,35.8,35.1,38590000
2016-05-25,35.79,36.02,36.13,35.74,32584000
2016-05-26,35.9,35.96,36.17,35.77,31526000
2016-05-27,35.95,36.38,36.45,35.95,39500000
2016-05-31,36.34,36.54,36.74,36.31,42590000
