"date","open","close","high","low","volume"
2016-01-04,101.33,101.59,101.61,99.14,37912400
2016-01-05,102.26,102.1,103.07,101.05,23258200
2016-01-06,100.51,102.34,103.13,100.28,25096200
2016-01-07,99.88,97.32,100.81,96.7,45172900
2016-01-08,99.27,96.73,99.88,96.44,35402300
2016-01-11,97.31,96.91,98,94.81,29932400
2016-01-12,98.39,98.76,99.35,96.95,28395400
2016-01-13,99.96,94.86,99.96,94.63,33410600
2016-01-14,95.26,97.77,98.26,91.88,48658600
2016-01-15,93.4,94.39,95.79,92.97,46132800
2016-01-19,95.94,94.68,96.82,93.34,30998300
2016-01-20,92.26,93.77,94.42,88.82,59051400
2016-01-21,94.33,93.58,95.4,92.05,30518900
2016-01-22,95.82,97.34,97.47,94.9,30495400
2016-01-25,98.12,96.42,98.87,96.34,32482000
2016-01-26,97.16,96.74,97.28,95.07,26877100
2016-01-27,97.19,93.87,97.25,93.65,58699400
2016-01-28,106.54,108.44,109.66,104.17,107475300
2016-01-29,108.32,111.52,112.15,108.17,62739500
2016-02-01,111.58,114.38,115.01,111.32,46132700
2016-02-02,114.1,113.91,116.87,112.51,59778600
2016-02-03,114.56,112,114.63,109.08,56919300
2016-02-04,111.12,109.81,111.25,108.58,38890200
2016-02-05,108.84,103.43,108.91,102.55,76894700
2016-02-08,99.79,99.14,102.05,96.86,71229700
2016-02-09,96.54,98.93,101.77,96.23,62709000
2016-02-10,100.93,100.38,102.62,99.63,45179400
2016-02-11,98.99,101.29,104.47,98.27,43670600
2016-02-12,103.1,101.38,103.6,100.47,36176800
2016-02-16,103.16,100.99,103.29,99.63,45687200
2016-02-17,101.39,104.56,105.07,99.78,44073400
2016-02-18,105.15,102.84,105.35,102.4,29593500
2016-02-19,101.92,103.93,104.38,101.43,32404500
2016-02-22,104.84,106.5,107.59,104.69,35709700
2016-02-23,106.2,104.81,106.81,104.48,25319300
2016-02-24,103.57,106.23,106.29,102.11,34412400
2016-02-25,106.45,107.41,107.41,104.96,29906300
2016-02-26,108.03,107.26,108.78,106.5,26686200
2016-02-29,106.94,106.26,108.24,106.1,32779000
2016-03-01,107.17,109.15,109.15,106.94,26817300
2016-03-02,109.01,109.28,109.87,108.1,25670200
2016-03-03,109.57,108.91,109.62,107.87,21353100
2016-03-04,109.38,107.73,109.38,107.27,24938900
2016-03-07,107.41,105.08,107.41,104.08,31436400
2016-03-08,104.14,105.28,106.71,103.76,25617000
2016-03-09,106.05,106.85,106.85,104.84,20493300
2016-03-10,107.25,106.66,107.99,105.12,24854300
2016-03-11,107.82,108.74,108.75,107.26,20697600
2016-03-14,108.61,109.22,109.65,108.1,17249400
2016-03-15,108.44,109.99,110.15,108.17,17618500
2016-03-16,109.81,111.49,111.81,109.43,24744800
2016-03-17,111.46,110.34,112,110.05,24241200
2016-03-18,110.88,110.77,111.73,109.59,36256900
2016-03-21,110.98,111.16,111.68,110.35,18448000
2016-03-22,110.68,111.56,112.19,110.49,19001100
2016-03-23,111.32,111.85,112.5,111.31,18562000
2016-03-24,111.44,112.36,112.4,111,17839100
2016-03-28,112.63,112.99,113.89,112.26,21351800
2016-03-29,113.13,115.43,115.61,112.94,29825300
2016-03-30,116.01,114,116.27,113.66,33235200
2016-03-31,114,113.4,114.31,113.07,21207500
2016-04-01,113.05,115.35,115.46,112.66,24760500
2016-04-04,113.37,111.86,113.85,110.93,48487900
2016-04-05,111.42,111.53,112.63,111.21,22962400
2016-04-06,111.78,113.01,113.11,111.73,20814600
2016-04-07,113.09,112.94,114.19,112.38,20714500
2016-04-08,113.55,109.95,113.63,109.23,48497800
2016-04-11,110.02,108.32,110.23,108.1,39762300
2016-04-12,108.67,109.93,110.48,108.32,26248100
2016-04-13,111.54,109.83,111.96,105.87,88227400
2016-04-14,109.94,110.16,111.35,109.58,28473300
2016-04-15,110.11,108.97,110.29,108.53,20922800
2016-04-18,109.07,109.77,110.13,108.53,21167200
2016-04-19,110.42,111.6,111.76,108.49,30210500
2016-04-20,111.74,111.73,112.58,110.88,21027900
2016-04-21,111.86,112.74,113.34,111.62,20875200
2016-04-22,110.53,109.88,111.07,108.34,38458200
2016-04-25,109.2,109.43,109.99,108.4,21017900
2016-04-26,109.81,108.09,109.82,107.49,22521500
2016-04-27,107.28,108.22,108.27,105.66,52213100
2016-04-28,118.85,116.01,120.05,115.52,87110100
2016-04-29,116.1,116.86,117.12,115.13,37140600
2016-05-02,117.11,117.84,118,115.86,28095200
2016-05-03,116.8,116.71,117.44,116.3,24117500
2016-05-04,115.9,117.34,117.58,115.86,23448400
2016-05-05,117.32,117.09,118.25,116.53,22056700
2016-05-06,116.44,118.76,118.91,116.39,26395600
2016-05-09,118.81,118.51,119.54,118.17,21138100
2016-05-10,118.89,119.76,119.76,118.27,23220000
2016-05-11,119.67,118.79,120.34,118.69,22038400
2016-05-12,119.24,119.54,120.1,118.17,22035500
2016-05-13,119.64,119.08,119.9,118.95,18124300
2016-05-16,118.65,117.94,118.88,116.63,31247800
2016-05-17,118.09,116.63,118.28,116.48,21328600
2016-05-18,116.08,116.93,117.55,116.01,21642300
2016-05-19,116.33,116.09,116.77,115.17,20544100
2016-05-20,116.24,116.63,117.27,116.23,18944800
2016-05-23,116.7,115.26,116.88,115.23,20441000
2016-05-24,115.53,116.98,117.01,115.41,20183600
2016-05-25,117.41,117.17,117.94,116.66,20019800
2016-05-26,117.52,118.74,119.03,117.2,18481300
2016-05-27,118.83,118.65,119.12,118.28,13493600
2016-05-31,118.73,118.08,119.36,117.4,23547600
2016-06-01,117.77,118.05,118.35,117.1,15029500
2016-06-02,117.96,118.2,118.71,117.5,13228300
2016-06-03,118.25,117.74,118.25,117.14,14135100
2016-06-06,117.89,118.06,118.7,117.63,12744700
2016-06-07,118.51,117.04,118.57,116.95,17103000
2016-06-08,117.04,117.66,117.87,116.55,14505600
2016-06-09,117.41,117.83,117.95,116.99,13859200
2016-06-10,116.82,115.91,117.39,115.55,18510800
2016-06-13,114.3,113.25,114.77,112.62,31718200
2016-06-14,113.37,114.24,114.25,112.88,17618500
2016-06-15,114.59,113.9,114.73,113.37,19819400
2016-06-16,113.17,113.69,113.8,112.25,19236300
2016-06-17,113.72,112.33,113.73,111.87,24644300
2016-06-20,113.07,112.68,114.02,112.06,20785400
2016-06-21,113.42,113.68,114.5,113.27,19166300
2016-06-22,113.95,113.21,114.04,112.91,14846300
2016-06-23,113.67,114.37,114.38,112.84,16176900
2016-06-24,110.33,111.39,112.98,110.32,40643100
2016-06-27,110.89,108.3,110.89,107.57,36130400
2016-06-28,109.95,112.01,112.06,109.87,26813800
2016-06-29,112.68,113.46,113.55,112.35,20968300
2016-06-30,113.97,113.58,114.47,112.97,23192700
2016-07-01,113.5,113.49,114.42,113.11,14980000
2016-07-05,113.24,113.5,113.5,112.28,14207000
2016-07-06,112.67,115.98,116.07,112.28,24337600
2016-07-07,115.92,115.14,116.25,114.65,16630200
2016-07-08,115.72,116.52,116.78,115.14,18142600
2016-07-11,116.99,117.15,117.97,116.78,17711600
2016-07-12,117.9,117.21,117.99,116.85,15217700
2016-07-13,117.66,116.06,117.67,115.97,16207700
2016-07-14,116.78,116.57,116.92,115.98,14579700
2016-07-15,117.02,116.14,117.56,115.87,16646000
2016-07-18,116.6,118.64,118.88,116.17,20868400
2016-07-19,118.26,119.87,120.11,117.93,21541300
2016-07-20,120.51,121.17,121.45,119.82,20046500
2016-07-21,121.17,119.87,121.35,119.51,17801700
2016-07-22,119.17,120.26,120.27,118.58,18422400
2016-07-25,120.65,120.88,121.1,117.06,18487400
2016-07-26,121.25,120.48,121.32,120.01,17612000
2016-07-27,121.67,122.58,124.23,120.77,52654200
2016-07-28,126.74,124.23,127.54,122.87,78955800
2016-07-29,123.89,123.18,125.07,122.95,35058800
2016-08-01,123.09,123.55,123.82,122.11,25006900
2016-08-02,123.3,122.34,124.04,121.32,23968400
2016-08-03,122.34,121.76,123.16,121.56,18525300
2016-08-04,122.19,123.6,124.03,121.76,21066000
2016-08-05,124.21,124.38,125.07,123.86,20184000
2016-08-08,124.48,124.49,124.68,123.79,15233900
2016-08-09,124.57,124.29,125.32,123.77,19621000
2016-08-10,124.3,124.11,124.71,123.78,10670100
2016-08-11,124.43,124.13,124.61,123.99,11729500
2016-08-12,123.94,124.11,124.23,123.42,12159000
2016-08-15,124.14,123.14,124.15,122.94,19295100
2016-08-16,122.74,122.54,123.16,122.03,14222400
2016-08-17,122.9,123.61,123.62,122.1,13794200
2016-08-18,123.25,123.15,123.5,122.88,12400800
2016-08-19,122.84,122.8,123.4,122.52,11688300
2016-08-22,122.57,123.39,124.07,122.36,14386400
2016-08-23,123.75,123.61,124.32,123.49,13309500
2016-08-24,123.71,122.72,123.93,122.34,12243700
2016-08-25,122.37,123.13,123.61,122.35,10730800
