"date","open","close","high","low","volume"
2016-01-04,47.56,47.98,47.98,46.75,53778000
2016-01-05,48.1,48.2,48.5,47.76,34079700
2016-01-06,47.56,47.33,47.63,46.97,39518900
2016-01-07,46.14,45.68,46.84,45.59,56564900
2016-01-08,45.86,45.82,46.65,45.66,48754000
2016-01-11,45.98,45.79,46.28,45.06,36943800
2016-01-12,46.2,46.21,46.49,45.58,36095500
2016-01-13,47.11,45.22,47.34,44.92,66883600
2016-01-14,45.53,46.5,46.78,45.16,52381900
2016-01-15,44.93,44.65,45.51,44.08,71820700
2016-01-19,45.08,44.27,45.25,43.83,43564500
2016-01-20,43.76,44.47,44.99,42.99,63273000
2016-01-21,44.66,44.2,45.16,44.04,40191200
2016-01-22,45.02,45.79,45.82,44.88,37555800
2016-01-25,45.48,45.35,46.1,45.23,34707700
2016-01-26,45.35,45.68,45.92,45.14,28900800
2016-01-27,45.54,44.85,45.71,44.67,36775200
2016-01-28,45.41,45.58,45.72,44.88,62513800
2016-01-29,47.92,48.24,48.24,47.28,83611700
2016-02-01,48.05,47.9,48.24,47.72,44208500
2016-02-02,47.43,46.41,47.51,46.1,56313800
2016-02-03,46.63,45.67,46.75,44.88,57559800
2016-02-04,45.62,45.53,46.24,44.98,46987100
2016-02-05,45.48,43.92,45.53,43.4,62009000
2016-02-08,43.39,43.26,43.4,42.2,59290500
2016-02-09,42.92,43.15,43.99,42.62,46740500
2016-02-10,43.68,43.53,44.12,43.36,38237000
2016-02-11,42.62,43.51,43.88,42.48,48878600
2016-02-12,44,44.22,44.38,43.56,34243300
2016-02-16,44.89,45.06,45.06,44.21,37291200
2016-02-17,45.41,46.23,46.54,45.37,40789000
2016-02-18,46.15,46.03,46.7,45.95,27176000
2016-02-19,45.83,45.7,46.11,45.44,33559100
2016-02-22,46.11,46.43,46.74,46.11,25008300
2016-02-23,46.16,45.14,46.18,44.96,28895300
2016-02-24,44.7,45.29,45.42,44.27,33014500
2016-02-25,45.62,45.95,45.95,44.63,26939500
2016-02-26,46.39,45.24,46.46,45.06,35975900
2016-02-29,45.29,44.87,45.55,44.68,31654000
2016-03-01,44.95,46.37,46.38,44.91,33024500
2016-03-02,46.22,46.7,46.71,46,29289900
2016-03-03,46.71,46.17,46.71,45.66,24427800
2016-03-04,46.21,45.89,46.26,45.6,33034200
2016-03-07,45.47,45,45.68,44.61,38407800
2016-03-08,44.8,45.55,45.97,44.62,33835100
2016-03-09,45.76,46.6,46.61,45.74,28251600
2016-03-10,46.68,45.9,46.69,45.12,38387800
2016-03-11,46.74,46.8,46.8,46.19,32275700
2016-03-14,46.48,46.89,47.26,46.41,24083600
2016-03-15,46.52,47.26,47.26,46.51,21104800
2016-03-16,47.14,47.93,48.15,47.09,31691700
2016-03-17,47.81,48.2,48.5,47.62,28223900
2016-03-18,48.43,47.17,48.48,47.14,67625500
2016-03-21,46.96,47.5,47.56,46.68,23925700
2016-03-22,47.28,47.68,47.84,47.15,23124100
2016-03-23,47.72,47.6,47.83,47.39,20129000
2016-03-24,47.48,47.81,47.91,47.38,19950000
2016-03-28,47.81,47.22,47.88,47.03,17025100
2016-03-29,47.32,48.25,48.38,47.14,23924300
2016-03-30,48.44,48.55,49.07,48.42,23008300
2016-03-31,48.46,48.71,49.02,48.38,26360500
2016-04-01,48.55,49.01,49.04,48.13,24399200
2016-04-04,48.88,48.88,49.09,48.5,18928800
2016-04-05,48.67,48.12,48.77,48.03,19272300
2016-04-06,47.94,48.61,48.68,47.81,21188700
2016-04-07,48.39,48.03,48.42,47.83,19225100
2016-04-08,48.21,47.99,48.75,47.9,22167200
2016-04-11,48.05,47.9,48.64,47.89,21414200
2016-04-12,47.95,48.2,48.31,47.41,24944300
2016-04-13,48.61,48.81,48.89,48.41,20818000
2016-04-14,48.7,48.82,49.02,48.57,20877100
2016-04-15,48.77,49.08,49.32,48.6,28793800
2016-04-18,48.94,49.79,49.91,48.69,23786000
2016-04-19,49.94,49.73,50.07,49.1,29596800
2016-04-20,49.64,49.02,49.83,48.94,36195700
2016-04-21,49.21,49.19,49.59,48.87,38909100
2016-04-22,45.78,45.66,46.24,44.77,126834100
2016-04-25,45.66,45.96,45.97,45.53,33226900
2016-04-26,46.09,45.36,46.17,45.06,33532600
2016-04-27,45.4,44.92,45.42,44.58,43369300
2016-04-28,44.64,44.01,44.77,43.71,43134800
2016-04-29,43.52,43.98,44.32,43.52,48411700
2016-05-02,44.09,44.63,44.76,43.9,33114500
2016-05-03,44.39,43.9,44.46,43.74,26460200
2016-05-04,43.95,43.98,44.15,43.62,24257600
2016-05-05,43.98,44.04,44.36,43.86,25390700
2016-05-06,44.02,44.44,44.44,43.8,24787300
