"date","open","close","high","low","volume"
2016-01-04,15.38,14.89,15.43,14.6,102406500
2016-01-05,15.09,14.9,15.13,14.67,47802000
2016-01-06,14.67,14.6,14.67,14.4,56686500
2016-01-07,14.28,14.38,14.56,14.24,53314500
2016-01-08,14.52,14.07,14.7,14.05,54421500
2016-01-11,14.27,13.86,14.3,13.53,61371000
2016-01-12,14.11,14,14.25,13.69,46378500
2016-01-13,14.13,13.35,14.18,13.33,61896000
2016-01-14,13.48,13.75,14,12.89,97360500
2016-01-15,13.26,13.67,13.67,13.15,83679000
2016-01-19,13.91,13.65,14.03,13.39,60580500
2016-01-20,13.29,13.25,13.42,12.75,87579000
2016-01-21,13.44,13.33,13.55,13,47493000
2016-01-22,13.65,13.5,13.7,13.27,46861500
2016-01-25,13.34,13.09,13.57,13.06,40480500
2016-01-26,13.11,12.9,13.19,12.59,74463000
2016-01-27,12.83,12.54,12.88,12.38,54258000
2016-01-28,12.72,12.65,12.75,12.16,68892000
2016-01-29,12.66,12.75,12.92,12.54,42784500
2016-02-01,12.58,13.13,13.3,12.18,79464000
2016-02-02,12.83,12.19,12.87,12.02,86604000
2016-02-03,12.24,11.57,12.26,11.35,118971000
2016-02-04,11.38,11.69,11.73,11.13,65781000
2016-02-05,11.42,10.84,11.53,10.52,141564000
2016-02-08,10.47,9.87,10.48,9.73,139695000
2016-02-09,9.49,9.88,10.65,9.4,129774000
2016-02-10,10.03,9.58,10.33,9.45,156097500
2016-02-11,10.13,10.03,10.88,9.8,213786000
2016-02-12,10.33,10.07,10.47,9.58,108537000
2016-02-16,10.58,10.34,10.86,10.27,83907000
2016-02-17,10.6,11.25,11.29,10.45,87378000
2016-02-18,11.49,11.12,11.53,10.98,58314000
2016-02-19,10.91,11.11,11.17,10.83,44391000
2016-02-22,11.34,11.85,11.93,11.32,75901500
2016-02-23,11.74,11.81,12.12,11.58,89766000
2016-02-24,11.52,11.93,11.97,11.19,80934000
2016-02-25,11.91,12.5,12.57,11.68,86260500
2016-02-26,12.58,12.69,12.8,12.33,90976500
2016-02-29,12.83,12.8,13.09,12.61,67485000
2016-03-01,12.95,12.42,13.06,12.18,100683000
2016-03-02,12.25,12.56,12.57,12.1,72936000
2016-03-03,12.55,13.05,13.16,12.28,72435000
2016-03-04,13.2,13.4,13.6,13.17,97336500
2016-03-07,13.18,13.69,13.98,13.16,79941000
2016-03-08,13.57,13.51,13.83,13.48,62680500
2016-03-09,13.63,13.91,13.96,13.52,48129000
2016-03-10,14,13.68,14.22,13.38,77887500
2016-03-11,13.86,13.83,13.96,13.69,50146500
2016-03-14,14.18,14.34,14.45,14.04,60985500
2016-03-15,14.28,14.56,14.6,14.1,47707500
2016-03-16,14.53,14.8,14.84,14.47,52750500
2016-03-17,14.76,15.09,15.23,14.67,56743500
2016-03-18,15.27,15.52,15.63,15.2,70677000
2016-03-21,15.69,15.89,15.99,15.67,79617000
2016-03-22,15.81,15.62,15.93,15.5,64740000
2016-03-23,15.49,14.84,15.65,14.8,74232000
2016-03-24,14.39,15.18,15.26,14.33,74413500
2016-03-28,15.44,15.35,15.65,15,58885500
2016-03-29,15.33,15.34,15.49,15.02,60214500
2016-03-30,15.67,15.13,15.7,15.1,60495000
2016-03-31,15.29,15.32,15.83,15,120193500
2016-04-01,16.32,15.84,16.53,15.55,239962500
2016-04-04,16.61,16.47,16.81,16.24,202129500
2016-04-05,16.03,17.03,17.1,16,149230500
2016-04-06,16.93,17.69,17.85,16.9,175582500
2016-04-07,17.76,17.15,17.96,16.97,132843000
2016-04-08,17.37,16.67,17.39,16.53,110458500
2016-04-11,16.73,16.66,17.27,16.35,137425500
2016-04-12,16.63,16.52,16.79,16.24,86448000
2016-04-13,16.57,16.97,17.03,16.49,73884000
2016-04-14,16.87,16.79,17.12,16.74,61983000
2016-04-15,16.75,16.97,16.97,16.61,56286000
2016-04-18,16.82,16.93,17.22,16.78,64071000
2016-04-19,16.87,16.49,16.96,16.08,95362500
2016-04-20,16.42,16.66,16.91,16.1,77911500
2016-04-21,16.6,16.55,16.73,16.46,41746500
2016-04-22,16.59,16.92,16.93,16.38,56794500
2016-04-25,16.87,16.79,17.16,16.72,55054500
2016-04-26,16.8,16.92,17.05,16.63,48357000
2016-04-27,16.85,16.76,17,16.63,48087000
2016-04-28,16.66,16.51,16.9,16.5,37785000
2016-04-29,16.54,16.05,16.56,15.85,81207000
2016-05-02,16.1,16.12,16.21,15.65,57658500
2016-05-03,15.82,15.49,15.93,15.44,64533000
2016-05-04,15.35,14.84,15.63,14.69,130507500
2016-05-05,15.23,14.1,15.24,13.99,168822000
2016-05-06,14.06,14.33,14.42,13.87,85278000
2016-05-09,14.38,13.93,14.41,13.79,71646000
2016-05-10,13.84,13.91,13.96,13.67,61059000
2016-05-11,13.84,13.93,14.37,13.74,77428500
2016-05-12,14.1,13.82,14.11,13.58,54757500
2016-05-13,13.85,13.84,14.08,13.78,42342000
2016-05-16,13.88,13.89,14.21,13.86,44241000
2016-05-17,13.94,13.64,13.99,13.6,42654000
2016-05-18,13.94,14.08,14.35,13.85,84262500
2016-05-19,14.24,14.35,14.45,13.82,102994500
2016-05-20,14.47,14.69,14.7,14.42,135106500
2016-05-23,14.66,14.41,14.84,14.39,76537500
2016-05-24,14.44,14.53,14.58,14.35,45207000
2016-05-25,14.53,14.64,14.76,14.43,46902000
2016-05-26,14.7,15.01,15.02,14.6,61086000
2016-05-27,15,14.87,15.06,14.72,54754500
2016-05-31,14.87,14.88,14.98,14.77,41835000
2016-06-01,14.77,14.64,14.83,14.46,44740500
2016-06-02,14.64,14.6,14.66,14.47,30492000
2016-06-03,14.67,14.6,14.8,14.53,33435000
2016-06-06,14.53,14.71,14.73,14.36,33742500
2016-06-07,14.82,15.49,15.63,14.77,93204000
2016-06-08,15.59,15.7,16.06,15.51,89580000
2016-06-09,15.67,15.29,15.69,15.14,67381500
2016-06-10,15.16,14.59,15.2,14.56,90399000
2016-06-13,14.63,14.52,15.05,14.51,62895000
2016-06-14,14.59,14.33,14.81,14.17,53703000
2016-06-15,14.46,14.51,14.79,14.34,43627500
2016-06-16,14.49,14.53,14.54,14.23,36604500
2016-06-17,14.52,14.36,14.67,14.3,46689000
2016-06-20,14.63,14.65,14.92,14.55,53332500
2016-06-21,14.71,14.64,14.84,14.59,67935000
2016-06-22,13.3,13.11,13.73,13.05,356136000
2016-06-23,13.05,13.09,13.17,12.81,151960500
2016-06-24,12.67,12.88,13.01,12.65,105397500
2016-06-27,12.72,13.24,13.25,12.52,108081000
2016-06-28,13.46,13.45,13.6,13.29,93186000
2016-06-29,13.68,14.01,14.12,13.53,89923500
2016-06-30,14.2,14.15,14.23,13.93,72646500
2016-07-01,13.74,14.43,14.55,13.73,8.1e+07
2016-07-05,13.98,14.27,14.3,13.87,77629500
2016-07-06,14,14.3,14.35,13.93,73798500
2016-07-07,14.21,14.4,14.54,14.2,54180000
2016-07-08,14.52,14.45,14.65,14.3,61122000
2016-07-11,14.66,14.99,15.12,14.63,81447000
2016-07-12,14.94,14.98,15.17,14.88,68569500
2016-07-13,15.03,14.84,15.04,14.69,53506500
2016-07-14,14.87,14.77,15,14.74,40137000
2016-07-15,14.83,14.69,14.85,14.64,33513000
2016-07-18,14.64,15.08,15.14,14.55,51181500
2016-07-19,15,15.02,15.27,14.98,46726500
2016-07-20,15.1,15.22,15.32,15,38527500
2016-07-21,15.07,14.7,15.19,14.61,66430500
2016-07-22,14.8,14.82,14.97,14.59,38695500
2016-07-25,14.82,15.33,15.43,14.76,67360500
2016-07-26,15.18,15.3,15.33,15.02,51450000
2016-07-27,15.29,15.23,15.56,15.13,43335000
2016-07-28,15.2,15.37,15.38,15.11,36286500
2016-07-29,15.38,15.65,15.69,15.35,46062000
2016-08-01,15.7,15.33,15.78,15.29,60244500
2016-08-02,15.29,15.15,15.32,14.76,59016000
2016-08-03,15.16,15.05,15.31,14.95,58317000
2016-08-04,15.05,15.37,15.39,14.8,62205000
2016-08-05,15.33,15.34,15.47,15.16,48078000
2016-08-08,15.2,15.08,15.31,15.07,33954000
2016-08-09,15.12,15.27,15.44,15.11,33117000
2016-08-10,15.22,15.04,15.32,14.97,35074500
2016-08-11,15.08,14.99,15.17,14.89,28213500
2016-08-12,15.03,15.04,15.11,14.94,27202500
2016-08-15,15.07,15.04,15.3,15,30514500
2016-08-16,15.03,14.91,15.15,14.89,34006500
2016-08-17,14.96,14.88,14.99,14.85,26806500
2016-08-18,14.92,14.9,15.04,14.82,25717500
2016-08-19,14.9,15,15.01,14.84,24892500
2016-08-22,14.94,14.86,15.01,14.85,30982500
2016-08-23,14.95,14.99,15.23,14.85,71766000
2016-08-24,15.14,14.84,15.14,14.81,38560500
2016-08-25,14.87,14.73,14.92,14.72,26437500
2016-08-26,14.81,14.67,14.86,14.59,33585000
2016-08-29,14.68,14.35,14.69,14.33,48994500
2016-08-30,14.41,14.09,14.41,14.03,47533500
2016-08-31,14.03,14.13,14.17,13.91,49147500
2016-09-01,13.93,13.38,14.07,13.37,119146500
2016-09-02,13.49,13.19,13.55,13.08,89661000
2016-09-06,13.27,13.52,13.55,13.27,65859000
2016-09-07,13.7,13.45,13.77,13.38,54613500
2016-09-08,13.3,13.16,13.33,13.09,50668500
2016-09-09,13.27,12.96,13.33,12.91,56355000
2016-09-12,13,13.22,13.42,12.94,55728000
2016-09-13,13.14,13.07,13.23,12.9,53841000
2016-09-14,13.05,13.09,13.19,12.99,33817500
2016-09-15,13.1,13.36,13.5,13.09,46158000
2016-09-16,13.36,13.69,13.71,13.27,46617000
2016-09-19,13.8,13.76,13.96,13.67,34492500
2016-09-20,13.79,13.64,13.85,13.59,36157500
2016-09-21,13.76,13.68,13.8,13.44,39502500
2016-09-22,13.76,13.76,13.82,13.53,35743500
2016-09-23,13.73,13.83,14.01,13.71,43578000
2016-09-26,13.77,13.93,14.07,13.77,35916000
2016-09-27,13.98,13.72,14,13.64,50598000
2016-09-28,13.83,13.75,13.88,13.68,31326000
2016-09-29,13.71,13.38,13.82,13.37,40905000
2016-09-30,13.48,13.6,13.67,13.3,38794500
2016-10-03,14.15,14.25,14.38,13.88,89998500
2016-10-04,14.21,14.09,14.22,13.92,53122500
2016-10-05,14.15,13.9,14.21,13.87,28162500
2016-10-06,13.5,13.4,13.61,13.35,70551000
2016-10-07,13.4,13.11,13.42,13.05,52395000
2016-10-10,13.42,13.4,13.61,13.31,49744500
2016-10-11,13.46,13.34,13.48,13.22,34926000
2016-10-12,13.4,13.43,13.59,13.36,29560500
2016-10-13,13.37,13.35,13.39,13.14,37419000
2016-10-14,13.38,13.1,13.43,13.09,64048500
2016-10-17,13.14,12.93,13.23,12.8,68311500
2016-10-18,13.07,13.27,13.3,12.88,85207500
2016-10-19,13.32,13.57,13.78,13.2,104868000
2016-10-20,13.47,13.27,13.53,13.14,76093500
2016-10-21,13.24,13.34,13.44,13.16,44151000
2016-10-24,13.4,13.52,13.6,13.35,41274000
2016-10-25,13.53,13.49,13.65,13.41,36675000
2016-10-26,13.4,13.48,13.55,13.34,84492000
2016-10-27,14.09,13.6,14.25,13.44,196405500
2016-10-28,13.6,13.33,13.69,13.32,64201500
2016-10-31,13.5,13.18,13.5,13.05,70384500
2016-11-01,13.2,12.72,13.23,12.54,105900000
2016-11-02,12.67,12.53,12.85,12.5,63801000
2016-11-03,12.6,12.49,12.76,12.47,39795000
2016-11-04,12.6,12.7,12.9,12.4,77190000
2016-11-07,12.91,12.88,12.95,12.67,58051500
2016-11-08,12.92,13,13.17,12.75,49014000
2016-11-09,12.46,12.67,12.8,12.26,122596500
2016-11-10,12.74,12.36,12.77,12.03,101254500
2016-11-11,12.28,12.57,12.59,12.2,59827500
2016-11-14,12.53,12.1,12.55,11.88,98283000
2016-11-15,12.19,12.25,12.43,12.14,58530000
2016-11-16,12.18,12.26,12.32,12.08,51516000
2016-11-17,12.23,12.58,12.63,12.14,73306500
2016-11-18,12.71,12.33,12.87,12.33,78154500
2016-11-21,12.34,12.3,12.59,12.29,65415000
2016-11-22,12.39,12.74,12.76,12.25,84051000
2016-11-23,12.71,12.88,13.04,12.6,73378500
2016-11-25,12.91,13.11,13.15,12.91,35491500
2016-11-28,13.03,13.07,13.29,12.97,67938000
2016-11-29,13.04,12.64,13.12,12.63,66589500
2016-11-30,12.73,12.63,12.79,12.5,53206500
2016-12-01,12.55,12.13,12.57,12.07,76896000
2016-12-02,12.19,12.1,12.33,12,60634500
2016-12-05,12.17,12.45,12.59,12.17,61083000
2016-12-06,12.37,12.39,12.44,12.18,50874000
2016-12-07,12.41,12.88,12.89,12.33,81928500
2016-12-08,12.8,12.82,12.83,12.64,47911500
2016-12-09,12.72,12.81,12.92,12.72,40837500
2016-12-12,12.85,12.83,12.96,12.75,36583500
2016-12-13,12.88,13.21,13.42,12.87,102358500
2016-12-14,13.25,13.25,13.53,13.12,62263500
2016-12-15,13.23,13.17,13.38,13.16,48294000
2016-12-16,13.21,13.5,13.51,13.17,56953500
2016-12-19,13.5,13.52,13.63,13.32,52321500
2016-12-20,13.54,13.92,13.93,13.5,70336500
2016-12-21,13.9,13.85,14.15,13.83,78114000
2016-12-22,13.88,13.9,14,13.77,46666500
2016-12-23,13.87,14.22,14.23,13.85,70057500
2016-12-27,14.33,14.64,14.82,14.29,88735500
2016-12-28,14.77,14.65,14.92,14.48,56737500
2016-12-29,14.57,14.31,14.61,14.27,60675000
2016-12-30,14.42,14.25,14.5,14.11,69639000
2017-01-03,14.32,14.47,14.69,14.06,88849500
2017-01-04,14.32,15.13,15.2,14.29,168202500
2017-01-05,15.09,15.12,15.17,14.8,88675500
2017-01-06,15.13,15.27,15.35,15.03,82918500
2017-01-09,15.26,15.42,15.46,15.2,59692500
2017-01-10,15.47,15.32,15.47,15.13,54900000
2017-01-11,15.27,15.32,15.33,15.11,54762000
2017-01-12,15.27,15.31,15.38,15.04,56853000
2017-01-13,15.33,15.85,15.86,15.31,91395000
2017-01-17,15.78,15.71,16,15.62,69262500
2017-01-18,15.78,15.89,15.98,15.71,56535000
2017-01-19,16.48,16.25,16.58,16.05,115984500
2017-01-20,16.36,16.32,16.4,16.2,63064500
2017-01-23,16.39,16.59,16.73,16.37,93943500
2017-01-24,16.67,16.97,16.99,16.64,74482500
2017-01-25,17.15,16.96,17.23,16.79,77139000
2017-01-26,16.95,16.83,17.05,16.72,47281500
2017-01-27,16.76,16.86,16.87,16.57,47494500
2017-01-30,16.84,16.71,17.02,16.47,57016500
2017-01-31,16.62,16.8,17.06,16.51,61741500
2017-02-01,16.87,16.62,16.88,16.6,59382000
2017-02-02,16.56,16.77,16.83,16.51,37497000
2017-02-03,16.79,16.76,16.81,16.65,32800500
2017-02-06,16.73,17.18,17.19,16.71,53437500
2017-02-07,17.21,17.17,17.33,17.09,63672000
2017-02-08,17.16,17.47,17.56,17.08,58995000
2017-02-09,17.75,17.95,18.08,17.74,117303000
2017-02-10,17.99,17.95,18.06,17.74,54295500
2017-02-13,18.05,18.71,18.72,18.03,105444000
2017-02-14,18.6,18.73,19.16,18.57,110178000
2017-02-15,18.67,18.65,18.82,18.43,74218500
2017-02-16,18.51,17.93,18.67,17.9,106159500
2017-02-17,17.72,18.15,18.19,17.61,93856500
2017-02-21,18.36,18.49,18.76,18.27,85150500
2017-02-22,18.69,18.23,18.9,18.17,131325000
2017-02-23,17.6,17.07,17.64,17.04,223728000
2017-02-24,16.84,17.13,17.22,16.68,122574000
2017-02-27,16.54,16.42,16.56,16.13,171912000
2017-02-28,16.28,16.67,16.73,16.26,91171500
2017-03-01,16.95,16.67,16.99,16.61,72142500
2017-03-02,16.65,16.7,16.89,16.55,50277000
2017-03-03,16.72,16.77,16.79,16.6,43791000
2017-03-06,16.53,16.75,16.78,16.5,50332500
2017-03-07,16.79,16.57,16.93,16.55,51892500
2017-03-08,16.47,16.46,16.67,16.35,55878000
2017-03-09,16.51,16.33,16.58,16.2,58189500
2017-03-10,16.41,16.25,16.43,16.2,45994500
2017-03-13,16.32,16.41,16.46,16.19,45339000
2017-03-14,16.41,17.2,17.21,16.4,113976000
2017-03-15,17.13,17.05,17.4,16.95,79962000
2017-03-16,17.49,17.47,17.72,17.27,106983000
2017-03-17,17.6,17.43,17.69,17.41,97462500
2017-03-20,17.37,17.46,17.64,17.25,54214500
2017-03-21,17.52,16.71,17.65,16.68,103629000
2017-03-22,16.77,17,17,16.7,60889500
2017-03-23,17.03,16.99,17.18,16.89,49803000
2017-03-24,17.05,17.54,17.59,17,84709500
